timestamp,smc91c1116,smc91c1117,smc91c1119,smc91c1118,smc91c1111,smc91c1114,smc91c1113,smc91c1110,smc91c1112,smc91c1115,max,min,avg
0,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076
5,0.1237,0.1237,0.1237,0.1237,0.1237,0.1237,0.1237,0.1237,0.1237,0.1237,0.1237,0.1237,0.1237
6,0.5581,0.3939,0.2323,0.5051,0.5,0.4015,0.2323,0.399,0.2727,0.2323,0.5581,0.2323,0.3727
7,0.5657,0.5732,0.6869,0.649,0.5732,0.7121,0.351,0.5429,0.4394,0.798,0.798,0.351,0.5891
8,0.5732,0.6187,0.8333,0.8182,0.8662,0.7955,0.8359,0.7929,0.4394,0.8283,0.8662,0.4394,0.7402
9,0.7222,0.7172,0.8586,0.8409,0.8737,0.8207,0.8409,0.8384,0.4394,0.8333,0.8737,0.4394,0.7785
10,0.7273,0.8636,0.8662,0.8409,0.8737,0.8409,0.8409,0.846,0.4394,0.8409,0.8737,0.4394,0.798
11,0.7273,0.8636,0.8662,0.8409,0.8737,0.8409,0.8586,0.8485,0.4394,0.8409,0.8737,0.4394,0.8
12,0.7273,0.8636,0.8662,0.8409,0.8737,0.8687,0.8586,0.8611,0.4394,0.8409,0.8737,0.4394,0.804
13,0.7273,0.8636,0.8662,0.8561,0.8737,0.8763,0.8586,0.8611,0.4924,0.8409,0.8763,0.4924,0.8116
14,0.7273,0.8662,0.8662,0.8561,0.8737,0.8763,0.8586,0.8611,0.75,0.8409,0.8763,0.7273,0.8376
15,0.7273,0.8712,0.8662,0.8561,0.8737,0.8763,0.8586,0.8611,0.846,0.8409,0.8763,0.7273,0.8477
16,0.7273,0.8763,0.8712,0.8561,0.8737,0.8763,0.8586,0.8611,0.8535,0.8409,0.8763,0.7273,0.8495
17,0.7273,0.8788,0.8712,0.8561,0.8763,0.8763,0.8586,0.8611,0.8561,0.8662,0.8788,0.7273,0.8528
18,0.846,0.8788,0.8712,0.8561,0.8763,0.8763,0.8586,0.8611,0.8561,0.8662,0.8788,0.846,0.8647
19,0.8712,0.8813,0.8712,0.8561,0.8763,0.8763,0.8586,0.8611,0.8636,0.8662,0.8813,0.8561,0.8682
20,0.8737,0.8813,0.8712,0.8561,0.8763,0.8763,0.8586,0.8611,0.8636,0.8662,0.8813,0.8561,0.8684
21,0.8737,0.8813,0.8712,0.8561,0.8763,0.8763,0.8586,0.8611,0.8636,0.8662,0.8813,0.8561,0.8684
22,0.8737,0.8813,0.8712,0.8561,0.8763,0.8763,0.8611,0.8611,0.8636,0.8662,0.8813,0.8561,0.8687
23,0.8737,0.8813,0.8712,0.8561,0.8763,0.8763,0.8611,0.8611,0.8636,0.8662,0.8813,0.8561,0.8687
24,0.8737,0.8813,0.8712,0.8561,0.8763,0.8763,0.8611,0.8611,0.8636,0.8662,0.8813,0.8561,0.8687
25,0.8737,0.8813,0.8712,0.8561,0.8763,0.8763,0.8611,0.8611,0.8636,0.8662,0.8813,0.8561,0.8687
26,0.8737,0.8813,0.8712,0.8561,0.8763,0.8763,0.8611,0.8737,0.8636,0.8662,0.8813,0.8561,0.87
27,0.8737,0.8813,0.8712,0.8561,0.8763,0.8763,0.8611,0.8737,0.8636,0.8662,0.8813,0.8561,0.87
28,0.8737,0.8813,0.8712,0.8561,0.8763,0.8763,0.8611,0.8737,0.8636,0.8662,0.8813,0.8561,0.87
29,0.8737,0.8813,0.8712,0.8687,0.8763,0.8763,0.8611,0.8737,0.8636,0.8662,0.8813,0.8611,0.8712
30,0.8737,0.8813,0.8712,0.8687,0.8763,0.8788,0.8611,0.8737,0.8636,0.8662,0.8813,0.8611,0.8715
31,0.8737,0.8813,0.8712,0.8687,0.8763,0.8788,0.8611,0.8737,0.8636,0.8662,0.8813,0.8611,0.8715
32,0.8737,0.8813,0.8712,0.8687,0.8763,0.8788,0.8611,0.8737,0.8636,0.8662,0.8813,0.8611,0.8715
33,0.8737,0.8813,0.8712,0.8687,0.8763,0.8788,0.8611,0.8737,0.8636,0.8662,0.8813,0.8611,0.8715
34,0.8737,0.8813,0.8712,0.8687,0.8763,0.8788,0.8611,0.8737,0.8636,0.8662,0.8813,0.8611,0.8715
35,0.8737,0.8813,0.8712,0.8687,0.8763,0.8788,0.8611,0.8737,0.8636,0.8712,0.8813,0.8611,0.872
36,0.8737,0.8813,0.8712,0.8687,0.8788,0.8788,0.8611,0.8737,0.8636,0.8712,0.8813,0.8611,0.8722
37,0.8737,0.8838,0.8712,0.8687,0.8788,0.8788,0.8611,0.8737,0.8636,0.8712,0.8838,0.8611,0.8725
38,0.8737,0.8838,0.8737,0.8687,0.8788,0.8788,0.8611,0.8763,0.8712,0.8712,0.8838,0.8611,0.8737
39,0.8737,0.8838,0.8737,0.8712,0.8788,0.8788,0.8611,0.8763,0.8737,0.8712,0.8838,0.8611,0.8742
40,0.8737,0.8838,0.8737,0.8712,0.8788,0.8788,0.8611,0.8763,0.8737,0.8712,0.8838,0.8611,0.8742
41,0.8737,0.8838,0.8737,0.8712,0.8813,0.8788,0.8611,0.8763,0.8763,0.8712,0.8838,0.8611,0.8747
42,0.8763,0.8838,0.8737,0.8712,0.8813,0.8788,0.8611,0.8763,0.8763,0.8712,0.8838,0.8611,0.875
43,0.8763,0.8838,0.8737,0.8712,0.8813,0.8788,0.8611,0.8763,0.8763,0.8712,0.8838,0.8611,0.875
44,0.8763,0.8838,0.8737,0.8712,0.8813,0.8813,0.8611,0.8763,0.8763,0.8712,0.8838,0.8611,0.8752
45,0.8763,0.8838,0.8737,0.8788,0.8813,0.8813,0.8611,0.8763,0.8763,0.8712,0.8838,0.8611,0.876
46,0.8763,0.8838,0.8737,0.8788,0.8813,0.8813,0.8611,0.8763,0.8763,0.8712,0.8838,0.8611,0.876
47,0.8763,0.8838,0.8737,0.8788,0.8813,0.8813,0.8611,0.8763,0.8763,0.8712,0.8838,0.8611,0.876
48,0.8763,0.8838,0.8737,0.8788,0.8813,0.8813,0.8611,0.8763,0.8763,0.8712,0.8838,0.8611,0.876
49,0.8763,0.8838,0.8737,0.8788,0.8813,0.8813,0.8611,0.8763,0.8763,0.8712,0.8838,0.8611,0.876
50,0.8763,0.8838,0.8737,0.8788,0.8813,0.8813,0.8611,0.8763,0.8763,0.8712,0.8838,0.8611,0.876
51,0.8763,0.8838,0.8737,0.8788,0.8813,0.8813,0.8611,0.8763,0.8763,0.8712,0.8838,0.8611,0.876
52,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.8788,0.8763,0.8712,0.8864,0.8611,0.8765
53,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.8788,0.8763,0.8712,0.8864,0.8611,0.8765
54,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.8788,0.8763,0.8737,0.8864,0.8611,0.8768
55,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.8788,0.8763,0.8737,0.8864,0.8611,0.8768
56,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.8788,0.8763,0.8737,0.8864,0.8611,0.8768
57,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.8788,0.8763,0.8737,0.8864,0.8611,0.8768
58,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.8788,0.8763,0.8737,0.8864,0.8611,0.8768
59,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.8813,0.8763,0.8737,0.8864,0.8611,0.877
60,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.9116,0.8763,0.8737,0.9116,0.8611,0.88
61,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.9116,0.8763,0.8763,0.9116,0.8611,0.8803
62,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.9116,0.8763,0.8763,0.9116,0.8611,0.8803
63,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.9116,0.8763,0.8763,0.9116,0.8611,0.8803
64,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.9116,0.8763,0.8763,0.9116,0.8611,0.8803
65,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.9116,0.8763,0.8763,0.9116,0.8611,0.8803
66,0.8763,0.8864,0.8737,0.8788,0.8813,0.8813,0.8611,0.9116,0.8763,0.8763,0.9116,0.8611,0.8803
67,0.8763,0.8864,0.8737,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8763,0.9116,0.8611,0.8806
68,0.8763,0.8864,0.8737,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8763,0.9116,0.8611,0.8806
69,0.8763,0.8864,0.8737,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8763,0.9116,0.8611,0.8806
70,0.8763,0.8864,0.8737,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8763,0.9116,0.8611,0.8806
71,0.8763,0.8864,0.904,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8838
72,0.8763,0.8864,0.904,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8838
73,0.8763,0.8864,0.904,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8838
74,0.8763,0.8864,0.904,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8838
75,0.8763,0.8864,0.904,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8838
76,0.8763,0.8864,0.904,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8838
77,0.8763,0.8864,0.904,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8838
78,0.8763,0.8864,0.904,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8838
79,0.8763,0.8864,0.904,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8838
80,0.8763,0.8864,0.904,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8838
81,0.8763,0.8864,0.904,0.8788,0.8838,0.8813,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8838
82,0.8763,0.8864,0.904,0.8788,0.8838,0.8838,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8841
83,0.8763,0.8864,0.904,0.8788,0.8838,0.8838,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8841
84,0.8763,0.8864,0.904,0.8788,0.8838,0.8838,0.8611,0.9116,0.8763,0.8788,0.9116,0.8611,0.8841
85,0.8763,0.8864,0.904,0.8788,0.8838,0.8838,0.8611,0.9116,0.8763,0.9091,0.9116,0.8611,0.8871
86,0.8763,0.8864,0.904,0.8788,0.8838,0.8838,0.8611,0.9116,0.8763,0.9091,0.9116,0.8611,0.8871
87,0.8763,0.8864,0.904,0.8788,0.8838,0.8838,0.8611,0.9116,0.8763,0.9116,0.9116,0.8611,0.8874
88,0.8763,0.8864,0.904,0.8788,0.8838,0.8838,0.8611,0.9116,0.8763,0.9116,0.9116,0.8611,0.8874
89,0.8763,0.8864,0.904,0.8788,0.8838,0.8838,0.8611,0.9116,0.8763,0.9116,0.9116,0.8611,0.8874
90,0.8763,0.8864,0.9091,0.8788,0.8838,0.9167,0.8611,0.9167,0.8763,0.9116,0.9167,0.8611,0.8917
91,0.8763,0.8864,0.9091,0.8788,0.8838,0.9167,0.8611,0.9167,0.8763,0.9116,0.9167,0.8611,0.8917
92,0.8763,0.8864,0.9091,0.8788,0.8838,0.9167,0.8611,0.9167,0.8763,0.9116,0.9167,0.8611,0.8917
93,0.8763,0.8864,0.9091,0.8788,0.8838,0.9167,0.8611,0.9167,0.8763,0.9116,0.9167,0.8611,0.8917
94,0.8763,0.8864,0.9091,0.8788,0.8838,0.9167,0.8611,0.9167,0.8763,0.9116,0.9167,0.8611,0.8917
95,0.8763,0.8864,0.9091,0.8788,0.8838,0.9167,0.8611,0.9167,0.8763,0.9116,0.9167,0.8611,0.8917
