timestamp,tc6393xb0,tc6393xb2,tc6393xb3,tc6393xb4,tc6393xb5,tc6393xb6,tc6393xb9,tc6393xb7,tc6393xb1,tc6393xb8,max,min,avg
0,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029
4,0.0265,0.0265,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0265,0.0029,0.0265,0.0029,0.01
5,0.3765,0.3971,0.0265,0.0265,0.0265,0.0265,0.0265,0.0265,0.3971,0.0265,0.3971,0.0265,0.1356
6,0.4059,0.3971,0.4,0.3971,0.3971,0.4059,0.4029,0.4118,0.4,0.3971,0.4118,0.3971,0.4015
7,0.4088,0.4059,0.4176,0.4029,0.4118,0.4118,0.4118,0.4206,0.4176,0.4147,0.4206,0.4029,0.4123
8,0.4265,0.4324,0.4265,0.4118,0.4206,0.4206,0.4206,0.4235,0.4235,0.4294,0.4324,0.4118,0.4235
9,0.4265,0.4324,0.4382,0.4294,0.4294,0.4382,0.4324,0.4265,0.4235,0.4441,0.4441,0.4235,0.4321
10,0.4324,0.4441,0.4471,0.4412,0.4294,0.4618,0.4412,0.4412,0.4324,0.4559,0.4618,0.4294,0.4427
11,0.4382,0.4559,0.4529,0.4471,0.4471,0.4647,0.4471,0.4529,0.4382,0.4706,0.4706,0.4382,0.4515
12,0.4412,0.4559,0.4559,0.45,0.4559,0.4765,0.45,0.4559,0.4471,0.4765,0.4765,0.4412,0.4565
13,0.4529,0.4588,0.4588,0.4529,0.4588,0.4794,0.4647,0.4647,0.4471,0.4765,0.4794,0.4471,0.4615
14,0.4618,0.4647,0.4618,0.4647,0.4706,0.4941,0.4794,0.4676,0.4647,0.4765,0.4941,0.4618,0.4706
15,0.4735,0.4765,0.4706,0.4735,0.4765,0.5059,0.4794,0.4676,0.4706,0.4853,0.5059,0.4676,0.4779
16,0.4794,0.4794,0.4882,0.4853,0.4853,0.5147,0.4912,0.4676,0.4794,0.4882,0.5147,0.4676,0.4859
17,0.4824,0.4824,0.5,0.4912,0.4912,0.5206,0.4941,0.4706,0.4853,0.4912,0.5206,0.4706,0.4909
18,0.5059,0.4824,0.5206,0.5,0.5088,0.5294,0.4971,0.4735,0.4941,0.4971,0.5294,0.4735,0.5009
19,0.5176,0.5618,0.5265,0.5088,0.5118,0.5412,0.5088,0.4765,0.4971,0.5,0.5618,0.4765,0.515
20,0.5176,0.5794,0.5294,0.5176,0.5235,0.5471,0.5118,0.4794,0.5,0.5059,0.5794,0.4794,0.5212
21,0.5206,0.5824,0.5382,0.5206,0.5382,0.5618,0.5206,0.4882,0.5147,0.5118,0.5824,0.4882,0.5297
22,0.5324,0.5853,0.5529,0.5265,0.55,0.5735,0.5353,0.5,0.5206,0.5353,0.5853,0.5,0.5412
23,0.5412,0.5882,0.5559,0.5265,0.5529,0.5735,0.5471,0.5088,0.5324,0.5382,0.5882,0.5088,0.5465
24,0.5588,0.6,0.5588,0.5324,0.5529,0.5824,0.5471,0.5206,0.5412,0.5412,0.6,0.5206,0.5535
25,0.5676,0.6088,0.5647,0.5382,0.5559,0.5882,0.5529,0.5265,0.55,0.55,0.6088,0.5265,0.5603
26,0.5706,0.6147,0.5676,0.5471,0.5647,0.5971,0.5559,0.5324,0.5559,0.5588,0.6147,0.5324,0.5665
27,0.5706,0.6176,0.5824,0.5559,0.5706,0.5971,0.5588,0.5353,0.5618,0.5618,0.6176,0.5353,0.5712
28,0.5735,0.6235,0.5912,0.5647,0.5735,0.5971,0.5647,0.5441,0.5706,0.5618,0.6235,0.5441,0.5765
29,0.5735,0.6294,0.5941,0.5735,0.5765,0.6059,0.5765,0.5441,0.5706,0.5676,0.6294,0.5441,0.5812
30,0.5735,0.65,0.5971,0.5765,0.5824,0.6118,0.5824,0.5529,0.5765,0.5735,0.65,0.5529,0.5877
31,0.5882,0.65,0.6029,0.5794,0.5882,0.6118,0.5853,0.5647,0.5765,0.5765,0.65,0.5647,0.5924
32,0.5941,0.6618,0.6088,0.5912,0.6,0.6176,0.5941,0.5706,0.5824,0.5824,0.6618,0.5706,0.6003
33,0.6,0.6706,0.6147,0.5971,0.6029,0.6206,0.5941,0.5882,0.5882,0.5912,0.6706,0.5882,0.6068
34,0.6029,0.6735,0.6206,0.5971,0.6088,0.6294,0.6,0.5941,0.5912,0.6,0.6735,0.5912,0.6118
35,0.6059,0.6853,0.6265,0.5971,0.6206,0.6353,0.6059,0.5971,0.5971,0.6,0.6853,0.5971,0.6171
36,0.6206,0.6941,0.6294,0.6088,0.6324,0.6382,0.6059,0.6059,0.5971,0.6059,0.6941,0.5971,0.6238
37,0.6235,0.7059,0.6324,0.6147,0.6353,0.6471,0.6059,0.6118,0.6059,0.6088,0.7059,0.6059,0.6291
38,0.6235,0.7235,0.6353,0.6176,0.6353,0.6529,0.6088,0.6118,0.6088,0.6147,0.7235,0.6088,0.6332
39,0.6235,0.7265,0.6412,0.6206,0.6382,0.6529,0.6147,0.6118,0.6118,0.6235,0.7265,0.6118,0.6365
40,0.6324,0.7324,0.6529,0.6235,0.6441,0.6559,0.6235,0.6118,0.6235,0.6294,0.7324,0.6118,0.6429
41,0.6353,0.7324,0.6588,0.6294,0.6441,0.6559,0.6265,0.6118,0.6294,0.6324,0.7324,0.6118,0.6456
42,0.6353,0.7412,0.6618,0.6294,0.6441,0.6588,0.6382,0.6176,0.6382,0.6324,0.7412,0.6176,0.6497
43,0.6382,0.7471,0.6618,0.6353,0.6441,0.6618,0.6412,0.6176,0.6471,0.6382,0.7471,0.6176,0.6532
44,0.6559,0.75,0.6676,0.6353,0.6441,0.6618,0.6471,0.6235,0.6471,0.6471,0.75,0.6235,0.658
45,0.6588,0.7618,0.6676,0.6382,0.6471,0.6647,0.65,0.6294,0.65,0.6559,0.7618,0.6294,0.6624
46,0.6618,0.7676,0.6676,0.6441,0.6559,0.6647,0.6588,0.6294,0.6559,0.6559,0.7676,0.6294,0.6662
47,0.6676,0.7765,0.6676,0.6441,0.6647,0.6706,0.6618,0.6294,0.6588,0.6559,0.7765,0.6294,0.6697
48,0.6676,0.7765,0.6676,0.6441,0.6735,0.6735,0.6618,0.6324,0.6618,0.6588,0.7765,0.6324,0.6718
49,0.6706,0.7882,0.6676,0.6471,0.6765,0.6765,0.6647,0.6324,0.6706,0.6647,0.7882,0.6324,0.6759
50,0.6735,0.7882,0.6706,0.65,0.6824,0.6794,0.6647,0.6353,0.6706,0.6735,0.7882,0.6353,0.6788
51,0.6794,0.7912,0.6765,0.65,0.6882,0.6794,0.6647,0.6382,0.6706,0.6765,0.7912,0.6382,0.6815
52,0.6853,0.7941,0.6765,0.65,0.6912,0.6794,0.6647,0.6382,0.6706,0.6794,0.7941,0.6382,0.6829
53,0.6853,0.7941,0.6765,0.6618,0.6941,0.6824,0.6676,0.6382,0.6735,0.6824,0.7941,0.6382,0.6856
54,0.6853,0.7941,0.6794,0.6647,0.6971,0.6824,0.6676,0.6412,0.6735,0.6824,0.7941,0.6412,0.6868
55,0.6853,0.7971,0.6824,0.6647,0.6971,0.6853,0.6735,0.6441,0.6765,0.6824,0.7971,0.6441,0.6888
56,0.6853,0.8,0.6853,0.6647,0.7,0.6882,0.6765,0.6441,0.6765,0.6824,0.8,0.6441,0.6903
57,0.6912,0.8088,0.6853,0.6676,0.7029,0.6882,0.6794,0.6471,0.6794,0.6853,0.8088,0.6471,0.6935
58,0.6912,0.8147,0.6853,0.6676,0.7029,0.6882,0.6824,0.6471,0.6794,0.6853,0.8147,0.6471,0.6944
59,0.6971,0.8147,0.6912,0.6676,0.7059,0.6882,0.6824,0.65,0.6824,0.6912,0.8147,0.65,0.6971
60,0.7029,0.8176,0.6912,0.6676,0.7088,0.6912,0.6971,0.6618,0.6824,0.6941,0.8176,0.6618,0.7015
61,0.7029,0.8176,0.6912,0.6735,0.7088,0.6912,0.7,0.6676,0.6853,0.6941,0.8176,0.6676,0.7032
62,0.7029,0.8176,0.6912,0.6765,0.7088,0.6971,0.7,0.6735,0.6853,0.6941,0.8176,0.6735,0.7047
63,0.7059,0.8206,0.6912,0.6765,0.7088,0.6971,0.7059,0.6735,0.6882,0.6971,0.8206,0.6735,0.7065
64,0.7059,0.8206,0.6941,0.6824,0.7118,0.7029,0.7176,0.6735,0.6882,0.7,0.8206,0.6735,0.7097
65,0.7088,0.8235,0.6941,0.6882,0.7118,0.7059,0.7206,0.6794,0.6882,0.7029,0.8235,0.6794,0.7123
