timestamp,uhci4,uhci3,uhci1,uhci5,uhci2,uhci0,uhci7,uhci6,uhci9,uhci8,max,min,avg
0,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838
4,0.0838,0.0838,0.1127,0.0838,0.1098,0.1358,0.0838,0.0838,0.0838,0.0838,0.1358,0.0838,0.0945
5,0.4595,0.3988,0.4566,0.1243,0.3988,0.4104,0.1127,0.0838,0.1098,0.1416,0.4595,0.0838,0.2696
6,0.4624,0.4595,0.4595,0.4104,0.4624,0.474,0.4538,0.4538,0.3988,0.396,0.474,0.396,0.4431
7,0.4624,0.4711,0.4595,0.4711,0.4624,0.474,0.4624,0.4624,0.4624,0.4624,0.474,0.4595,0.465
8,0.474,0.4711,0.4769,0.4711,0.4624,0.474,0.4624,0.4624,0.4624,0.4624,0.4769,0.4624,0.4679
9,0.4769,0.4711,0.4769,0.4711,0.4624,0.474,0.4624,0.4624,0.4624,0.4624,0.4769,0.4624,0.4682
10,0.4769,0.4711,0.4769,0.4711,0.4653,0.4769,0.4624,0.4624,0.4624,0.4624,0.4769,0.4624,0.4688
11,0.4798,0.474,0.4769,0.5549,0.4653,0.4769,0.4653,0.4653,0.4769,0.4653,0.5549,0.4653,0.4801
12,0.4798,0.474,0.4769,0.5549,0.4653,0.4798,0.4653,0.4653,0.4769,0.4653,0.5549,0.4653,0.4803
13,0.4798,0.474,0.4769,0.5549,0.4769,0.4798,0.4769,0.4653,0.4769,0.4653,0.5549,0.4653,0.4827
14,0.4798,0.474,0.4769,0.5549,0.4769,0.4798,0.4769,0.4653,0.4769,0.4653,0.5549,0.4653,0.4827
15,0.4798,0.4769,0.4769,0.5549,0.4769,0.4798,0.5578,0.4653,0.4769,0.4769,0.5578,0.4653,0.4922
16,0.4798,0.4769,0.4769,0.5549,0.4769,0.4798,0.5578,0.4769,0.4769,0.4769,0.5578,0.4769,0.4934
