timestamp,uhci1,uhci7,uhci0,uhci4,uhci2,uhci3,uhci5,uhci6,uhci8,uhci9,max,min,avg
0,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838
3,0.1387,0.0838,0.1387,0.0838,0.1387,0.0838,0.0838,0.0838,0.0838,0.0838,0.1387,0.0838,0.1003
4,0.5202,0.1387,0.6098,0.1387,0.6098,0.1387,0.1387,0.1387,0.1387,0.1387,0.6098,0.1387,0.2711
5,0.6069,0.526,0.6185,0.5202,0.6098,0.5838,0.4595,0.6069,0.4624,0.526,0.6185,0.4595,0.552
6,0.6098,0.5289,0.6185,0.5289,0.6358,0.6358,0.604,0.6127,0.6098,0.5289,0.6358,0.5289,0.5913
7,0.6098,0.6098,0.6387,0.5289,0.6445,0.6358,0.6098,0.6127,0.6098,0.6185,0.6445,0.5289,0.6118
8,0.6098,0.6098,0.6387,0.6127,0.6821,0.6358,0.6098,0.6127,0.6098,0.6272,0.6821,0.6098,0.6248
9,0.6185,0.6098,0.6416,0.6127,0.6821,0.6416,0.6474,0.6127,0.6098,0.6416,0.6821,0.6098,0.6318
10,0.6214,0.6214,0.6416,0.6272,0.6821,0.6416,0.6561,0.6127,0.6098,0.6416,0.6821,0.6098,0.6355
11,0.6214,0.6387,0.6416,0.6272,0.6821,0.6416,0.6734,0.6214,0.6098,0.6416,0.6821,0.6098,0.6399
12,0.6214,0.6474,0.6416,0.6301,0.6821,0.6676,0.6734,0.6214,0.6098,0.6416,0.6821,0.6098,0.6436
13,0.6214,0.6474,0.6416,0.6445,0.6821,0.6676,0.6763,0.6214,0.6329,0.6474,0.6821,0.6214,0.6483
14,0.6214,0.6474,0.6416,0.6763,0.6821,0.685,0.6763,0.6416,0.6358,0.6474,0.685,0.6214,0.6555
15,0.6503,0.6474,0.6416,0.6763,0.6821,0.685,0.6763,0.6416,0.6387,0.6474,0.685,0.6387,0.6587
16,0.6821,0.6792,0.6416,0.6763,0.6821,0.6936,0.6763,0.6416,0.6387,0.6792,0.6936,0.6387,0.6691
17,0.6821,0.6792,0.6734,0.685,0.6821,0.6936,0.6879,0.6474,0.6387,0.6792,0.6936,0.6387,0.6749
18,0.6821,0.6792,0.6734,0.685,0.6821,0.6936,0.6908,0.6474,0.6387,0.685,0.6936,0.6387,0.6757
19,0.6821,0.685,0.6734,0.685,0.6821,0.6936,0.6908,0.6474,0.6387,0.685,0.6936,0.6387,0.6763
20,0.6821,0.685,0.6734,0.6908,0.6821,0.6936,0.6908,0.6503,0.6387,0.685,0.6936,0.6387,0.6772
21,0.6821,0.685,0.6792,0.6908,0.6821,0.6936,0.6908,0.6503,0.6387,0.685,0.6936,0.6387,0.6778
22,0.6821,0.685,0.6792,0.6908,0.6821,0.6936,0.6965,0.6503,0.6387,0.685,0.6965,0.6387,0.6783
23,0.6821,0.685,0.6792,0.6908,0.6821,0.6936,0.6965,0.6561,0.6387,0.685,0.6965,0.6387,0.6789
24,0.6879,0.685,0.6792,0.6908,0.685,0.6936,0.6965,0.6561,0.6387,0.685,0.6965,0.6387,0.6798
25,0.6879,0.685,0.6792,0.6908,0.6908,0.6936,0.6965,0.6879,0.6445,0.685,0.6965,0.6445,0.6841
26,0.6879,0.685,0.6792,0.6908,0.6908,0.6936,0.6965,0.6879,0.6445,0.685,0.6965,0.6445,0.6841
27,0.6879,0.685,0.685,0.6908,0.6908,0.6936,0.6965,0.6879,0.6445,0.685,0.6965,0.6445,0.6847
28,0.6879,0.685,0.685,0.6965,0.6908,0.6936,0.6965,0.6879,0.6445,0.685,0.6965,0.6445,0.6853
29,0.6879,0.685,0.685,0.6965,0.6908,0.6936,0.6965,0.6879,0.6763,0.685,0.6965,0.6763,0.6885
30,0.6879,0.685,0.685,0.6965,0.6908,0.6936,0.6965,0.6879,0.6763,0.685,0.6965,0.6763,0.6885
31,0.6936,0.685,0.685,0.6965,0.6965,0.6936,0.6965,0.6879,0.6763,0.6879,0.6965,0.6763,0.6899
32,0.6936,0.685,0.685,0.6965,0.6965,0.6936,0.6965,0.6879,0.6763,0.6879,0.6965,0.6763,0.6899
33,0.6936,0.685,0.6908,0.6965,0.6965,0.6936,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6913
34,0.6936,0.685,0.6908,0.6965,0.6965,0.6936,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6913
35,0.6936,0.6879,0.6908,0.6965,0.6965,0.6936,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6916
36,0.6936,0.6879,0.6908,0.6965,0.6965,0.6936,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6916
37,0.6936,0.6879,0.6908,0.6965,0.6965,0.6936,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6916
38,0.6936,0.6879,0.6908,0.6965,0.6965,0.6936,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6916
39,0.6936,0.6879,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6919
40,0.6936,0.6879,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6919
41,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6925
42,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6925
43,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6925
44,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6925
45,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6925
46,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6925
47,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6925
48,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6925
49,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6925
50,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6879,0.685,0.6879,0.6965,0.685,0.6925
51,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6908,0.685,0.6879,0.6965,0.685,0.6928
52,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6908,0.685,0.6879,0.6965,0.685,0.6928
53,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6908,0.685,0.6879,0.6965,0.685,0.6928
54,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6965,0.685,0.6879,0.6965,0.685,0.6933
55,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6965,0.685,0.6879,0.6965,0.685,0.6933
56,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6965,0.685,0.6879,0.6965,0.685,0.6933
57,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6965,0.685,0.6879,0.6965,0.685,0.6933
58,0.6936,0.6936,0.6908,0.6965,0.6965,0.6965,0.6965,0.6965,0.685,0.6879,0.6965,0.685,0.6933
59,0.6936,0.6936,0.6908,0.6994,0.6965,0.6965,0.6965,0.6965,0.685,0.6879,0.6994,0.685,0.6936
60,0.6936,0.6936,0.6908,0.6994,0.6965,0.6965,0.6965,0.6965,0.685,0.6879,0.6994,0.685,0.6936
61,0.6936,0.6936,0.6908,0.6994,0.6965,0.6965,0.6965,0.6965,0.685,0.6879,0.6994,0.685,0.6936
62,0.6936,0.6936,0.6908,0.6994,0.6965,0.6965,0.6965,0.6965,0.685,0.6879,0.6994,0.685,0.6936
63,0.6936,0.6936,0.6908,0.6994,0.6965,0.6965,0.6965,0.6965,0.685,0.6879,0.6994,0.685,0.6936
64,0.6936,0.6936,0.6908,0.6994,0.6965,0.6965,0.6965,0.6965,0.685,0.6936,0.6994,0.685,0.6942
65,0.6936,0.6936,0.6908,0.6994,0.6965,0.6965,0.6965,0.6965,0.685,0.6936,0.6994,0.685,0.6942
66,0.6936,0.6936,0.6908,0.6994,0.6965,0.6965,0.6965,0.6965,0.685,0.6936,0.6994,0.685,0.6942
