timestamp,uhci5,uhci7,uhci3,uhci8,uhci2,uhci9,uhci6,uhci0,uhci4,uhci1,max,min,avg
0,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838
4,0.1243,0.1214,0.1185,0.0838,0.1098,0.1416,0.1098,0.1098,0.0838,0.1214,0.1416,0.0838,0.1124
5,0.3382,0.3382,0.3382,0.3382,0.3382,0.3353,0.3353,0.3497,0.3497,0.3468,0.3497,0.3353,0.3408
6,0.3497,0.3382,0.3382,0.3382,0.3497,0.3382,0.3526,0.3497,0.3497,0.3497,0.3526,0.3382,0.3454
7,0.3497,0.3382,0.3382,0.3382,0.3497,0.3382,0.3526,0.3497,0.3497,0.3497,0.3526,0.3382,0.3454
8,0.3497,0.3382,0.3382,0.3382,0.3497,0.3382,0.3526,0.3497,0.3497,0.3497,0.3526,0.3382,0.3454
9,0.3497,0.3382,0.3382,0.3382,0.3497,0.3382,0.3526,0.3497,0.3497,0.3497,0.3526,0.3382,0.3454
10,0.3497,0.3382,0.3382,0.3382,0.3497,0.3382,0.3526,0.3526,0.3497,0.3497,0.3526,0.3382,0.3457
11,0.3497,0.3382,0.3382,0.3382,0.3497,0.3497,0.3526,0.3526,0.3497,0.3497,0.3526,0.3382,0.3468
12,0.3497,0.3382,0.3382,0.3382,0.3497,0.3497,0.3526,0.3526,0.3497,0.3497,0.3526,0.3382,0.3468
13,0.3497,0.3382,0.3382,0.3382,0.3497,0.3497,0.3526,0.3526,0.3497,0.3497,0.3526,0.3382,0.3468
14,0.3497,0.3382,0.3382,0.3382,0.3497,0.3497,0.3526,0.3526,0.3497,0.3497,0.3526,0.3382,0.3468
15,0.3497,0.3382,0.3497,0.3382,0.3497,0.3497,0.3526,0.3526,0.3497,0.3497,0.3526,0.3382,0.348
16,0.3497,0.3382,0.3497,0.3497,0.3497,0.3497,0.3526,0.3526,0.3497,0.3497,0.3526,0.3382,0.3491
17,0.3497,0.3382,0.3497,0.3497,0.3497,0.3497,0.3526,0.3526,0.3497,0.3497,0.3526,0.3382,0.3491
18,0.3497,0.3382,0.3526,0.3497,0.3497,0.3497,0.3526,0.3526,0.3497,0.3497,0.3526,0.3382,0.3494
19,0.3497,0.3382,0.3526,0.3497,0.3497,0.3497,0.3526,0.3526,0.3497,0.3497,0.3526,0.3382,0.3494
20,0.3497,0.3497,0.3526,0.3526,0.3497,0.3497,0.3526,0.3526,0.3497,0.3497,0.3526,0.3497,0.3509
