timestamp,virtioblk0,virtioblk2,virtioblk8,virtioblk5,virtioblk9,virtioblk1,virtioblk6,virtioblk3,virtioblk7,virtioblk4,max,min,avg
0,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042
4,0.1215,0.1215,0.1042,0.1215,0.1042,0.1215,0.1042,0.1215,0.1042,0.1215,0.1215,0.1042,0.1146
5,0.4201,0.4201,0.1215,0.1215,0.1215,0.434,0.1215,0.4514,0.1215,0.434,0.4514,0.1215,0.2767
6,0.4444,0.4549,0.3785,0.4583,0.4201,0.4514,0.434,0.4653,0.4028,0.4479,0.4653,0.3785,0.4358
7,0.4722,0.4618,0.4826,0.4688,0.4444,0.4549,0.4444,0.4688,0.4514,0.4618,0.4826,0.4444,0.4611
8,0.4722,0.4618,0.4826,0.4722,0.4688,0.4618,0.4514,0.4688,0.4688,0.4757,0.4826,0.4514,0.4684
9,0.4722,0.4688,0.4826,0.4757,0.4688,0.4757,0.4618,0.5243,0.4792,0.4757,0.5243,0.4618,0.4785
10,0.4722,0.4688,0.4826,0.4861,0.4688,0.4757,0.4618,0.5243,0.4792,0.4757,0.5243,0.4618,0.4795
11,0.4722,0.4688,0.4826,0.4861,0.4688,0.4757,0.4618,0.5243,0.4792,0.4757,0.5243,0.4618,0.4795
12,0.4861,0.4757,0.4826,0.4861,0.4688,0.4757,0.4618,0.5243,0.4826,0.4757,0.5243,0.4618,0.4819
13,0.4861,0.4757,0.4826,0.4861,0.4688,0.4757,0.4653,0.5312,0.4826,0.4757,0.5312,0.4653,0.483
14,0.4861,0.4757,0.4826,0.4861,0.4688,0.4757,0.4757,0.5312,0.4826,0.4757,0.5312,0.4688,0.484
15,0.4861,0.4757,0.4826,0.4861,0.4688,0.5208,0.4757,0.5312,0.4826,0.5174,0.5312,0.4688,0.4927
16,0.4861,0.4757,0.4826,0.4861,0.4688,0.5312,0.4757,0.5312,0.4826,0.5174,0.5312,0.4688,0.4937
17,0.4861,0.4757,0.4826,0.4861,0.4688,0.5312,0.4757,0.5312,0.4896,0.5174,0.5312,0.4688,0.4944
18,0.4861,0.4861,0.4826,0.4861,0.4688,0.5312,0.4792,0.5312,0.4896,0.5174,0.5312,0.4688,0.4958
19,0.4861,0.4861,0.4826,0.4861,0.4688,0.5312,0.4896,0.5312,0.4896,0.5278,0.5312,0.4688,0.4979
20,0.4861,0.4861,0.4826,0.4896,0.4688,0.5312,0.4896,0.5312,0.4896,0.5278,0.5312,0.4688,0.4983
21,0.4861,0.4965,0.4826,0.4896,0.4688,0.5312,0.4931,0.5312,0.4896,0.5312,0.5312,0.4688,0.5
22,0.4861,0.4965,0.4861,0.4896,0.4688,0.5312,0.4931,0.5312,0.4896,0.5312,0.5312,0.4688,0.5003
23,0.4861,0.4965,0.4861,0.4896,0.4688,0.5312,0.4931,0.5312,0.4896,0.5312,0.5312,0.4688,0.5003
24,0.4861,0.4965,0.4861,0.4896,0.4688,0.5312,0.4931,0.5312,0.4896,0.5312,0.5312,0.4688,0.5003
25,0.4861,0.4965,0.4861,0.4896,0.4688,0.5312,0.4931,0.5312,0.4896,0.5312,0.5312,0.4688,0.5003
