timestamp,xhci6,xhci9,xhci7,xhci8,xhci0,xhci2,xhci1,xhci3,xhci4,xhci5,max,min,avg
0,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618
5,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291
6,0.269,0.269,0.3547,0.3351,0.3438,0.3915,0.3384,0.2527,0.2701,0.2646,0.3915,0.2527,0.3089
7,0.333,0.2831,0.4002,0.3503,0.5011,0.4577,0.3785,0.3666,0.3709,0.2701,0.5011,0.2701,0.3711
8,0.4371,0.2842,0.4696,0.3536,0.5477,0.4707,0.449,0.5152,0.4252,0.2907,0.5477,0.2842,0.4243
9,0.4826,0.2852,0.5304,0.3796,0.5922,0.4794,0.4837,0.5586,0.4414,0.4241,0.5922,0.2852,0.4657
10,0.487,0.359,0.5597,0.4262,0.602,0.5369,0.487,0.5879,0.4794,0.4664,0.602,0.359,0.4992
11,0.487,0.539,0.5672,0.4512,0.6106,0.5531,0.5759,0.59,0.5521,0.4783,0.6106,0.4512,0.5404
12,0.4881,0.5466,0.6182,0.4816,0.6171,0.5553,0.6171,0.5922,0.5781,0.4805,0.6182,0.4805,0.5575
13,0.5423,0.5477,0.6616,0.4957,0.6204,0.5965,0.6247,0.5998,0.5868,0.4859,0.6616,0.4859,0.5761
14,0.5857,0.5835,0.6692,0.5347,0.6236,0.6432,0.6258,0.6041,0.5889,0.5152,0.6692,0.5152,0.5974
15,0.615,0.5835,0.6692,0.539,0.6302,0.6475,0.6399,0.6106,0.5922,0.5206,0.6692,0.5206,0.6048
16,0.6215,0.5911,0.6692,0.5607,0.6334,0.6486,0.6421,0.6117,0.5987,0.5759,0.6692,0.5607,0.6153
17,0.6226,0.602,0.6692,0.5803,0.6334,0.6497,0.6432,0.6171,0.6106,0.5879,0.6692,0.5803,0.6216
18,0.6258,0.6041,0.6714,0.5889,0.6345,0.6518,0.6464,0.6215,0.6171,0.5879,0.6714,0.5879,0.6249
19,0.6312,0.6095,0.6746,0.5954,0.6345,0.6518,0.6475,0.6258,0.6692,0.5879,0.6746,0.5879,0.6327
20,0.6334,0.6128,0.6768,0.5954,0.6345,0.6518,0.6497,0.6258,0.6703,0.5944,0.6768,0.5944,0.6345
21,0.6356,0.6128,0.6779,0.602,0.6345,0.6518,0.6497,0.6258,0.6725,0.602,0.6779,0.602,0.6365
