timestamp,ac970,ac971,ac973,ac979,ac977,ac976,ac975,ac972,ac974,ac978,max,min,avg
0,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765
3,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.1448,0.1448,0.0765,0.1448,0.0765,0.0902
4,0.1448,0.1448,0.1448,0.1448,0.1448,0.1448,0.1448,0.7404,0.7951,0.1448,0.7951,0.1448,0.2694
5,0.724,0.8115,0.7104,0.7486,0.7596,0.7896,0.7623,0.8579,0.877,0.694,0.877,0.694,0.7735
6,0.7896,0.8634,0.847,0.8415,0.8361,0.8552,0.7842,0.8716,0.8825,0.8005,0.8825,0.7842,0.8372
7,0.8306,0.8716,0.8579,0.8607,0.8525,0.8716,0.8115,0.877,0.9016,0.8962,0.9016,0.8115,0.8631
8,0.8361,0.8798,0.8579,0.8634,0.9071,0.8743,0.8934,0.9071,0.918,0.9016,0.918,0.8361,0.8839
9,0.8361,0.918,0.8689,0.877,0.9153,0.9016,0.9071,0.9235,0.9235,0.9126,0.9235,0.8361,0.8984
10,0.8661,0.918,0.8716,0.9098,0.918,0.9071,0.9153,0.9235,0.9235,0.918,0.9235,0.8661,0.9071
11,0.8716,0.918,0.8743,0.9098,0.9235,0.9071,0.918,0.9235,0.9235,0.9208,0.9235,0.8716,0.909
12,0.8716,0.918,0.8743,0.9098,0.9235,0.9208,0.9235,0.9235,0.9235,0.9208,0.9235,0.8716,0.9109
13,0.9071,0.9235,0.877,0.9098,0.9235,0.9208,0.9235,0.9235,0.9235,0.9208,0.9235,0.877,0.9153
14,0.9071,0.9235,0.8798,0.9098,0.9235,0.9208,0.9235,0.9235,0.9235,0.9208,0.9235,0.8798,0.9156
15,0.9071,0.9235,0.8798,0.9098,0.9235,0.9208,0.9235,0.9235,0.9235,0.9208,0.9235,0.8798,0.9156
16,0.9071,0.9235,0.8798,0.9098,0.9235,0.9208,0.9235,0.9235,0.9235,0.9208,0.9235,0.8798,0.9156
17,0.9071,0.9235,0.8798,0.9208,0.9235,0.9208,0.9235,0.9235,0.9235,0.9208,0.9235,0.8798,0.9167
18,0.9071,0.9235,0.8798,0.9208,0.9235,0.9208,0.9235,0.9235,0.9235,0.9208,0.9235,0.8798,0.9167
19,0.9071,0.9235,0.8798,0.9208,0.9235,0.9208,0.9235,0.9235,0.9235,0.9208,0.9235,0.8798,0.9167
20,0.9071,0.9235,0.8798,0.9208,0.9235,0.9235,0.9235,0.9235,0.9235,0.9208,0.9235,0.8798,0.9169
