timestamp,hd4,hd8,hd7,hd2,hd5,hd9,hd0,hd1,hd6,hd3,max,min,avg
0,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407
3,0.0407,0.0407,0.0407,0.0701,0.0407,0.0407,0.0701,0.0701,0.0407,0.0701,0.0701,0.0407,0.0525
4,0.0701,0.0701,0.0701,0.4525,0.0701,0.0701,0.4457,0.4118,0.0701,0.4367,0.4525,0.0701,0.2167
5,0.4683,0.4276,0.4299,0.4525,0.4208,0.4389,0.4525,0.4276,0.4502,0.4434,0.4683,0.4208,0.4412
6,0.4751,0.4321,0.4457,0.4525,0.4299,0.4457,0.4525,0.457,0.4751,0.4525,0.4751,0.4299,0.4518
7,0.4796,0.4367,0.457,0.457,0.4593,0.4457,0.4525,0.4615,0.4751,0.4525,0.4796,0.4367,0.4577
8,0.4796,0.4367,0.457,0.457,0.4593,0.4502,0.4525,0.4661,0.4751,0.4525,0.4796,0.4367,0.4586
9,0.4819,0.4367,0.4615,0.4615,0.4774,0.4638,0.4548,0.4661,0.4819,0.4548,0.4819,0.4367,0.464
10,0.4819,0.448,0.4615,0.4615,0.4774,0.4706,0.457,0.4661,0.4819,0.4548,0.4819,0.448,0.4661
11,0.4819,0.4502,0.4615,0.4615,0.4774,0.4729,0.457,0.4661,0.4819,0.4548,0.4819,0.4502,0.4665
12,0.4819,0.4548,0.4615,0.4615,0.4774,0.4819,0.457,0.4661,0.4819,0.4548,0.4819,0.4548,0.4679
13,0.4819,0.4548,0.4615,0.4615,0.4774,0.4819,0.457,0.4661,0.4819,0.4548,0.4819,0.4548,0.4679
14,0.4819,0.4593,0.4638,0.4615,0.4774,0.4819,0.457,0.4661,0.4819,0.4548,0.4819,0.4548,0.4686
15,0.4819,0.4593,0.4638,0.4615,0.4774,0.4819,0.4615,0.4683,0.4819,0.4548,0.4819,0.4548,0.4692
16,0.4819,0.4593,0.4638,0.4615,0.4774,0.4819,0.4683,0.4683,0.4819,0.4548,0.4819,0.4548,0.4699
17,0.4819,0.4593,0.4638,0.4615,0.4774,0.4819,0.4683,0.4683,0.4819,0.4548,0.4819,0.4548,0.4699
18,0.4819,0.4593,0.4638,0.4615,0.4774,0.4819,0.4683,0.4819,0.4819,0.4548,0.4819,0.4548,0.4713
19,0.4819,0.4593,0.4638,0.4615,0.4774,0.4819,0.4683,0.4819,0.4819,0.4548,0.4819,0.4548,0.4713
20,0.4842,0.4593,0.4638,0.4615,0.4774,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4729
21,0.4842,0.4593,0.4638,0.4615,0.4774,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4729
22,0.4842,0.4593,0.4638,0.4615,0.4796,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4731
23,0.4842,0.4593,0.4638,0.4615,0.4796,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4731
24,0.4842,0.4593,0.4638,0.4615,0.4796,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4731
25,0.4842,0.4593,0.4638,0.4615,0.4796,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4731
26,0.4842,0.4593,0.4638,0.4615,0.4796,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4731
27,0.4842,0.4593,0.4638,0.4615,0.4796,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4731
28,0.4842,0.4593,0.4638,0.4615,0.4796,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4731
29,0.4842,0.4593,0.4638,0.4615,0.4796,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4731
30,0.4842,0.4593,0.4638,0.4615,0.4796,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4731
31,0.4842,0.4593,0.4638,0.4615,0.4796,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4731
32,0.4842,0.4593,0.4638,0.4615,0.4819,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4733
33,0.4842,0.4593,0.4638,0.4615,0.4819,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4733
34,0.4842,0.4593,0.4638,0.4615,0.4819,0.4819,0.4819,0.4819,0.4819,0.4548,0.4842,0.4548,0.4733
35,0.4842,0.4593,0.4638,0.4615,0.4819,0.4819,0.4819,0.4819,0.4819,0.4729,0.4842,0.4593,0.4751
36,0.4842,0.4593,0.4638,0.4615,0.4819,0.4819,0.4819,0.4819,0.4819,0.4729,0.4842,0.4593,0.4751
37,0.4842,0.4593,0.4638,0.4615,0.4819,0.4819,0.4819,0.4819,0.4819,0.4729,0.4842,0.4593,0.4751
38,0.4842,0.4593,0.4638,0.4615,0.4819,0.4819,0.4819,0.4819,0.4819,0.4729,0.4842,0.4593,0.4751
39,0.4842,0.4593,0.4638,0.4615,0.4819,0.4819,0.4819,0.4819,0.4819,0.4729,0.4842,0.4593,0.4751
40,0.4842,0.4593,0.4638,0.4661,0.4819,0.4819,0.4842,0.4819,0.4819,0.4729,0.4842,0.4593,0.4758
41,0.4842,0.4593,0.4638,0.4661,0.4819,0.4819,0.4842,0.4819,0.4819,0.4729,0.4842,0.4593,0.4758
