timestamp,cs4231a1,cs4231a5,cs4231a7,cs4231a0,cs4231a3,cs4231a6,cs4231a8,cs4231a2,cs4231a4,cs4231a9,max,min,avg
0,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
2,0.0072,0.0072,0.0072,0.1739,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.1739,0.0072,0.0239
3,0.1739,0.0072,0.0072,0.4203,0.1739,0.0072,0.0072,0.1739,0.0072,0.0072,0.4203,0.0072,0.0985
4,0.587,0.1739,0.1739,0.4783,0.5652,0.1739,0.1739,0.5942,0.1739,0.1739,0.5942,0.1739,0.3268
5,0.6522,0.5942,0.529,0.4783,0.6667,0.4348,0.3188,0.7246,0.6014,0.587,0.7246,0.3188,0.5587
6,0.7319,0.6667,0.6087,0.4783,0.7246,0.6087,0.3768,0.7536,0.6449,0.6232,0.7536,0.3768,0.6217
7,0.7319,0.6957,0.6377,0.4783,0.7319,0.6304,0.471,0.7681,0.8116,0.6812,0.8116,0.471,0.6638
8,0.7391,0.7174,0.6377,0.5,0.7319,0.6667,0.471,0.7681,0.8116,0.8406,0.8406,0.471,0.6884
9,0.7391,0.7174,0.6449,0.5072,0.7609,0.6667,0.471,0.7754,0.8551,0.8623,0.8623,0.471,0.7
10,0.7754,0.8188,0.6594,0.5072,0.7971,0.6667,0.471,0.7754,0.8913,0.8696,0.8913,0.471,0.7232
11,0.8116,0.8188,0.6667,0.5072,0.7971,0.6739,0.471,0.7754,0.8913,0.8768,0.8913,0.471,0.729
12,0.8116,0.8261,0.6667,0.5072,0.8043,0.6739,0.471,0.7754,0.8986,0.8768,0.8986,0.471,0.7312
13,0.8116,0.8261,0.6812,0.5072,0.8043,0.6739,0.471,0.7754,0.913,0.8768,0.913,0.471,0.7341
14,0.8116,0.8406,0.6812,0.5072,0.8043,0.6739,0.471,0.7899,0.913,0.8768,0.913,0.471,0.737
15,0.8116,0.8406,0.7681,0.5072,0.8043,0.6739,0.471,0.7899,0.913,0.8768,0.913,0.471,0.7456
16,0.8116,0.8406,0.7681,0.5072,0.8043,0.6739,0.471,0.8261,0.913,0.8768,0.913,0.471,0.7493
17,0.8116,0.8406,0.8478,0.5072,0.8043,0.6739,0.471,0.8261,0.913,0.8768,0.913,0.471,0.7572
18,0.8116,0.8406,0.8478,0.5072,0.8043,0.6739,0.4928,0.8333,0.913,0.8768,0.913,0.4928,0.7601
19,0.8116,0.8406,0.8478,0.5072,0.8043,0.6739,0.5,0.8406,0.913,0.8768,0.913,0.5,0.7616
20,0.8116,0.8478,0.8478,0.5072,0.8043,0.7319,0.6232,0.8551,0.913,0.8768,0.913,0.5072,0.7819
21,0.8116,0.8478,0.8478,0.5072,0.8043,0.7391,0.6667,0.8768,0.913,0.8768,0.913,0.5072,0.7891
22,0.8116,0.8478,0.8478,0.5072,0.8043,0.7391,0.6667,0.8768,0.913,0.8768,0.913,0.5072,0.7891
23,0.8116,0.8478,0.8623,0.5072,0.8043,0.7391,0.6812,0.8768,0.913,0.8768,0.913,0.5072,0.792
24,0.8116,0.8478,0.8623,0.5072,0.8043,0.7971,0.6812,0.8768,0.913,0.8768,0.913,0.5072,0.7978
25,0.8116,0.8478,0.8623,0.5072,0.8043,0.8043,0.6812,0.8768,0.913,0.8768,0.913,0.5072,0.7985
26,0.8116,0.8478,0.8623,0.5072,0.8043,0.8043,0.7174,0.8768,0.913,0.8768,0.913,0.5072,0.8022
27,0.8116,0.8478,0.8623,0.5072,0.8043,0.8043,0.7246,0.8768,0.913,0.8768,0.913,0.5072,0.8029
28,0.8116,0.8478,0.8623,0.5072,0.8043,0.8116,0.7246,0.8768,0.913,0.8768,0.913,0.5072,0.8036
29,0.8116,0.8478,0.8623,0.5072,0.8043,0.8116,0.7609,0.8768,0.913,0.8768,0.913,0.5072,0.8072
30,0.8116,0.8478,0.8623,0.5072,0.8043,0.8116,0.7681,0.8841,0.913,0.8913,0.913,0.5072,0.8101
31,0.8116,0.8478,0.8623,0.5072,0.8043,0.8116,0.8188,0.8841,0.913,0.8913,0.913,0.5072,0.8152
32,0.8116,0.8478,0.8623,0.5072,0.8043,0.8116,0.8188,0.8841,0.913,0.8913,0.913,0.5072,0.8152
33,0.8478,0.8478,0.8623,0.5072,0.8043,0.8116,0.8188,0.8841,0.9203,0.8913,0.9203,0.5072,0.8196
34,0.8478,0.8478,0.8768,0.5072,0.8043,0.8116,0.8188,0.8841,0.9203,0.8913,0.9203,0.5072,0.821
35,0.8478,0.8478,0.8768,0.5072,0.8043,0.8261,0.8188,0.8841,0.9203,0.8913,0.9203,0.5072,0.8225
36,0.8478,0.8478,0.8841,0.5072,0.8043,0.8261,0.8333,0.8841,0.9203,0.8913,0.9203,0.5072,0.8246
37,0.8478,0.8478,0.8841,0.5072,0.8623,0.8261,0.8333,0.8913,0.9203,0.8913,0.9203,0.5072,0.8312
38,0.8478,0.8478,0.8841,0.5072,0.8623,0.8261,0.8333,0.8913,0.9203,0.8913,0.9203,0.5072,0.8312
39,0.8478,0.8478,0.8841,0.5072,0.8623,0.8261,0.8333,0.8913,0.9203,0.8913,0.9203,0.5072,0.8312
40,0.8478,0.8478,0.8841,0.5072,0.8623,0.8261,0.8333,0.8913,0.9203,0.8913,0.9203,0.5072,0.8312
41,0.8478,0.8478,0.8841,0.5072,0.8623,0.8261,0.8623,0.8913,0.9203,0.8913,0.9203,0.5072,0.8341
42,0.8478,0.8478,0.8841,0.5217,0.8623,0.8261,0.8913,0.8913,0.9203,0.8913,0.9203,0.5217,0.8384
