timestamp,e1000e8,e1000e9,e1000e7,e1000e3,e1000e0,e1000e4,e1000e6,e1000e5,e1000e2,e1000e1,max,min,avg
0,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812
2,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.375,0.375,0.2812,0.2906
3,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
4,0.5938,0.5781,0.5781,0.5469,0.5938,0.5625,0.5469,0.5938,0.5469,0.5781,0.5938,0.5469,0.5719
5,0.5938,0.5781,0.5781,0.5469,0.5938,0.5625,0.5469,0.5938,0.5469,0.5781,0.5938,0.5469,0.5719
6,0.5938,0.5781,0.5781,0.5469,0.5938,0.5625,0.5469,0.5938,0.5469,0.5781,0.5938,0.5469,0.5719
7,0.5938,0.5781,0.5938,0.5469,0.5938,0.5625,0.5781,0.6094,0.5469,0.5781,0.6094,0.5469,0.5781
8,0.5938,0.5781,0.5938,0.5469,0.5938,0.5625,0.5781,0.6094,0.5469,0.5781,0.6094,0.5469,0.5781
9,0.5938,0.5781,0.5938,0.5469,0.5938,0.5625,0.5781,0.6094,0.5469,0.5781,0.6094,0.5469,0.5781
10,0.5938,0.5781,0.5938,0.5469,0.5938,0.5625,0.5781,0.6094,0.5469,0.5781,0.6094,0.5469,0.5781
11,0.5938,0.5781,0.5938,0.5469,0.5938,0.5625,0.5781,0.6094,0.5469,0.5781,0.6094,0.5469,0.5781
12,0.5938,0.5781,0.5938,0.5469,0.5938,0.5625,0.5781,0.6094,0.5469,0.5781,0.6094,0.5469,0.5781
13,0.5938,0.5781,0.5938,0.5469,0.5938,0.5781,0.5781,0.6094,0.5469,0.5781,0.6094,0.5469,0.5797
14,0.5938,0.5781,0.6094,0.5469,0.5938,0.5781,0.5781,0.6094,0.5469,0.5781,0.6094,0.5469,0.5813
15,0.5938,0.5781,0.6094,0.5469,0.5938,0.5781,0.5781,0.6094,0.5469,0.5781,0.6094,0.5469,0.5813
16,0.5938,0.5781,0.6094,0.5469,0.5938,0.5781,0.5781,0.6094,0.5469,0.5781,0.6094,0.5469,0.5813
17,0.6094,0.5781,0.6094,0.5469,0.5938,0.5781,0.625,0.6094,0.5469,0.5781,0.625,0.5469,0.5875
18,0.6094,0.5781,0.625,0.5469,0.5938,0.5781,0.625,0.6094,0.5469,0.5781,0.625,0.5469,0.5891
19,0.6094,0.5781,0.625,0.5469,0.5938,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5906
20,0.6094,0.5781,0.625,0.5469,0.5938,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5906
21,0.6094,0.5781,0.625,0.5469,0.5938,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5906
22,0.6094,0.5781,0.625,0.5469,0.5938,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5906
23,0.6094,0.5938,0.625,0.5469,0.5938,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5922
24,0.6094,0.5938,0.625,0.5469,0.5938,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5922
25,0.6094,0.5938,0.625,0.5469,0.5938,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5922
26,0.6094,0.5938,0.625,0.5469,0.5938,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5922
27,0.6094,0.5938,0.625,0.5469,0.5938,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5922
28,0.6094,0.5938,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5938
29,0.6094,0.5938,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5938
30,0.6094,0.5938,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5938
31,0.6094,0.5938,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5938
32,0.6094,0.5938,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5938
33,0.6094,0.5938,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5938
34,0.6094,0.5938,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5938
35,0.6094,0.5938,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5938
36,0.6094,0.6094,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5953
37,0.6094,0.6094,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5953
38,0.6094,0.6094,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5953
39,0.6094,0.6094,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5953
40,0.6094,0.6094,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5953
41,0.6094,0.6094,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5953
42,0.6094,0.6094,0.625,0.5469,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.5953
43,0.6094,0.6094,0.625,0.5938,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6
44,0.6094,0.6094,0.625,0.5938,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6
45,0.6094,0.6094,0.625,0.5938,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6
46,0.6094,0.6094,0.625,0.5938,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6
47,0.6094,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6016
48,0.6094,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6016
49,0.6094,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6016
50,0.6094,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6016
51,0.6094,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6016
52,0.6094,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6016
53,0.6094,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6016
54,0.625,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6031
55,0.625,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6031
56,0.625,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5469,0.5938,0.625,0.5469,0.6031
57,0.625,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5625,0.5938,0.625,0.5625,0.6047
58,0.625,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5625,0.5938,0.625,0.5625,0.6047
59,0.625,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5781,0.5938,0.625,0.5781,0.6063
60,0.625,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5781,0.5938,0.625,0.5781,0.6063
61,0.625,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5781,0.5938,0.625,0.5781,0.6063
62,0.625,0.6094,0.625,0.6094,0.6094,0.5781,0.625,0.6094,0.5781,0.5938,0.625,0.5781,0.6063
