timestamp,i825502,i825500,i825506,i825503,i825509,i825505,i825501,i825507,i825508,i825504,max,min,avg
0,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741
3,0.0741,0.2755,0.0741,0.0741,0.0741,0.0741,0.2755,0.0741,0.0741,0.0741,0.2755,0.0741,0.1144
4,0.2755,0.6944,0.2755,0.2755,0.2755,0.2755,0.7083,0.2755,0.2755,0.2755,0.7083,0.2755,0.3607
5,0.6667,0.7546,0.6528,0.6435,0.6412,0.6597,0.7083,0.6412,0.7083,0.6343,0.7546,0.6343,0.6711
6,0.8102,0.7546,0.6944,0.6713,0.669,0.7407,0.7708,0.7546,0.7917,0.8264,0.8264,0.669,0.7484
7,0.838,0.8056,0.7083,0.6991,0.7083,0.8218,0.8287,0.8056,0.8287,0.838,0.838,0.6991,0.7882
8,0.8495,0.8449,0.8009,0.7847,0.7986,0.8356,0.8542,0.8171,0.8472,0.8495,0.8542,0.7847,0.8282
9,0.8519,0.8449,0.8194,0.787,0.8009,0.8472,0.8611,0.8495,0.8542,0.8519,0.8611,0.787,0.8368
10,0.8542,0.8449,0.8472,0.8449,0.838,0.8495,0.8611,0.8542,0.8565,0.8565,0.8611,0.838,0.8507
11,0.8542,0.8449,0.8472,0.8472,0.8426,0.8495,0.8681,0.8542,0.8588,0.8565,0.8681,0.8426,0.8523
12,0.8542,0.8495,0.8495,0.8495,0.8449,0.8495,0.8727,0.8542,0.8611,0.8611,0.8727,0.8449,0.8546
13,0.8565,0.8519,0.8495,0.8495,0.8495,0.8519,0.8727,0.8565,0.8634,0.8611,0.8727,0.8495,0.8562
14,0.8565,0.8542,0.8495,0.8495,0.8542,0.8519,0.875,0.8565,0.8634,0.8681,0.875,0.8495,0.8579
15,0.8565,0.8542,0.8495,0.8519,0.8542,0.8519,0.875,0.8611,0.8634,0.8681,0.875,0.8495,0.8586
16,0.8565,0.8565,0.8495,0.8519,0.8565,0.8519,0.875,0.8611,0.8634,0.8681,0.875,0.8495,0.859
17,0.8565,0.8565,0.8542,0.8519,0.8634,0.8565,0.875,0.8634,0.8634,0.8681,0.875,0.8519,0.8609
18,0.8565,0.8565,0.8542,0.8565,0.8634,0.8565,0.875,0.8657,0.8634,0.8727,0.875,0.8542,0.862
19,0.8565,0.8565,0.8588,0.8565,0.8657,0.8565,0.875,0.8657,0.8634,0.875,0.875,0.8565,0.863
20,0.8565,0.8565,0.8588,0.8565,0.8681,0.8565,0.875,0.8657,0.8657,0.8773,0.8773,0.8565,0.8637
21,0.8565,0.8565,0.8588,0.8565,0.875,0.8611,0.875,0.8657,0.8657,0.8773,0.8773,0.8565,0.8648
22,0.8565,0.8611,0.8588,0.8565,0.875,0.8634,0.875,0.8657,0.8657,0.8773,0.8773,0.8565,0.8655
23,0.8565,0.8611,0.8588,0.8565,0.875,0.8634,0.875,0.8657,0.8657,0.8773,0.8773,0.8565,0.8655
24,0.8565,0.8634,0.8588,0.8588,0.875,0.8634,0.8796,0.8657,0.8657,0.8773,0.8796,0.8565,0.8664
25,0.8565,0.8634,0.8588,0.8588,0.875,0.8634,0.8796,0.8657,0.8657,0.8773,0.8796,0.8565,0.8664
26,0.8565,0.8634,0.8588,0.8588,0.875,0.8634,0.8796,0.8657,0.8657,0.8773,0.8796,0.8565,0.8664
27,0.8565,0.8634,0.8634,0.8588,0.875,0.8634,0.8796,0.8657,0.8657,0.8773,0.8796,0.8565,0.8669
28,0.8565,0.8657,0.8634,0.8611,0.875,0.8634,0.8796,0.8657,0.8657,0.8773,0.8796,0.8565,0.8673
29,0.8565,0.8681,0.8634,0.8634,0.875,0.8657,0.8796,0.8681,0.8657,0.8773,0.8796,0.8565,0.8683
30,0.8565,0.8681,0.8634,0.8634,0.875,0.8657,0.8796,0.8681,0.8657,0.8773,0.8796,0.8565,0.8683
31,0.8565,0.8681,0.8657,0.8634,0.875,0.8657,0.8796,0.8681,0.8657,0.8773,0.8796,0.8565,0.8685
32,0.8565,0.8681,0.8657,0.8634,0.875,0.8657,0.8796,0.8704,0.8657,0.8819,0.8819,0.8565,0.8692
33,0.8565,0.8681,0.8657,0.8634,0.875,0.8657,0.8819,0.8727,0.8681,0.8819,0.8819,0.8565,0.8699
34,0.8611,0.8704,0.8704,0.8634,0.875,0.8657,0.8819,0.8796,0.8681,0.8819,0.8819,0.8611,0.8718
35,0.8611,0.8704,0.8704,0.8634,0.8773,0.8657,0.8819,0.8796,0.8681,0.8819,0.8819,0.8611,0.872
36,0.8611,0.8704,0.8704,0.8634,0.8773,0.8657,0.8819,0.8796,0.8681,0.8819,0.8819,0.8611,0.872
37,0.8634,0.8704,0.8704,0.8657,0.8773,0.8681,0.8819,0.8796,0.8681,0.8819,0.8819,0.8634,0.8727
38,0.8634,0.8727,0.8704,0.8657,0.8773,0.8681,0.8819,0.8819,0.8681,0.8819,0.8819,0.8634,0.8731
39,0.8634,0.8727,0.8727,0.8657,0.8773,0.8681,0.8819,0.8819,0.8681,0.8819,0.8819,0.8634,0.8734
40,0.8634,0.875,0.8727,0.8657,0.8773,0.8727,0.8819,0.8819,0.8681,0.8819,0.8819,0.8634,0.8741
41,0.8634,0.875,0.8727,0.8657,0.8796,0.8727,0.8819,0.8819,0.8681,0.8819,0.8819,0.8634,0.8743
42,0.8657,0.875,0.8727,0.8657,0.8796,0.8727,0.8819,0.8819,0.8704,0.8843,0.8843,0.8657,0.875
43,0.8657,0.8773,0.875,0.8657,0.8796,0.8727,0.8819,0.8819,0.875,0.8843,0.8843,0.8657,0.8759
44,0.8657,0.8773,0.875,0.8657,0.8796,0.8727,0.8819,0.8819,0.875,0.8843,0.8843,0.8657,0.8759
45,0.8657,0.8773,0.875,0.8657,0.8796,0.875,0.8819,0.8819,0.875,0.8843,0.8843,0.8657,0.8761
46,0.8681,0.8773,0.875,0.8657,0.8796,0.875,0.8819,0.8819,0.875,0.8843,0.8843,0.8657,0.8764
47,0.8681,0.8773,0.875,0.8657,0.8796,0.875,0.8819,0.8819,0.875,0.8843,0.8843,0.8657,0.8764
