timestamp,fdc2,fdc5,fdc1,fdc3,fdc0,fdc4,fdc6,fdc7,fdc8,fdc9,max,min,avg
0,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911
3,0.1911,0.2764,0.1911,0.1911,0.1911,0.1911,0.2764,0.2764,0.2764,0.2764,0.2764,0.1911,0.2337
4,0.2764,0.3943,0.2764,0.2764,0.2764,0.2764,0.372,0.3902,0.3699,0.376,0.3943,0.2764,0.3284
5,0.4065,0.3943,0.3679,0.3923,0.3699,0.372,0.3902,0.3902,0.3801,0.376,0.4065,0.3679,0.3839
6,0.4126,0.4024,0.372,0.3943,0.3699,0.372,0.3923,0.4309,0.4065,0.4004,0.4309,0.3699,0.3953
7,0.4126,0.4045,0.3963,0.3943,0.374,0.3943,0.3923,0.4309,0.4085,0.4004,0.4309,0.374,0.4008
8,0.4126,0.4065,0.3963,0.4228,0.374,0.4065,0.4004,0.4329,0.4126,0.4228,0.4329,0.374,0.4087
9,0.4146,0.4939,0.3963,0.4309,0.3963,0.4065,0.4004,0.435,0.4146,0.4268,0.4939,0.3963,0.4215
10,0.4167,0.5,0.3963,0.4329,0.3963,0.4329,0.4004,0.437,0.4167,0.4268,0.5,0.3963,0.4256
11,0.4167,0.502,0.3963,0.4329,0.3963,0.4329,0.4004,0.437,0.4167,0.4289,0.502,0.3963,0.426
12,0.4329,0.502,0.4228,0.4329,0.3963,0.4329,0.4126,0.437,0.4167,0.4329,0.502,0.3963,0.4319
13,0.4451,0.502,0.4268,0.4329,0.3984,0.4329,0.4146,0.437,0.4167,0.4329,0.502,0.3984,0.4339
14,0.4451,0.502,0.4268,0.4472,0.3984,0.4329,0.4146,0.437,0.4167,0.4329,0.502,0.3984,0.4354
15,0.4451,0.502,0.4289,0.4472,0.3984,0.4329,0.4146,0.437,0.4167,0.4329,0.502,0.3984,0.4356
16,0.4451,0.502,0.4309,0.5061,0.3984,0.4329,0.437,0.437,0.4167,0.4329,0.5061,0.3984,0.4439
17,0.4451,0.502,0.4309,0.5061,0.3984,0.4329,0.439,0.437,0.4167,0.4329,0.5061,0.3984,0.4441
18,0.4451,0.5041,0.4309,0.5061,0.3984,0.4329,0.439,0.437,0.4167,0.4329,0.5061,0.3984,0.4443
19,0.4451,0.5041,0.4309,0.5061,0.3984,0.4329,0.4411,0.4431,0.4167,0.4329,0.5061,0.3984,0.4451
20,0.4451,0.5041,0.4309,0.5061,0.3984,0.4329,0.4411,0.4431,0.4167,0.4329,0.5061,0.3984,0.4451
21,0.4492,0.5041,0.4533,0.5061,0.4004,0.4329,0.4411,0.4431,0.4167,0.4329,0.5061,0.4004,0.448
22,0.4512,0.5081,0.4533,0.5102,0.4004,0.4329,0.4512,0.4533,0.4207,0.4329,0.5102,0.4004,0.4514
23,0.4512,0.5081,0.4533,0.5224,0.4004,0.4329,0.4512,0.4675,0.4228,0.4329,0.5224,0.4004,0.4543
24,0.4512,0.5081,0.4533,0.5224,0.4004,0.435,0.4512,0.4695,0.4228,0.4329,0.5224,0.4004,0.4547
25,0.5,0.5081,0.4533,0.5224,0.4004,0.437,0.4512,0.5061,0.4228,0.4329,0.5224,0.4004,0.4634
26,0.5041,0.5081,0.4533,0.5244,0.4024,0.439,0.4512,0.5183,0.4228,0.435,0.5244,0.4024,0.4659
27,0.5041,0.5122,0.4533,0.5244,0.4024,0.439,0.4533,0.5203,0.4228,0.435,0.5244,0.4024,0.4667
28,0.5061,0.5122,0.4533,0.5264,0.4024,0.4411,0.4533,0.5203,0.4228,0.437,0.5264,0.4024,0.4675
29,0.5081,0.5142,0.4533,0.5264,0.4024,0.4431,0.4654,0.5203,0.4329,0.437,0.5264,0.4024,0.4703
30,0.5102,0.5142,0.4533,0.5264,0.4024,0.4431,0.4654,0.5203,0.4329,0.437,0.5264,0.4024,0.4705
31,0.5122,0.5142,0.4533,0.5285,0.4045,0.4431,0.4654,0.5203,0.4329,0.437,0.5285,0.4045,0.4711
32,0.5183,0.5142,0.4533,0.5285,0.4045,0.4431,0.4695,0.5203,0.4329,0.437,0.5285,0.4045,0.4722
33,0.5203,0.5142,0.4533,0.5285,0.4045,0.4431,0.4695,0.5203,0.435,0.437,0.5285,0.4045,0.4726
34,0.5224,0.5142,0.4533,0.5285,0.4146,0.4431,0.4695,0.5224,0.435,0.437,0.5285,0.4146,0.474
35,0.5305,0.5224,0.4533,0.5285,0.4146,0.4431,0.4695,0.5224,0.435,0.437,0.5305,0.4146,0.4756
36,0.5305,0.5264,0.4533,0.5285,0.4146,0.4431,0.4695,0.5224,0.435,0.437,0.5305,0.4146,0.476
37,0.5305,0.5407,0.4614,0.5285,0.4146,0.4431,0.4695,0.5224,0.435,0.437,0.5407,0.4146,0.4783
