timestamp,hda8,hda0,hda2,hda1,hda7,hda3,hda5,hda6,hda9,hda4,max,min,avg
0,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043
3,0.1565,0.1565,0.1565,0.1565,0.1565,0.1565,0.1565,0.1565,0.1565,0.1565,0.1565,0.1565,0.1565
4,0.3087,0.3609,0.3,0.313,0.3478,0.3826,0.4,0.3087,0.3304,0.3957,0.4,0.3,0.3448
5,0.3739,0.4478,0.3652,0.3783,0.3739,0.4435,0.4391,0.4217,0.4174,0.4609,0.4609,0.3652,0.4122
6,0.4957,0.4478,0.3957,0.3913,0.3826,0.4565,0.4565,0.513,0.4435,0.4696,0.513,0.3826,0.4452
7,0.5,0.4609,0.4,0.4435,0.3826,0.4652,0.4609,0.5522,0.4522,0.4696,0.5522,0.3826,0.4587
8,0.5,0.4652,0.4043,0.4652,0.3826,0.4739,0.4609,0.5957,0.4696,0.4783,0.5957,0.3826,0.4696
9,0.5043,0.4696,0.5174,0.4783,0.3826,0.487,0.4609,0.6,0.4957,0.4783,0.6,0.3826,0.4874
10,0.5043,0.4739,0.5174,0.4826,0.4261,0.487,0.4609,0.6043,0.4957,0.4826,0.6043,0.4261,0.4935
11,0.5087,0.5,0.5261,0.4826,0.4478,0.487,0.4609,0.6043,0.4957,0.4826,0.6043,0.4478,0.4996
12,0.5217,0.5,0.5261,0.487,0.4522,0.487,0.4609,0.6043,0.5087,0.4826,0.6043,0.4522,0.503
13,0.5261,0.513,0.5261,0.487,0.4522,0.487,0.4609,0.6043,0.5087,0.5,0.6043,0.4522,0.5065
14,0.5261,0.513,0.5304,0.487,0.4522,0.5,0.4652,0.6043,0.5087,0.5304,0.6043,0.4522,0.5117
15,0.5261,0.513,0.5304,0.487,0.4522,0.5,0.4826,0.6043,0.513,0.5304,0.6043,0.4522,0.5139
16,0.5261,0.513,0.5304,0.487,0.4522,0.5,0.4826,0.6043,0.513,0.5304,0.6043,0.4522,0.5139
17,0.5261,0.513,0.5522,0.487,0.4522,0.5,0.5217,0.6043,0.513,0.5304,0.6043,0.4522,0.52
18,0.5261,0.513,0.5522,0.487,0.4522,0.5,0.5261,0.6043,0.5261,0.5304,0.6043,0.4522,0.5217
19,0.5304,0.513,0.5522,0.487,0.4522,0.5,0.5261,0.613,0.5696,0.5304,0.613,0.4522,0.5274
20,0.5304,0.513,0.5522,0.487,0.4565,0.5,0.5261,0.613,0.5696,0.5304,0.613,0.4565,0.5278
21,0.5304,0.513,0.5522,0.487,0.4565,0.5,0.5261,0.613,0.5696,0.5304,0.613,0.4565,0.5278
22,0.5304,0.5174,0.5522,0.487,0.4565,0.5,0.5261,0.613,0.5696,0.5304,0.613,0.4565,0.5283
23,0.5304,0.5261,0.5522,0.487,0.4565,0.5,0.5261,0.613,0.5696,0.5304,0.613,0.4565,0.5291
24,0.5304,0.5261,0.5522,0.487,0.4739,0.5435,0.5304,0.6261,0.5696,0.5304,0.6261,0.4739,0.537
25,0.5435,0.5696,0.5522,0.487,0.4739,0.5435,0.5304,0.6261,0.5696,0.5304,0.6261,0.4739,0.5426
26,0.5435,0.5696,0.5522,0.487,0.4739,0.5565,0.5304,0.6261,0.5696,0.5304,0.6261,0.4739,0.5439
27,0.5435,0.5696,0.5522,0.5304,0.4739,0.5565,0.5304,0.6261,0.5696,0.5304,0.6261,0.4739,0.5483
