timestamp,ehci7,ehci0,ehci8,ehci6,ehci4,ehci5,ehci9,ehci3,ehci2,ehci1,max,min,avg
0,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573
4,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006
5,0.2263,0.2332,0.3436,0.2863,0.3575,0.2528,0.3045,0.1844,0.1816,0.1885,0.3575,0.1816,0.2559
6,0.2277,0.2416,0.3939,0.2933,0.3939,0.3003,0.3156,0.2235,0.1872,0.2933,0.3939,0.1872,0.287
7,0.3659,0.317,0.3966,0.2975,0.3966,0.3715,0.3352,0.2346,0.2151,0.3408,0.3966,0.2151,0.3271
8,0.4483,0.3198,0.4022,0.3017,0.4064,0.3799,0.3799,0.236,0.2598,0.3827,0.4483,0.236,0.3517
9,0.4651,0.3198,0.4022,0.3017,0.4078,0.405,0.3855,0.3575,0.3645,0.3869,0.4651,0.3017,0.3796
10,0.4665,0.3645,0.4078,0.3017,0.4078,0.405,0.4204,0.3953,0.4022,0.3869,0.4665,0.3017,0.3958
11,0.4665,0.3659,0.4092,0.3017,0.4092,0.405,0.4204,0.398,0.4078,0.3869,0.4665,0.3017,0.3971
12,0.4832,0.3659,0.4092,0.3031,0.4106,0.405,0.4204,0.4022,0.4148,0.3994,0.4832,0.3031,0.4014
13,0.4832,0.3659,0.4092,0.3534,0.4106,0.4078,0.4204,0.4036,0.4148,0.3994,0.4832,0.3534,0.4068
14,0.4832,0.3659,0.4092,0.3911,0.4106,0.4078,0.4204,0.4078,0.4148,0.3994,0.4832,0.3659,0.411
15,0.4832,0.4036,0.4092,0.3925,0.4106,0.4078,0.4204,0.4078,0.4148,0.4092,0.4832,0.3925,0.4159
16,0.4832,0.4036,0.4106,0.3966,0.4106,0.4078,0.4204,0.4078,0.419,0.412,0.4832,0.3966,0.4172
17,0.493,0.4092,0.4148,0.3966,0.4106,0.4078,0.4204,0.4176,0.419,0.4148,0.493,0.3966,0.4204
18,0.4944,0.4092,0.4148,0.3966,0.4106,0.4092,0.4204,0.4176,0.419,0.419,0.4944,0.3966,0.4211
19,0.4986,0.4134,0.4148,0.4036,0.4106,0.4204,0.4204,0.4176,0.419,0.4204,0.4986,0.4036,0.4239
20,0.4986,0.4134,0.4148,0.4036,0.4106,0.4204,0.4204,0.4176,0.419,0.4204,0.4986,0.4036,0.4239
21,0.4986,0.4134,0.4148,0.4036,0.4106,0.4288,0.4204,0.4176,0.419,0.4204,0.4986,0.4036,0.4247
