timestamp,pcnet7,pcnet2,pcnet4,pcnet9,pcnet3,pcnet0,pcnet5,pcnet8,pcnet1,pcnet6,max,min,avg
0,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182
3,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584
4,0.4033,0.4051,0.4653,0.4124,0.4288,0.4854,0.4069,0.4307,0.458,0.4325,0.4854,0.4033,0.4328
5,0.4307,0.5511,0.531,0.5091,0.5146,0.5055,0.4179,0.5255,0.4672,0.4653,0.5511,0.4179,0.4918
6,0.4325,0.562,0.5438,0.5328,0.5566,0.5201,0.4453,0.5474,0.5146,0.5036,0.562,0.4325,0.5159
7,0.4453,0.5858,0.5657,0.5474,0.573,0.5401,0.4672,0.5511,0.5274,0.5237,0.5858,0.4453,0.5327
8,0.4562,0.5967,0.573,0.5529,0.5931,0.5602,0.4708,0.5584,0.5328,0.5328,0.5967,0.4562,0.5427
9,0.4653,0.5985,0.5821,0.5584,0.5985,0.5785,0.4726,0.5693,0.5438,0.5401,0.5985,0.4653,0.5507
10,0.4672,0.6058,0.5967,0.5748,0.5985,0.5876,0.4745,0.5748,0.5456,0.5401,0.6058,0.4672,0.5566
11,0.4781,0.6077,0.6022,0.5839,0.5985,0.6004,0.4763,0.5803,0.5493,0.5474,0.6077,0.4763,0.5624
12,0.5182,0.615,0.6022,0.5912,0.5985,0.6077,0.4818,0.5839,0.5529,0.5785,0.615,0.4818,0.573
13,0.531,0.6223,0.6058,0.5949,0.5985,0.6186,0.4854,0.5839,0.5584,0.5821,0.6223,0.4854,0.5781
14,0.5347,0.6277,0.6113,0.6168,0.5985,0.6186,0.4909,0.5894,0.5657,0.5876,0.6277,0.4909,0.5841
15,0.5383,0.6296,0.615,0.6168,0.5985,0.6223,0.4964,0.5894,0.5748,0.5876,0.6296,0.4964,0.5869
16,0.5383,0.6314,0.615,0.6168,0.5985,0.6241,0.4982,0.5949,0.5748,0.5912,0.6314,0.4982,0.5883
17,0.5383,0.6387,0.6204,0.6168,0.5985,0.6277,0.5,0.5967,0.5803,0.5931,0.6387,0.5,0.591
18,0.5401,0.6405,0.6204,0.6168,0.6259,0.6314,0.5,0.5967,0.5803,0.5967,0.6405,0.5,0.5949
19,0.5529,0.6405,0.6204,0.6168,0.6369,0.6369,0.5036,0.5967,0.5803,0.5967,0.6405,0.5036,0.5982
20,0.5529,0.6442,0.6223,0.6204,0.6387,0.6369,0.5055,0.5985,0.5967,0.5967,0.6442,0.5055,0.6013
21,0.5547,0.6442,0.6241,0.6223,0.6405,0.6369,0.5292,0.6004,0.5967,0.5967,0.6442,0.5292,0.6046
22,0.5547,0.6442,0.6241,0.6223,0.6405,0.6405,0.5292,0.6022,0.5967,0.6022,0.6442,0.5292,0.6057
23,0.5547,0.6478,0.6241,0.6296,0.6442,0.6405,0.5347,0.6022,0.5985,0.604,0.6478,0.5347,0.608
24,0.562,0.6496,0.6296,0.6314,0.646,0.6442,0.5383,0.6022,0.6077,0.6095,0.6496,0.5383,0.612
25,0.562,0.6496,0.6314,0.6332,0.6478,0.646,0.5383,0.604,0.6077,0.6095,0.6496,0.5383,0.6129
26,0.562,0.6496,0.6314,0.6332,0.6496,0.646,0.5639,0.6058,0.6077,0.6095,0.6496,0.562,0.6159
27,0.5639,0.6496,0.6314,0.6332,0.6515,0.646,0.5639,0.6058,0.6077,0.6095,0.6515,0.5639,0.6162
28,0.5657,0.6496,0.6332,0.6405,0.6533,0.646,0.5639,0.6058,0.6095,0.6113,0.6533,0.5639,0.6179
29,0.5712,0.6496,0.6332,0.6405,0.6533,0.646,0.5639,0.6077,0.6095,0.6113,0.6533,0.5639,0.6186
30,0.573,0.6496,0.6332,0.6423,0.6533,0.6496,0.5675,0.6095,0.6095,0.6405,0.6533,0.5675,0.6228
31,0.5766,0.6496,0.6332,0.646,0.6551,0.6496,0.5675,0.6113,0.6095,0.646,0.6551,0.5675,0.6244
32,0.5803,0.6496,0.6332,0.646,0.6551,0.6496,0.5693,0.6113,0.6113,0.646,0.6551,0.5693,0.6252
33,0.5803,0.6515,0.6332,0.646,0.6551,0.6515,0.5712,0.6131,0.615,0.6478,0.6551,0.5712,0.6265
34,0.5894,0.6515,0.6332,0.646,0.6569,0.6515,0.5712,0.615,0.615,0.6478,0.6569,0.5712,0.6278
35,0.5894,0.6515,0.6332,0.646,0.6569,0.6533,0.5712,0.6168,0.615,0.6478,0.6569,0.5712,0.6281
36,0.5894,0.6515,0.6332,0.646,0.6569,0.6533,0.573,0.6314,0.615,0.6478,0.6569,0.573,0.6298
