timestamp,v32,v37,v30,v34,v36,v33,v38,v35,v39,v31,max,min,avg
0,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516,0.0516
3,0.1226,0.0516,0.1226,0.1226,0.0516,0.1226,0.0516,0.1226,0.0516,0.1226,0.1226,0.0516,0.0942
4,0.3129,0.1226,0.3113,0.1226,0.1226,0.1226,0.1226,0.4516,0.1226,0.3065,0.4516,0.1226,0.2118
5,0.3887,0.1226,0.3919,0.421,0.3081,0.1226,0.1226,0.4823,0.1226,0.371,0.4823,0.1226,0.2853
6,0.4177,0.3935,0.3952,0.421,0.4129,0.1226,0.1226,0.4935,0.3871,0.3984,0.4935,0.1226,0.3564
7,0.4871,0.4145,0.3968,0.4629,0.4129,0.1226,0.1226,0.4935,0.4258,0.421,0.4935,0.1226,0.376
8,0.5355,0.4161,0.3968,0.4629,0.4129,0.3742,0.3758,0.4935,0.4274,0.421,0.5355,0.3742,0.4316
9,0.5532,0.4161,0.3968,0.4629,0.4129,0.3742,0.3758,0.5565,0.4274,0.5048,0.5565,0.3742,0.4481
10,0.5532,0.421,0.3968,0.4629,0.4129,0.4581,0.3919,0.5565,0.4274,0.5048,0.5565,0.3919,0.4586
11,0.5532,0.4226,0.4629,0.471,0.4129,0.4581,0.3919,0.5565,0.4274,0.5048,0.5565,0.3919,0.4661
12,0.5726,0.4226,0.4742,0.471,0.4129,0.4581,0.3919,0.5565,0.4306,0.5048,0.5726,0.3919,0.4695
13,0.5855,0.4226,0.4742,0.471,0.4129,0.5758,0.3919,0.5565,0.4306,0.5048,0.5855,0.3919,0.4826
14,0.5984,0.4226,0.4758,0.471,0.4129,0.5758,0.4419,0.5565,0.4306,0.5048,0.5984,0.4129,0.489
15,0.6032,0.4226,0.5016,0.471,0.4129,0.579,0.4613,0.5565,0.4306,0.5048,0.6032,0.4129,0.4944
16,0.6129,0.4226,0.5274,0.471,0.4129,0.5806,0.4613,0.5565,0.4306,0.5048,0.6129,0.4129,0.4981
17,0.6161,0.4274,0.5339,0.471,0.4129,0.5806,0.4613,0.5565,0.4306,0.5048,0.6161,0.4129,0.4995
18,0.6161,0.4274,0.5387,0.471,0.4129,0.5806,0.4613,0.5565,0.4306,0.5048,0.6161,0.4129,0.5
19,0.621,0.4274,0.5452,0.471,0.4129,0.5823,0.4613,0.5565,0.4565,0.5048,0.621,0.4129,0.5039
20,0.6258,0.4274,0.5452,0.4742,0.4129,0.5823,0.4613,0.5565,0.4565,0.5048,0.6258,0.4129,0.5047
21,0.6339,0.4274,0.5548,0.4742,0.4129,0.5823,0.4613,0.5565,0.4565,0.5048,0.6339,0.4129,0.5065
22,0.6339,0.4565,0.5565,0.4742,0.4629,0.5823,0.4613,0.5565,0.4565,0.5048,0.6339,0.4565,0.5145
23,0.6339,0.4565,0.5565,0.4742,0.4968,0.5823,0.4613,0.5565,0.4565,0.5048,0.6339,0.4565,0.5179
24,0.6339,0.4565,0.5565,0.4742,0.4968,0.5823,0.4613,0.5565,0.4565,0.5048,0.6339,0.4565,0.5179
25,0.6339,0.4565,0.5565,0.4742,0.4984,0.5823,0.4613,0.5565,0.4565,0.5048,0.6339,0.4565,0.5181
26,0.6339,0.4565,0.5565,0.4742,0.4984,0.5823,0.4806,0.5565,0.4565,0.5048,0.6339,0.4565,0.52
27,0.6339,0.4565,0.5597,0.4742,0.4984,0.5839,0.4806,0.5565,0.4565,0.5048,0.6339,0.4565,0.5205
28,0.6339,0.4581,0.5597,0.4742,0.521,0.5839,0.4806,0.5742,0.4565,0.5048,0.6339,0.4565,0.5247
29,0.6339,0.4726,0.5597,0.4742,0.521,0.5839,0.4806,0.5742,0.4565,0.5048,0.6339,0.4565,0.5261
30,0.6339,0.4726,0.5597,0.4742,0.521,0.5839,0.4806,0.5742,0.4565,0.5048,0.6339,0.4565,0.5261
31,0.6339,0.4726,0.5597,0.4742,0.521,0.5919,0.4806,0.5758,0.4565,0.5048,0.6339,0.4565,0.5271
32,0.6339,0.4726,0.5597,0.4742,0.521,0.5919,0.4806,0.5758,0.4952,0.5048,0.6339,0.4726,0.531
33,0.6339,0.479,0.5597,0.4742,0.521,0.5919,0.4806,0.5758,0.4952,0.5048,0.6339,0.4742,0.5316
34,0.6339,0.479,0.5597,0.4742,0.521,0.5919,0.4806,0.579,0.4952,0.5048,0.6339,0.4742,0.5319
35,0.6339,0.4806,0.5597,0.4742,0.521,0.5919,0.4806,0.5823,0.4952,0.5048,0.6339,0.4742,0.5324
36,0.6339,0.4806,0.5597,0.4742,0.521,0.5919,0.4806,0.5823,0.4952,0.5048,0.6339,0.4742,0.5324
37,0.6339,0.4806,0.5629,0.4742,0.521,0.5919,0.4806,0.5984,0.4952,0.5048,0.6339,0.4742,0.5343
38,0.6339,0.4806,0.5726,0.4742,0.521,0.5919,0.4806,0.6016,0.4952,0.5048,0.6339,0.4742,0.5356
39,0.6339,0.4903,0.5726,0.4984,0.521,0.5919,0.4823,0.6016,0.4952,0.5048,0.6339,0.4823,0.5392
40,0.6339,0.4903,0.5726,0.4984,0.521,0.5919,0.4839,0.6016,0.4952,0.5048,0.6339,0.4839,0.5394
