timestamp,ohci8,ohci9,ohci3,ohci1,ohci0,ohci2,ohci4,ohci7,ohci6,ohci5,max,min,avg
0,0.1489,0.1489,0.1489,0.1489,0.1489,0.1489,0.1489,0.1489,0.1489,0.1489,0.1489,0.1489,0.1489
1,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636
2,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636
3,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636,0.1636
4,0.1636,0.1636,0.1746,0.1636,0.1636,0.1636,0.1636,0.1636,0.3456,0.1636,0.3456,0.1636,0.1829
5,0.1636,0.3401,0.3143,0.1636,0.1746,0.1636,0.1636,0.1636,0.3493,0.1746,0.3493,0.1636,0.2171
6,0.1746,0.3419,0.3199,0.1746,0.3603,0.1636,0.1636,0.1746,0.3511,0.3493,0.3603,0.1636,0.2574
7,0.318,0.3419,0.3199,0.3603,0.3603,0.1636,0.1636,0.3309,0.3511,0.3511,0.3603,0.1636,0.3061
8,0.3199,0.3419,0.3199,0.3603,0.3658,0.1636,0.1746,0.3309,0.3511,0.3511,0.3658,0.1636,0.3079
9,0.3199,0.3419,0.3199,0.3603,0.3658,0.1746,0.3621,0.3309,0.3511,0.3511,0.3658,0.1746,0.3278
10,0.3199,0.3419,0.3199,0.3603,0.3658,0.3309,0.3676,0.3309,0.3511,0.3511,0.3676,0.3199,0.3439
11,0.3199,0.3493,0.3199,0.3603,0.3658,0.3327,0.3676,0.3309,0.3585,0.3511,0.3676,0.3199,0.3456
12,0.3199,0.3493,0.3272,0.3603,0.3658,0.3327,0.3676,0.3382,0.3585,0.3585,0.3676,0.3199,0.3478
13,0.3272,0.3493,0.3272,0.3676,0.3658,0.3327,0.3676,0.3382,0.3585,0.3585,0.3676,0.3272,0.3493
14,0.3272,0.3493,0.3272,0.3676,0.3732,0.3327,0.3676,0.3382,0.3585,0.3585,0.3732,0.3272,0.35
15,0.3272,0.3493,0.3272,0.3676,0.3732,0.3327,0.375,0.3382,0.3585,0.3585,0.375,0.3272,0.3507
16,0.3272,0.3566,0.3272,0.3676,0.3732,0.3327,0.375,0.3382,0.3658,0.3585,0.375,0.3272,0.3522
17,0.3272,0.3566,0.3346,0.3676,0.3732,0.3401,0.375,0.3382,0.3658,0.3658,0.375,0.3272,0.3544
18,0.3346,0.3585,0.3346,0.375,0.3732,0.3401,0.375,0.3456,0.3658,0.3676,0.375,0.3346,0.357
19,0.3346,0.3585,0.3364,0.375,0.3805,0.3401,0.375,0.3474,0.3676,0.3676,0.3805,0.3346,0.3583
20,0.3364,0.3585,0.3364,0.3768,0.3824,0.3401,0.375,0.3474,0.3676,0.3676,0.3824,0.3364,0.3588
21,0.3364,0.3585,0.3364,0.3768,0.3824,0.3401,0.3824,0.3474,0.3676,0.3676,0.3824,0.3364,0.3596
22,0.3364,0.3585,0.3364,0.3768,0.3824,0.3474,0.3842,0.3474,0.3676,0.3676,0.3842,0.3364,0.3605
23,0.3364,0.3585,0.3364,0.3768,0.3824,0.3474,0.3842,0.3474,0.3676,0.3676,0.3842,0.3364,0.3605
24,0.3364,0.3585,0.3364,0.3768,0.3824,0.3493,0.3842,0.3474,0.3676,0.3676,0.3842,0.3364,0.3607
25,0.3364,0.3585,0.3364,0.3768,0.3824,0.3493,0.3842,0.3474,0.3676,0.3676,0.3842,0.3364,0.3607
26,0.3364,0.3585,0.3364,0.3768,0.3824,0.3493,0.3842,0.3474,0.3676,0.3676,0.3842,0.3364,0.3607
27,0.3364,0.3585,0.3364,0.3768,0.3824,0.3493,0.3842,0.3474,0.3676,0.3676,0.3842,0.3364,0.3607
28,0.3364,0.3585,0.3364,0.3768,0.3824,0.3493,0.3842,0.3474,0.3676,0.3676,0.3842,0.3364,0.3607
29,0.3364,0.3585,0.3364,0.3768,0.3824,0.3493,0.3842,0.3474,0.3676,0.3676,0.3842,0.3364,0.3607
