timestamp,xhci3,xhci2,xhci0,xhci7,xhci1,xhci5,xhci4,xhci6,xhci9,max,min,avg
0,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618
4,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291,0.1291
5,0.3677,0.3623,0.2646,0.3395,0.3265,0.2625,0.3612,0.2755,0.2701,0.3677,0.2625,0.3144
6,0.4035,0.5076,0.2777,0.3612,0.4826,0.2668,0.4154,0.333,0.2842,0.5076,0.2668,0.3702
7,0.41,0.5662,0.3644,0.4252,0.538,0.3416,0.4577,0.3503,0.3709,0.5662,0.3416,0.4249
8,0.5043,0.5868,0.4544,0.4859,0.564,0.4306,0.4696,0.3514,0.3709,0.5868,0.3514,0.4687
9,0.5141,0.615,0.5174,0.4946,0.5846,0.4902,0.4783,0.3547,0.3861,0.615,0.3547,0.4928
10,0.5369,0.6182,0.5293,0.513,0.5889,0.5434,0.4783,0.3644,0.3861,0.6182,0.3644,0.5065
11,0.5889,0.6258,0.538,0.5163,0.5944,0.5575,0.4892,0.3698,0.3948,0.6258,0.3698,0.5194
12,0.5987,0.6421,0.5412,0.5889,0.5987,0.5597,0.4892,0.3742,0.4035,0.6421,0.3742,0.5329
13,0.5987,0.6497,0.5607,0.6258,0.6009,0.5716,0.4924,0.3753,0.4154,0.6497,0.3753,0.5434
14,0.5987,0.6497,0.5738,0.6334,0.6095,0.628,0.4978,0.449,0.4208,0.6497,0.4208,0.5623
15,0.6063,0.6497,0.5944,0.6367,0.6095,0.6334,0.4989,0.5282,0.4761,0.6497,0.4761,0.5815
16,0.6085,0.692,0.603,0.6388,0.6095,0.6529,0.5,0.5434,0.5065,0.692,0.5,0.595
17,0.6117,0.692,0.603,0.6432,0.6139,0.6616,0.5,0.5499,0.5293,0.692,0.5,0.6005
18,0.6117,0.7115,0.603,0.6453,0.6139,0.6898,0.5,0.5846,0.5542,0.7115,0.5,0.6127
19,0.6139,0.7115,0.6052,0.6453,0.615,0.7072,0.5488,0.5954,0.5748,0.7115,0.5488,0.6241
20,0.6139,0.7158,0.6052,0.6453,0.615,0.7082,0.577,0.6171,0.5954,0.7158,0.577,0.6325
21,0.6204,0.7234,0.6529,0.6931,0.615,0.7148,0.5835,0.6193,0.6139,0.7234,0.5835,0.6485
22,0.6226,0.7234,0.6605,0.6941,0.6171,0.7148,0.5911,0.6236,0.6139,0.7234,0.5911,0.6512
23,0.6269,0.7234,0.6649,0.7007,0.6182,0.7148,0.5922,0.6323,0.6182,0.7234,0.5922,0.6546
24,0.628,0.7245,0.6703,0.7007,0.6182,0.7148,0.603,0.6323,0.6204,0.7245,0.603,0.6569
25,0.6291,0.7245,0.6703,0.7148,0.6182,0.7158,0.6041,0.6432,0.6269,0.7245,0.6041,0.6608
26,0.6312,0.7245,0.6768,0.7148,0.6215,0.7169,0.6052,0.6941,0.6269,0.7245,0.6052,0.668
27,0.6844,0.7245,0.6768,0.7148,0.6258,0.7169,0.6117,0.6941,0.628,0.7245,0.6117,0.6752
28,0.6844,0.7245,0.6768,0.7148,0.6811,0.7169,0.6128,0.6963,0.6822,0.7245,0.6128,0.6878
29,0.6844,0.7245,0.6768,0.7158,0.6811,0.7169,0.6215,0.6985,0.6931,0.7245,0.6215,0.6903
30,0.6844,0.7256,0.6768,0.7158,0.6811,0.7191,0.6215,0.6985,0.6931,0.7256,0.6215,0.6907
31,0.6844,0.7256,0.6768,0.7158,0.6811,0.7191,0.6215,0.6985,0.6941,0.7256,0.6215,0.6908
32,0.6844,0.7256,0.6768,0.718,0.6811,0.7191,0.6746,0.6985,0.6963,0.7256,0.6746,0.6972
33,0.6855,0.7289,0.6768,0.718,0.6811,0.7234,0.6768,0.7137,0.6963,0.7289,0.6768,0.7001
34,0.6866,0.7289,0.6768,0.718,0.6811,0.7234,0.6876,0.7148,0.7137,0.7289,0.6768,0.7034
35,0.6866,0.7289,0.6768,0.7408,0.6855,0.7234,0.6876,0.7169,0.7169,0.7408,0.6768,0.707
36,0.6866,0.7299,0.6768,0.7408,0.6855,0.7332,0.6898,0.7169,0.7234,0.7408,0.6768,0.7092
37,0.6898,0.7364,0.679,0.7408,0.6855,0.7332,0.7007,0.7169,0.7234,0.7408,0.679,0.7117
38,0.6898,0.7364,0.679,0.7419,0.6855,0.7332,0.7017,0.7202,0.7234,0.7419,0.679,0.7123
39,0.6898,0.7364,0.6833,0.7419,0.6855,0.7332,0.7017,0.7202,0.7234,0.7419,0.6833,0.7128
40,0.6898,0.7364,0.6833,0.7419,0.6855,0.7332,0.7017,0.7299,0.7256,0.7419,0.6833,0.7141
41,0.7028,0.7364,0.6855,0.7419,0.6855,0.7332,0.7017,0.7321,0.7256,0.7419,0.6855,0.7161
42,0.7158,0.7364,0.6866,0.7419,0.6855,0.7332,0.7017,0.7321,0.7256,0.7419,0.6855,0.7176
43,0.7245,0.7364,0.6866,0.7419,0.6855,0.7332,0.7017,0.7332,0.7289,0.7419,0.6855,0.7191
44,0.7256,0.7462,0.6866,0.7419,0.6855,0.7332,0.7017,0.743,0.7321,0.7462,0.6855,0.7218
45,0.7278,0.7462,0.6866,0.7419,0.6855,0.7332,0.7028,0.743,0.7321,0.7462,0.6855,0.7221
46,0.7278,0.7462,0.6866,0.7419,0.6855,0.7332,0.7028,0.743,0.7321,0.7462,0.6855,0.7221
47,0.7278,0.7473,0.6866,0.744,0.6855,0.7332,0.7028,0.743,0.7321,0.7473,0.6855,0.7225
48,0.7278,0.7473,0.6866,0.744,0.6855,0.7332,0.7158,0.7495,0.7321,0.7495,0.6855,0.7246
