timestamp,ehci0,ehci2,ehci5,ehci7,ehci8,ehci1,ehci9,ehci6,ehci4,ehci3,max,min,avg
0,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574
4,0.0854,0.0854,0.0854,0.0574,0.0574,0.0854,0.0574,0.0854,0.0854,0.0854,0.0854,0.0574,0.077
5,0.5532,0.5616,0.5154,0.0868,0.0854,0.5448,0.0854,0.5644,0.5602,0.5182,0.5644,0.0854,0.4075
6,0.6639,0.6148,0.6148,0.5672,0.5448,0.584,0.5364,0.6162,0.6401,0.6667,0.6667,0.5364,0.6049
7,0.6667,0.6583,0.6232,0.5686,0.563,0.605,0.6261,0.6765,0.6429,0.6695,0.6765,0.563,0.63
8,0.6681,0.6765,0.6723,0.6246,0.5714,0.605,0.6303,0.6765,0.6625,0.6751,0.6765,0.5714,0.6462
9,0.6765,0.6765,0.6737,0.6331,0.6246,0.6583,0.6331,0.6765,0.6723,0.6779,0.6779,0.6246,0.6603
10,0.6807,0.6765,0.6751,0.6359,0.6345,0.6583,0.6331,0.6779,0.6737,0.6779,0.6807,0.6331,0.6624
11,0.6821,0.6779,0.6765,0.6359,0.6359,0.6583,0.6359,0.6779,0.6863,0.6779,0.6863,0.6359,0.6645
12,0.6849,0.6793,0.6863,0.6359,0.6359,0.6583,0.6359,0.6807,0.6863,0.6807,0.6863,0.6359,0.6664
13,0.6863,0.6793,0.6877,0.6793,0.6835,0.6597,0.6359,0.6933,0.6863,0.6807,0.6933,0.6359,0.6772
14,0.6863,0.6793,0.6877,0.6793,0.6835,0.6597,0.6359,0.6947,0.6863,0.6863,0.6947,0.6359,0.6779
15,0.6863,0.6793,0.6877,0.6821,0.6835,0.6653,0.6485,0.6975,0.6863,0.6863,0.6975,0.6485,0.6803
16,0.6863,0.6821,0.6877,0.6961,0.6835,0.6653,0.6485,0.6989,0.6863,0.6961,0.6989,0.6485,0.6831
17,0.6905,0.6821,0.6919,0.6961,0.6835,0.6737,0.6485,0.6989,0.6863,0.6961,0.6989,0.6485,0.6848
18,0.7073,0.6821,0.6919,0.6961,0.6835,0.6737,0.6485,0.6989,0.6863,0.6975,0.7073,0.6485,0.6866
19,0.7171,0.6821,0.6919,0.6961,0.6835,0.6737,0.6485,0.6989,0.6863,0.6975,0.7171,0.6485,0.6876
20,0.7199,0.6821,0.6919,0.6975,0.6835,0.6737,0.6499,0.7017,0.6863,0.6975,0.7199,0.6499,0.6884
21,0.7241,0.6863,0.6919,0.6989,0.6961,0.6793,0.6499,0.7017,0.6863,0.6975,0.7241,0.6499,0.6912
22,0.7241,0.7031,0.6919,0.6989,0.6961,0.6793,0.6933,0.7017,0.6863,0.6975,0.7241,0.6793,0.6972
23,0.7241,0.7185,0.6919,0.7059,0.6975,0.6807,0.6933,0.7017,0.6863,0.6975,0.7241,0.6807,0.6997
24,0.7241,0.7185,0.6919,0.7059,0.6975,0.6821,0.6933,0.7017,0.6863,0.6975,0.7241,0.6821,0.6999
25,0.7241,0.7213,0.6919,0.7059,0.6989,0.6821,0.6933,0.7017,0.6919,0.6975,0.7241,0.6821,0.7009
26,0.7241,0.7213,0.6919,0.7059,0.7031,0.6821,0.6933,0.7017,0.6919,0.6975,0.7241,0.6821,0.7013
27,0.7241,0.7213,0.6919,0.7059,0.7031,0.6821,0.6933,0.7017,0.6989,0.6975,0.7241,0.6821,0.702
