timestamp,ohci5,ohci7,ohci2,ohci0,ohci4,ohci8,ohci9,ohci6,ohci1,max,min,avg
0,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513
4,0.1502,0.1502,0.1502,0.1502,0.1502,0.0513,0.0513,0.1502,0.1502,0.1502,0.0513,0.1282
5,0.6813,0.674,0.6319,0.6575,0.7179,0.1502,0.1502,0.5256,0.6209,0.7179,0.1502,0.5344
6,0.6832,0.6777,0.7436,0.7326,0.7418,0.7418,0.6722,0.6355,0.6465,0.7436,0.6355,0.6972
7,0.7802,0.7234,0.7656,0.7582,0.7527,0.7454,0.7106,0.6557,0.7473,0.7802,0.6557,0.7377
8,0.7894,0.7527,0.7674,0.7656,0.7619,0.7509,0.7509,0.6593,0.7473,0.7894,0.6593,0.7495
9,0.7949,0.7527,0.7766,0.7692,0.7619,0.7546,0.7656,0.6593,0.7473,0.7949,0.6593,0.7536
10,0.7949,0.7784,0.7766,0.7692,0.7674,0.7619,0.7729,0.663,0.7564,0.7949,0.663,0.7601
11,0.7967,0.7784,0.7766,0.7729,0.7985,0.7656,0.7729,0.663,0.7582,0.7985,0.663,0.7648
12,0.7967,0.7857,0.7766,0.7747,0.7985,0.7674,0.7729,0.663,0.7711,0.7985,0.663,0.7674
13,0.7967,0.7857,0.7766,0.7875,0.8022,0.7784,0.7729,0.663,0.7821,0.8022,0.663,0.7717
14,0.7967,0.7857,0.7766,0.7875,0.8022,0.7894,0.7729,0.7253,0.7821,0.8022,0.7253,0.7798
15,0.7967,0.793,0.7766,0.7875,0.8022,0.7912,0.7747,0.7253,0.7821,0.8022,0.7253,0.781
16,0.7967,0.793,0.7766,0.7875,0.8059,0.7912,0.7747,0.7253,0.7821,0.8059,0.7253,0.7814
17,0.7967,0.793,0.7784,0.7912,0.8059,0.7912,0.7821,0.7253,0.7821,0.8059,0.7253,0.7829
18,0.7967,0.7949,0.7784,0.7912,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7833
19,0.7967,0.7949,0.7784,0.7912,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7833
20,0.7967,0.7985,0.7784,0.7912,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7837
21,0.7967,0.7985,0.7967,0.7949,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7861
22,0.7967,0.8004,0.7967,0.7985,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7867
23,0.7967,0.8004,0.7967,0.7985,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7867
24,0.7967,0.8004,0.7967,0.7985,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7867
25,0.7967,0.8004,0.8022,0.7985,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7874
26,0.7967,0.8004,0.8022,0.7985,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7874
27,0.7967,0.8004,0.8022,0.7985,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7874
28,0.7967,0.8004,0.8022,0.7985,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7874
29,0.7967,0.8004,0.8022,0.7985,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7874
30,0.7967,0.8004,0.8022,0.7985,0.8059,0.7912,0.7821,0.7271,0.7821,0.8059,0.7271,0.7874
31,0.7967,0.8004,0.804,0.7985,0.8059,0.7912,0.7821,0.7271,0.7839,0.8059,0.7271,0.7878
32,0.7967,0.8004,0.804,0.7985,0.8059,0.7912,0.7857,0.7271,0.7839,0.8059,0.7271,0.7882
33,0.7967,0.8004,0.804,0.7985,0.8059,0.7912,0.7857,0.7271,0.7857,0.8059,0.7271,0.7884
34,0.7967,0.8004,0.8059,0.7985,0.8059,0.7912,0.7857,0.7271,0.7857,0.8059,0.7271,0.7886
35,0.7967,0.8004,0.8059,0.7985,0.8059,0.7912,0.7857,0.7326,0.7857,0.8059,0.7326,0.7892
36,0.7967,0.8022,0.8059,0.7985,0.8059,0.7912,0.7857,0.7363,0.7857,0.8059,0.7363,0.7898
37,0.7967,0.8022,0.8059,0.7985,0.8059,0.7912,0.7857,0.7363,0.7857,0.8059,0.7363,0.7898
38,0.7967,0.8022,0.8059,0.7985,0.8059,0.7912,0.7875,0.7363,0.7857,0.8059,0.7363,0.79
39,0.7967,0.8022,0.8059,0.8022,0.8059,0.7912,0.7875,0.7363,0.7857,0.8059,0.7363,0.7904
40,0.7967,0.8022,0.8059,0.8022,0.8059,0.7912,0.7875,0.7363,0.7857,0.8059,0.7363,0.7904
41,0.7967,0.8022,0.8059,0.8022,0.8059,0.7912,0.7875,0.7363,0.7857,0.8059,0.7363,0.7904
42,0.7967,0.8022,0.8059,0.8022,0.8059,0.7912,0.7875,0.7363,0.7857,0.8059,0.7363,0.7904
43,0.7967,0.8022,0.8059,0.8022,0.8059,0.7912,0.7875,0.7363,0.7857,0.8059,0.7363,0.7904
44,0.7967,0.8022,0.8059,0.8022,0.8059,0.7912,0.7875,0.7363,0.7857,0.8059,0.7363,0.7904
45,0.7985,0.8022,0.8059,0.8022,0.8059,0.7912,0.7875,0.7527,0.7857,0.8059,0.7527,0.7924
46,0.7985,0.8022,0.8059,0.8022,0.8059,0.7912,0.7875,0.7527,0.7857,0.8059,0.7527,0.7924
47,0.7985,0.8022,0.8059,0.8022,0.8059,0.7912,0.7875,0.7527,0.7857,0.8059,0.7527,0.7924
48,0.7985,0.8022,0.8059,0.8022,0.8059,0.7912,0.7875,0.7527,0.7857,0.8059,0.7527,0.7924
49,0.7985,0.8022,0.8059,0.8022,0.8095,0.7912,0.7875,0.7527,0.7857,0.8095,0.7527,0.7928
50,0.7985,0.8022,0.8059,0.8022,0.8095,0.7912,0.7875,0.7527,0.7857,0.8095,0.7527,0.7928
51,0.7985,0.8022,0.8059,0.8022,0.8095,0.7949,0.7875,0.7527,0.7857,0.8095,0.7527,0.7932
52,0.7985,0.8022,0.8059,0.8022,0.8095,0.7949,0.7875,0.7527,0.7857,0.8095,0.7527,0.7932
53,0.7985,0.8022,0.8059,0.8022,0.8095,0.7949,0.7875,0.7546,0.7857,0.8095,0.7546,0.7934
54,0.7985,0.8022,0.8059,0.8022,0.8095,0.7949,0.7875,0.7546,0.7857,0.8095,0.7546,0.7934
55,0.7985,0.8022,0.8059,0.8022,0.8095,0.7949,0.7875,0.7546,0.7857,0.8095,0.7546,0.7934
56,0.7985,0.8022,0.8059,0.8022,0.8095,0.7949,0.7875,0.7546,0.7857,0.8095,0.7546,0.7934
57,0.7985,0.8022,0.8059,0.8022,0.8095,0.7949,0.7875,0.7546,0.7857,0.8095,0.7546,0.7934
58,0.7985,0.8022,0.8059,0.8022,0.8095,0.7949,0.7875,0.7546,0.7857,0.8095,0.7546,0.7934
59,0.7985,0.8022,0.8059,0.8022,0.8095,0.7949,0.7875,0.7546,0.7857,0.8095,0.7546,0.7934
60,0.7985,0.8022,0.8059,0.8022,0.8095,0.7949,0.7875,0.7546,0.7857,0.8095,0.7546,0.7934
61,0.7985,0.8022,0.8059,0.8022,0.8095,0.7949,0.7875,0.7546,0.7857,0.8095,0.7546,0.7934
62,0.7985,0.8022,0.8059,0.8022,0.8095,0.7967,0.7875,0.7546,0.7857,0.8095,0.7546,0.7936
63,0.7985,0.8022,0.8059,0.8022,0.8095,0.7967,0.7875,0.7546,0.7857,0.8095,0.7546,0.7936
64,0.7985,0.8022,0.8059,0.8022,0.8095,0.7967,0.7875,0.7674,0.7857,0.8095,0.7674,0.7951
65,0.7985,0.8022,0.8059,0.8022,0.8095,0.7967,0.7875,0.7674,0.7857,0.8095,0.7674,0.7951
66,0.7985,0.8022,0.8059,0.8022,0.8095,0.7967,0.7875,0.7674,0.7857,0.8095,0.7674,0.7951
67,0.7985,0.8022,0.8059,0.8022,0.8095,0.7967,0.7875,0.7674,0.7857,0.8095,0.7674,0.7951
68,0.7985,0.8022,0.8059,0.8022,0.8095,0.7967,0.7875,0.7674,0.7857,0.8095,0.7674,0.7951
