timestamp,ohci7,ohci4,ohci3,ohci1,ohci8,ohci9,ohci6,ohci0,ohci5,ohci2,max,min,avg
0,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513
4,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.1502,0.0513,0.1502,0.0513,0.0612
5,0.1502,0.1502,0.1502,0.1502,0.1502,0.1502,0.1502,0.1502,0.4084,0.1502,0.4084,0.1502,0.176
6,0.4194,0.4267,0.4267,0.4267,0.4194,0.4231,0.4267,0.4249,0.4194,0.4212,0.4267,0.4194,0.4234
7,0.4267,0.4286,0.4267,0.4267,0.4194,0.4267,0.4267,0.4267,0.4267,0.4267,0.4286,0.4194,0.4262
8,0.4267,0.4286,0.4267,0.4267,0.4194,0.4267,0.4267,0.4286,0.4267,0.4267,0.4286,0.4194,0.4263
9,0.4267,0.4286,0.4267,0.4267,0.4212,0.4267,0.4267,0.4286,0.4267,0.4267,0.4286,0.4212,0.4265
10,0.4267,0.4286,0.4267,0.4267,0.4212,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4212,0.4267
11,0.4267,0.4286,0.4267,0.4267,0.4212,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4212,0.4267
12,0.4267,0.4286,0.4267,0.4267,0.4231,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4231,0.4269
13,0.4267,0.4286,0.4267,0.4267,0.4231,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4231,0.4269
14,0.4267,0.4286,0.4267,0.4267,0.4231,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4231,0.4269
15,0.4267,0.4286,0.4267,0.4267,0.4231,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4231,0.4269
16,0.4267,0.4286,0.4267,0.4267,0.4231,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4231,0.4269
17,0.4267,0.4286,0.4267,0.4267,0.4231,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4231,0.4269
18,0.4267,0.4286,0.4267,0.4267,0.4231,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4231,0.4269
19,0.4267,0.4286,0.4267,0.4267,0.4231,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4231,0.4269
20,0.4267,0.4286,0.4267,0.4267,0.4267,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4273
21,0.4267,0.4286,0.4267,0.4267,0.4267,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4273
22,0.4267,0.4286,0.4267,0.4267,0.4267,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4273
23,0.4267,0.4286,0.4267,0.4267,0.4267,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4273
24,0.4267,0.4286,0.4267,0.4267,0.4267,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4273
25,0.4267,0.4286,0.4286,0.4267,0.4267,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4275
26,0.4267,0.4286,0.4286,0.4267,0.4267,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4275
27,0.4267,0.4286,0.4286,0.4267,0.4267,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4275
28,0.4267,0.4286,0.4286,0.4267,0.4267,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4275
29,0.4267,0.4286,0.4286,0.4267,0.4267,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4275
30,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4276
31,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4276
32,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4276
33,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4276
34,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4276
35,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4276
36,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4276
37,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4276
38,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4276
39,0.4267,0.4286,0.4286,0.4267,0.4267,0.4286,0.4286,0.4286,0.4267,0.4267,0.4286,0.4267,0.4276
