timestamp,pl0410,pl0416,pl0419,pl0413,pl0412,pl0415,pl0418,pl0411,pl0414,pl0417,max,min,avg
0,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641,0.0641
5,0.0833,0.0641,0.0641,0.0833,0.0833,0.0641,0.0641,0.0833,0.0641,0.0641,0.0833,0.0641,0.0718
6,0.4744,0.0833,0.0833,0.4038,0.5705,0.0833,0.0833,0.641,0.0833,0.0833,0.641,0.0833,0.2589
7,0.5833,0.5449,0.6923,0.7564,0.6603,0.5962,0.7756,0.7949,0.6538,0.5192,0.7949,0.5192,0.6577
8,0.6923,0.7179,0.7949,0.7628,0.8077,0.7628,0.8141,0.8205,0.6603,0.8013,0.8205,0.6603,0.7635
9,0.7885,0.7885,0.8013,0.7949,0.8205,0.8141,0.8141,0.8205,0.8013,0.8205,0.8205,0.7885,0.8064
10,0.7949,0.8013,0.8205,0.8141,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.7949,0.8154
11,0.8077,0.8141,0.8205,0.8141,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8077,0.8179
12,0.8205,0.8141,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8141,0.8199
13,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205
14,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205
15,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8397,0.8205,0.8205,0.8397,0.8205,0.8224
16,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8397,0.8205,0.8205,0.8397,0.8205,0.8224
17,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8397,0.8205,0.8205,0.8397,0.8205,0.8224
18,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8397,0.8205,0.8205,0.8397,0.8205,0.8224
19,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8397,0.8205,0.8205,0.8397,0.8205,0.8224
20,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,0.8397,0.8205,0.8205,0.8397,0.8205,0.8224
21,0.8205,0.8205,0.8397,0.8333,0.8205,0.8205,0.8205,0.8397,0.8205,0.8205,0.8397,0.8205,0.8256
22,0.8205,0.8205,0.8397,0.8333,0.8205,0.8205,0.8205,0.8397,0.8205,0.8205,0.8397,0.8205,0.8256
23,0.8205,0.8205,0.8397,0.8333,0.8205,0.8205,0.8205,0.8397,0.8205,0.8205,0.8397,0.8205,0.8256
24,0.8205,0.8205,0.8397,0.8333,0.8205,0.8205,0.8205,0.8397,0.8205,0.8205,0.8397,0.8205,0.8256
25,0.8205,0.8205,0.8397,0.8333,0.8205,0.8205,0.8205,0.8397,0.8205,0.8205,0.8397,0.8205,0.8256
