timestamp,xhci2,xhci4,xhci5,xhci9,xhci0,xhci1,xhci6,xhci8,xhci3,xhci7,max,min,avg
0,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618
5,0.0618,0.0813,0.0662,0.0716,0.0618,0.0618,0.0727,0.077,0.0618,0.0716,0.0813,0.0618,0.0688
6,0.2495,0.2408,0.2451,0.2484,0.2408,0.2462,0.2419,0.243,0.2419,0.244,0.2495,0.2408,0.2442
7,0.2516,0.2505,0.256,0.2505,0.2809,0.256,0.2451,0.2451,0.2473,0.2516,0.2809,0.2451,0.2535
8,0.3384,0.2527,0.2614,0.257,0.2852,0.2581,0.2495,0.2473,0.2484,0.2549,0.3384,0.2473,0.2653
9,0.3406,0.2538,0.2636,0.2592,0.2852,0.2603,0.2505,0.2484,0.2668,0.256,0.3406,0.2484,0.2684
10,0.4111,0.2538,0.3124,0.2603,0.2874,0.2614,0.2549,0.3308,0.2701,0.2603,0.4111,0.2538,0.2903
11,0.4132,0.2549,0.3124,0.2603,0.2885,0.2625,0.257,0.3308,0.2701,0.2614,0.4132,0.2549,0.2911
12,0.4154,0.2549,0.3134,0.2625,0.2885,0.2625,0.2581,0.3308,0.2722,0.2625,0.4154,0.2549,0.2921
13,0.4154,0.257,0.3134,0.2636,0.2907,0.2636,0.2614,0.3308,0.2733,0.2636,0.4154,0.257,0.2933
14,0.4544,0.2614,0.3134,0.2636,0.2907,0.3297,0.3189,0.3319,0.2733,0.2636,0.4544,0.2614,0.3101
15,0.4772,0.2614,0.3134,0.4121,0.2907,0.3308,0.32,0.3384,0.2733,0.2636,0.4772,0.2614,0.3281
16,0.4783,0.2625,0.3134,0.4121,0.2907,0.333,0.32,0.3384,0.2733,0.2636,0.4783,0.2625,0.3285
17,0.4794,0.2625,0.3156,0.4121,0.2918,0.3341,0.32,0.3395,0.2744,0.2636,0.4794,0.2625,0.3293
18,0.4805,0.2657,0.3156,0.4121,0.2918,0.3341,0.32,0.3395,0.2755,0.2636,0.4805,0.2636,0.3298
19,0.4816,0.2668,0.3156,0.4121,0.2918,0.3341,0.3232,0.3395,0.2755,0.2636,0.4816,0.2636,0.3304
20,0.4816,0.2668,0.3167,0.4132,0.2939,0.3341,0.3232,0.3395,0.3254,0.2636,0.4816,0.2636,0.3358
