timestamp,xhci3,xhci5,xhci9,xhci2,xhci8,xhci6,xhci0,xhci1,xhci7,xhci4,max,min,avg
0,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618
4,0.0618,0.0618,0.0618,0.0618,0.0618,0.0618,0.0792,0.0792,0.0792,0.0618,0.0792,0.0618,0.067
5,0.0618,0.0618,0.2408,0.244,0.2657,0.2375,0.2397,0.2397,0.2408,0.0716,0.2657,0.0618,0.1903
6,0.2451,0.2386,0.2473,0.2473,0.2787,0.2711,0.2462,0.2451,0.2484,0.2408,0.2787,0.2386,0.2509
7,0.2809,0.2408,0.2484,0.2755,0.282,0.2755,0.2473,0.2462,0.2505,0.243,0.282,0.2408,0.259
8,0.2831,0.2711,0.2495,0.2809,0.2852,0.2787,0.2516,0.2484,0.256,0.2722,0.2852,0.2484,0.2677
9,0.2863,0.2744,0.2516,0.2809,0.2863,0.2809,0.2527,0.2484,0.256,0.2722,0.2863,0.2484,0.269
10,0.2874,0.282,0.2538,0.2831,0.2863,0.2809,0.2538,0.2484,0.256,0.2766,0.2874,0.2484,0.2708
11,0.2874,0.282,0.2549,0.2842,0.2863,0.2809,0.2538,0.2516,0.256,0.2766,0.2874,0.2516,0.2714
12,0.2874,0.282,0.256,0.2852,0.2874,0.282,0.256,0.2516,0.256,0.282,0.2874,0.2516,0.2726
13,0.2874,0.2842,0.2581,0.2852,0.2874,0.282,0.257,0.2527,0.257,0.2863,0.2874,0.2527,0.2737
14,0.2874,0.2842,0.2581,0.2852,0.2874,0.282,0.257,0.2527,0.2581,0.2874,0.2874,0.2527,0.2739
15,0.2874,0.2842,0.2592,0.2874,0.2885,0.282,0.257,0.2527,0.2842,0.2874,0.2885,0.2527,0.277
16,0.2885,0.2842,0.2603,0.2896,0.2885,0.282,0.2842,0.2538,0.2842,0.2874,0.2896,0.2538,0.2803
17,0.2885,0.2874,0.2603,0.2918,0.2885,0.282,0.2842,0.256,0.2842,0.2874,0.2918,0.256,0.281
