timestamp,xlnxdp4,xlnxdp6,xlnxdp8,xlnxdp2,xlnxdp9,xlnxdp3,xlnxdp7,xlnxdp0,xlnxdp5,xlnxdp1,max,min,avg
0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
7,0.3958,0.3958,0.3958,0.3958,0.3958,0.3958,0.3958,0.3958,0.3958,0.3958,0.3958,0.3958,0.3958
8,0.8417,0.8479,0.8375,0.8312,0.8604,0.8458,0.8375,0.8646,0.8646,0.8604,0.8646,0.8312,0.8492
9,0.8729,0.8667,0.8771,0.8625,0.8667,0.8708,0.8625,0.875,0.875,0.8688,0.8771,0.8625,0.8698
10,0.8792,0.8812,0.8812,0.8771,0.8792,0.8896,0.8729,0.8875,0.8792,0.8792,0.8896,0.8729,0.8806
11,0.8896,0.8854,0.8854,0.8792,0.8875,0.8917,0.8896,0.8958,0.8854,0.8854,0.8958,0.8792,0.8875
12,0.8896,0.8896,0.8875,0.8792,0.8938,0.8917,0.8917,0.9,0.8875,0.8875,0.9,0.8792,0.8898
13,0.8917,0.8917,0.8917,0.8792,0.8958,0.8917,0.9,0.9,0.8875,0.8896,0.9,0.8792,0.8919
14,0.8917,0.8917,0.8917,0.8833,0.9,0.8938,0.9,0.9,0.8958,0.8896,0.9,0.8833,0.8938
15,0.8958,0.8938,0.8917,0.8917,0.9,0.9021,0.9021,0.9,0.8979,0.8896,0.9021,0.8896,0.8965
16,0.8979,0.8938,0.8917,0.8958,0.9,0.9042,0.9021,0.9,0.8979,0.8958,0.9042,0.8917,0.8979
17,0.8979,0.8938,0.8917,0.8958,0.9,0.9042,0.9021,0.9,0.8979,0.8979,0.9042,0.8917,0.8981
18,0.9,0.8938,0.8938,0.8958,0.9,0.9042,0.9021,0.9,0.9,0.9,0.9042,0.8938,0.899
19,0.9021,0.8938,0.8938,0.9,0.9021,0.9042,0.9021,0.9,0.9,0.9021,0.9042,0.8938,0.9
20,0.9021,0.8938,0.8958,0.9,0.9021,0.9042,0.9021,0.9,0.9,0.9021,0.9042,0.8938,0.9002
21,0.9021,0.8938,0.8958,0.9021,0.9021,0.9042,0.9021,0.9,0.9021,0.9021,0.9042,0.8938,0.9006
22,0.9021,0.8938,0.9021,0.9021,0.9021,0.9042,0.9021,0.9,0.9021,0.9021,0.9042,0.8938,0.9013
23,0.9021,0.8938,0.9021,0.9021,0.9021,0.9042,0.9021,0.9,0.9021,0.9042,0.9042,0.8938,0.9015
24,0.9021,0.9,0.9021,0.9021,0.9021,0.9042,0.9021,0.9,0.9021,0.9042,0.9042,0.9,0.9021
25,0.9021,0.9,0.9042,0.9021,0.9021,0.9042,0.9021,0.9,0.9021,0.9042,0.9042,0.9,0.9023
26,0.9021,0.9,0.9042,0.9021,0.9021,0.9042,0.9021,0.9,0.9021,0.9042,0.9042,0.9,0.9023
27,0.9021,0.9,0.9042,0.9021,0.9021,0.9042,0.9021,0.9,0.9042,0.9042,0.9042,0.9,0.9025
28,0.9021,0.9,0.9042,0.9021,0.9021,0.9042,0.9021,0.9,0.9042,0.9042,0.9042,0.9,0.9025
29,0.9021,0.9,0.9042,0.9021,0.9021,0.9042,0.9021,0.9,0.9042,0.9042,0.9042,0.9,0.9025
30,0.9021,0.9,0.9042,0.9021,0.9021,0.9042,0.9021,0.9,0.9042,0.9042,0.9042,0.9,0.9025
