timestamp,xlnxzynqmpcan1,xlnxzynqmpcan9,xlnxzynqmpcan3,xlnxzynqmpcan4,xlnxzynqmpcan8,xlnxzynqmpcan5,xlnxzynqmpcan7,xlnxzynqmpcan6,xlnxzynqmpcan2,xlnxzynqmpcan0,max,min,avg
0,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972
6,0.2042,0.1972,0.2042,0.2042,0.1972,0.2042,0.2042,0.2042,0.2042,0.2042,0.2042,0.1972,0.2028
7,0.6901,0.2042,0.6831,0.6972,0.2042,0.6831,0.2042,0.2042,0.6901,0.6901,0.6972,0.2042,0.4951
8,0.6972,0.6831,0.6972,0.6972,0.6901,0.6901,0.6831,0.7042,0.6901,0.6901,0.7042,0.6831,0.6922
9,0.6972,0.6901,0.6972,0.7042,0.6972,0.6972,0.6831,0.7042,0.6901,0.6901,0.7042,0.6831,0.6951
10,0.6972,0.6901,0.6972,0.7042,0.6972,0.6972,0.6901,0.7042,0.6901,0.7042,0.7042,0.6901,0.6972
11,0.6972,0.6901,0.6972,0.7042,0.6972,0.6972,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.6986
12,0.6972,0.6901,0.6972,0.7042,0.6972,0.6972,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.6986
13,0.6972,0.6901,0.6972,0.7042,0.6972,0.6972,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.6986
14,0.7042,0.6901,0.6972,0.7042,0.6972,0.6972,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.6993
15,0.7042,0.6972,0.6972,0.7042,0.6972,0.6972,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7
16,0.7042,0.6972,0.6972,0.7042,0.6972,0.6972,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7
17,0.7042,0.6972,0.6972,0.7042,0.6972,0.7042,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7007
18,0.7042,0.6972,0.6972,0.7042,0.6972,0.7042,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7007
19,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7021
20,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7021
21,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7021
22,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7021
23,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7021
24,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7021
25,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7021
26,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6901,0.7042,0.7042,0.7042,0.7042,0.6901,0.7021
27,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6972,0.7042,0.7042,0.7042,0.7042,0.6972,0.7028
28,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6972,0.7042,0.7042,0.7042,0.7042,0.6972,0.7028
29,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6972,0.7042,0.7042,0.7042,0.7042,0.6972,0.7028
30,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6972,0.7042,0.7042,0.7042,0.7042,0.6972,0.7028
31,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6972,0.7042,0.7042,0.7042,0.7042,0.6972,0.7028
32,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6972,0.7042,0.7042,0.7042,0.7042,0.6972,0.7028
33,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6972,0.7042,0.7042,0.7042,0.7042,0.6972,0.7028
34,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6972,0.7042,0.7042,0.7042,0.7042,0.6972,0.7028
35,0.7042,0.7042,0.7042,0.7042,0.6972,0.7042,0.6972,0.7042,0.7042,0.7042,0.7042,0.6972,0.7028
