timestamp,ac976,ac973,ac974,ac978,ac972,ac970,ac975,ac977,ac979,ac971,max,min,avg
0,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765
3,0.1967,0.1967,0.1967,0.1448,0.1448,0.1967,0.1967,0.1448,0.1448,0.1448,0.1967,0.1448,0.1708
4,0.7869,0.8087,0.8333,0.1448,0.8361,0.7705,0.1967,0.8415,0.1448,0.8333,0.8415,0.1448,0.6197
5,0.7869,0.8716,0.8661,0.8689,0.8716,0.8716,0.8087,0.8634,0.8306,0.8607,0.8716,0.7869,0.85
6,0.8361,0.8798,0.877,0.9071,0.9044,0.8743,0.8661,0.9044,0.8743,0.8798,0.9071,0.8361,0.8803
7,0.8443,0.8798,0.9153,0.9126,0.9071,0.877,0.9071,0.9153,0.8798,0.8798,0.9153,0.8443,0.8918
8,0.8743,0.9098,0.918,0.918,0.9071,0.9071,0.9071,0.9153,0.9098,0.8798,0.918,0.8743,0.9046
9,0.9044,0.9208,0.918,0.9208,0.9071,0.9098,0.9071,0.9153,0.9098,0.8798,0.9208,0.8798,0.9093
10,0.9044,0.9208,0.918,0.9208,0.9071,0.9126,0.9071,0.9153,0.9153,0.8798,0.9208,0.8798,0.9101
11,0.9071,0.9208,0.918,0.9208,0.9071,0.9126,0.9071,0.9153,0.9153,0.8798,0.9208,0.8798,0.9104
12,0.9071,0.9208,0.9208,0.9208,0.9071,0.9126,0.9071,0.9153,0.9153,0.8798,0.9208,0.8798,0.9107
13,0.9071,0.9208,0.9208,0.9208,0.9071,0.9126,0.9071,0.9235,0.9153,0.8798,0.9235,0.8798,0.9115
14,0.9071,0.9208,0.9235,0.9208,0.9071,0.9153,0.9071,0.9235,0.9153,0.9098,0.9235,0.9071,0.915
15,0.9098,0.9208,0.9235,0.9208,0.9153,0.9153,0.9071,0.9235,0.9153,0.9098,0.9235,0.9071,0.9161
16,0.9208,0.9208,0.9235,0.9208,0.9153,0.9153,0.9071,0.9235,0.9153,0.9098,0.9235,0.9071,0.9172
17,0.9208,0.9208,0.9235,0.9208,0.9153,0.9153,0.9071,0.9235,0.9153,0.9098,0.9235,0.9071,0.9172
18,0.9208,0.9208,0.9235,0.9208,0.9153,0.9153,0.9071,0.9235,0.9153,0.9098,0.9235,0.9071,0.9172
19,0.9208,0.9208,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9153,0.9208,0.9235,0.9153,0.9191
20,0.9208,0.9208,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9153,0.9208,0.9235,0.9153,0.9191
21,0.9208,0.9208,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9153,0.9208,0.9235,0.9153,0.9191
22,0.9208,0.9208,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.92
23,0.9208,0.9208,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.92
24,0.9208,0.9208,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.92
25,0.9235,0.9208,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9202
26,0.9235,0.9208,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9202
27,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
28,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
29,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
30,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
31,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
32,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
33,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
34,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
35,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
36,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
37,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
38,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9153,0.9235,0.9235,0.9208,0.9235,0.9153,0.9205
39,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9208,0.9235,0.9153,0.9213
40,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9208,0.9235,0.9153,0.9213
41,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9208,0.9235,0.9153,0.9213
42,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9208,0.9235,0.9153,0.9213
43,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9208,0.9235,0.9153,0.9213
44,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9208,0.9235,0.9153,0.9213
45,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9208,0.9235,0.9153,0.9213
46,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9208,0.9235,0.9153,0.9213
47,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9208,0.9235,0.9153,0.9213
48,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9208,0.9235,0.9153,0.9213
49,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9235,0.9235,0.9153,0.9216
50,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9235,0.9235,0.9153,0.9216
51,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9235,0.9235,0.9153,0.9216
52,0.9235,0.9235,0.9235,0.9208,0.9153,0.9153,0.9235,0.9235,0.9235,0.9235,0.9235,0.9153,0.9216
53,0.9235,0.9235,0.9235,0.9208,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9208,0.9232
54,0.9235,0.9235,0.9235,0.9208,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9208,0.9232
55,0.9235,0.9235,0.9235,0.9208,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9208,0.9232
56,0.9235,0.9235,0.9235,0.9208,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9208,0.9232
57,0.9235,0.9235,0.9235,0.9208,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9208,0.9232
58,0.9235,0.9235,0.9235,0.9208,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9208,0.9232
59,0.9235,0.9235,0.9235,0.9208,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9208,0.9232
