timestamp,ati3,ati5,ati4,ati8,ati9,ati2,ati7,ati6,ati1,ati0,max,min,avg
0,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086
3,0.2682,0.0086,0.2682,0.0086,0.0086,0.2682,0.0086,0.0086,0.2682,0.2682,0.2682,0.0086,0.1384
4,0.4464,0.2682,0.4099,0.2682,0.2682,0.4485,0.2682,0.2682,0.4678,0.397,0.4678,0.2682,0.3511
5,0.5258,0.4485,0.4914,0.4249,0.4721,0.4807,0.4227,0.3948,0.5129,0.4528,0.5258,0.3948,0.4627
6,0.5472,0.485,0.5129,0.4785,0.5193,0.5236,0.485,0.4378,0.5494,0.4957,0.5494,0.4378,0.5034
7,0.573,0.5193,0.5258,0.5215,0.5579,0.5343,0.5258,0.5043,0.5815,0.5408,0.5815,0.5043,0.5384
8,0.5966,0.5601,0.5386,0.5601,0.5944,0.5472,0.5429,0.5515,0.5944,0.5451,0.5966,0.5386,0.5631
9,0.6202,0.588,0.5815,0.5901,0.6052,0.603,0.5579,0.5579,0.6116,0.6052,0.6202,0.5579,0.5921
10,0.633,0.6073,0.5987,0.603,0.6309,0.6137,0.5815,0.5815,0.6159,0.6137,0.633,0.5815,0.6079
11,0.6352,0.6094,0.6009,0.6116,0.6459,0.6159,0.5966,0.588,0.6266,0.6159,0.6459,0.588,0.6146
12,0.6438,0.618,0.6052,0.6137,0.6524,0.6352,0.5966,0.5944,0.6309,0.6202,0.6524,0.5944,0.621
13,0.6438,0.6266,0.6052,0.6137,0.6652,0.6459,0.6137,0.5987,0.6373,0.6223,0.6652,0.5987,0.6272
14,0.6481,0.633,0.6202,0.6245,0.6781,0.6588,0.6159,0.6094,0.6502,0.6245,0.6781,0.6094,0.6363
15,0.6502,0.633,0.6266,0.6245,0.6867,0.6609,0.618,0.6116,0.6524,0.6352,0.6867,0.6116,0.6399
16,0.6524,0.6373,0.6352,0.6245,0.6888,0.6674,0.6245,0.6202,0.6588,0.6438,0.6888,0.6202,0.6453
17,0.6545,0.6395,0.6352,0.6245,0.6931,0.6674,0.6245,0.6416,0.6888,0.6438,0.6931,0.6245,0.6513
18,0.6545,0.6438,0.6352,0.6266,0.6996,0.6674,0.6288,0.6524,0.6888,0.6481,0.6996,0.6266,0.6545
19,0.6609,0.6652,0.6395,0.6309,0.6996,0.6674,0.6288,0.6631,0.6888,0.6481,0.6996,0.6288,0.6592
20,0.6652,0.6652,0.6416,0.6309,0.6996,0.6674,0.633,0.6695,0.6888,0.6524,0.6996,0.6309,0.6614
21,0.6674,0.6652,0.6459,0.6309,0.6996,0.6695,0.633,0.676,0.6888,0.6524,0.6996,0.6309,0.6629
22,0.6674,0.6931,0.6459,0.6352,0.6996,0.6695,0.6502,0.6845,0.6931,0.6588,0.6996,0.6352,0.6697
23,0.6674,0.6953,0.6459,0.6395,0.6996,0.6867,0.6524,0.6867,0.6931,0.6609,0.6996,0.6395,0.6727
24,0.6674,0.6953,0.6459,0.6717,0.706,0.6867,0.6545,0.6888,0.7017,0.6652,0.706,0.6459,0.6783
25,0.6674,0.6953,0.6459,0.6803,0.706,0.691,0.6545,0.6888,0.7039,0.6674,0.706,0.6459,0.68
26,0.6674,0.6953,0.6459,0.6824,0.706,0.691,0.6567,0.6931,0.7039,0.6674,0.706,0.6459,0.6809
27,0.6717,0.7103,0.6459,0.6824,0.7082,0.6953,0.6588,0.6931,0.7039,0.6674,0.7103,0.6459,0.6837
