timestamp,ati3,ati0,ati7,ati4,ati2,ati6,ati1,ati5,ati8,ati9,max,min,avg
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0115
11,0.0,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0115
12,0.0,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0115
13,0.0,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0115
14,0.0,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0115
15,0.1146,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0229
16,0.1146,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0229
17,0.1146,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0229
18,0.1146,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0229
19,0.1146,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0229
20,0.1146,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0229
21,0.1146,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0229
22,0.1146,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.0,0.0,0.1146,0.0,0.0229
23,0.1146,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,0.1146,0.0,0.1146,0.0,0.0344
24,0.1146,0.0,0.0,0.0,0.1146,0.0,0.1146,0.0,0.1146,0.0,0.1146,0.0,0.0458
25,0.1146,0.0,0.0,0.0,0.1146,0.0,0.1146,0.0,0.1146,0.0,0.1146,0.0,0.0458
26,0.1146,0.0,0.0,0.0,0.1146,0.0,0.1146,0.0,0.1146,0.0,0.1146,0.0,0.0458
27,0.1146,0.0,0.0,0.0,0.1146,0.0,0.1146,0.0,0.1146,0.0,0.1146,0.0,0.0458
28,0.1146,0.0,0.0,0.0,0.1146,0.0,0.1146,0.0,0.1146,0.1146,0.1146,0.0,0.0573
29,0.1146,0.0,0.0,0.1146,0.1146,0.0,0.1146,0.0,0.1146,0.1146,0.1146,0.0,0.0688
30,0.1146,0.0,0.0,0.1146,0.1146,0.0,0.1146,0.0,0.1146,0.1146,0.1146,0.0,0.0688
31,0.1146,0.0,0.0,0.1146,0.1146,0.0,0.1146,0.0,0.1146,0.1146,0.1146,0.0,0.0688
32,0.1146,0.0,0.0,0.1146,0.1146,0.0,0.1146,0.0,0.1146,0.1146,0.1146,0.0,0.0688
