timestamp,vga5,vga1,vga6,vga9,vga2,vga3,vga0,vga7,vga4,vga8,max,min,avg
0,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103
3,0.0103,0.1149,0.0103,0.0103,0.0103,0.0103,0.1149,0.0103,0.0103,0.0103,0.1149,0.0103,0.0312
4,0.1149,0.4082,0.1166,0.1149,0.1149,0.1149,0.4271,0.1149,0.1149,0.1149,0.4271,0.1149,0.1756
5,0.4099,0.4631,0.4142,0.4177,0.4228,0.4091,0.4271,0.4108,0.4142,0.3894,0.4631,0.3894,0.4178
6,0.4717,0.5257,0.4588,0.482,0.4974,0.4374,0.4545,0.4451,0.4674,0.4117,0.5257,0.4117,0.4652
7,0.4983,0.5789,0.4837,0.5103,0.5189,0.4743,0.4863,0.4683,0.4949,0.4554,0.5789,0.4554,0.4969
8,0.5189,0.5961,0.5154,0.536,0.5412,0.5026,0.5395,0.4923,0.5334,0.5137,0.5961,0.4923,0.5289
9,0.5446,0.6072,0.5566,0.56,0.5712,0.5223,0.5592,0.5266,0.5738,0.5309,0.6072,0.5223,0.5552
10,0.578,0.6372,0.5703,0.5978,0.6209,0.5437,0.5746,0.5575,0.5875,0.5755,0.6372,0.5437,0.5843
11,0.5926,0.6741,0.5849,0.6132,0.6424,0.5583,0.5961,0.5798,0.5935,0.5935,0.6741,0.5583,0.6028
12,0.6055,0.6801,0.6106,0.6261,0.6441,0.5815,0.6329,0.6012,0.6364,0.6201,0.6801,0.5815,0.6238
13,0.6158,0.705,0.6355,0.6424,0.6801,0.5909,0.6475,0.6218,0.6398,0.6346,0.705,0.5909,0.6413
14,0.6269,0.7127,0.6407,0.6724,0.6852,0.6381,0.669,0.6338,0.6492,0.6544,0.7127,0.6269,0.6582
15,0.6346,0.7178,0.6441,0.6767,0.7015,0.6467,0.687,0.6741,0.6604,0.6604,0.7178,0.6346,0.6703
16,0.6467,0.7187,0.6527,0.681,0.7033,0.6578,0.6921,0.6741,0.6732,0.6672,0.7187,0.6467,0.6767
17,0.6655,0.7358,0.6758,0.6964,0.7127,0.6621,0.6964,0.6981,0.6887,0.6672,0.7358,0.6621,0.6899
18,0.669,0.7547,0.6818,0.705,0.7221,0.681,0.7024,0.7033,0.7015,0.6861,0.7547,0.669,0.7007
19,0.6775,0.7573,0.6852,0.7067,0.7264,0.6861,0.7075,0.7084,0.7367,0.7007,0.7573,0.6775,0.7093
20,0.6792,0.7616,0.6895,0.7187,0.7384,0.6973,0.7127,0.723,0.7453,0.7041,0.7616,0.6792,0.717
21,0.6895,0.7684,0.729,0.7281,0.747,0.7075,0.7161,0.7316,0.7487,0.7084,0.7684,0.6895,0.7274
22,0.6947,0.7684,0.7453,0.7324,0.7487,0.7256,0.7333,0.7521,0.7573,0.711,0.7684,0.6947,0.7369
23,0.6964,0.7727,0.7479,0.7393,0.7513,0.7358,0.7358,0.7599,0.7599,0.7136,0.7727,0.6964,0.7413
24,0.7075,0.7779,0.7487,0.7393,0.7564,0.7367,0.7393,0.7616,0.7925,0.7153,0.7925,0.7075,0.7475
25,0.7127,0.7787,0.7521,0.7393,0.7607,0.7393,0.7436,0.765,0.7967,0.7187,0.7967,0.7127,0.7507
26,0.717,0.7847,0.7521,0.7401,0.7616,0.741,0.7436,0.7684,0.807,0.7187,0.807,0.717,0.7534
27,0.717,0.7942,0.7539,0.7401,0.7616,0.741,0.7556,0.771,0.8087,0.7213,0.8087,0.717,0.7564
28,0.7178,0.7967,0.7581,0.741,0.7684,0.741,0.7564,0.7719,0.8113,0.723,0.8113,0.7178,0.7586
29,0.7178,0.8036,0.7624,0.7659,0.7684,0.7504,0.7667,0.7727,0.8182,0.7238,0.8182,0.7178,0.765
30,0.7178,0.8053,0.7676,0.7719,0.7684,0.7556,0.7676,0.7727,0.819,0.7281,0.819,0.7178,0.7674
31,0.7187,0.807,0.7693,0.7744,0.7684,0.7573,0.7719,0.7736,0.8208,0.7298,0.8208,0.7187,0.7691
32,0.7221,0.8079,0.7693,0.7744,0.7779,0.7581,0.7719,0.7736,0.8216,0.7358,0.8216,0.7221,0.7713
33,0.7221,0.8079,0.7702,0.7744,0.7779,0.759,0.7727,0.7744,0.825,0.7436,0.825,0.7221,0.7727
34,0.7376,0.8087,0.7959,0.7753,0.7787,0.7599,0.7744,0.7753,0.8362,0.7436,0.8362,0.7376,0.7786
35,0.7393,0.8113,0.8036,0.7753,0.7787,0.7607,0.7779,0.777,0.8362,0.747,0.8362,0.7393,0.7807
36,0.741,0.8122,0.8053,0.777,0.7787,0.7762,0.7779,0.777,0.8396,0.7479,0.8396,0.741,0.7833
37,0.7753,0.8122,0.8053,0.7779,0.7787,0.7762,0.7787,0.777,0.8439,0.7504,0.8439,0.7504,0.7876
38,0.777,0.8173,0.8096,0.7787,0.7787,0.7762,0.7813,0.777,0.8473,0.7513,0.8473,0.7513,0.7894
39,0.7787,0.8208,0.8113,0.7787,0.7787,0.7762,0.7813,0.777,0.8499,0.753,0.8499,0.753,0.7906
40,0.7796,0.8208,0.8113,0.7787,0.7864,0.7762,0.7822,0.7804,0.8508,0.7539,0.8508,0.7539,0.792
41,0.7796,0.8208,0.8113,0.7882,0.7864,0.7762,0.7864,0.7804,0.8551,0.7547,0.8551,0.7547,0.7939
42,0.7813,0.8216,0.8113,0.789,0.7873,0.8019,0.7873,0.7813,0.8559,0.7547,0.8559,0.7547,0.7972
43,0.7925,0.8216,0.8113,0.7899,0.7873,0.8062,0.7873,0.7856,0.8576,0.7556,0.8576,0.7556,0.7995
44,0.7933,0.8233,0.8113,0.7899,0.7873,0.8062,0.7873,0.7856,0.8585,0.7556,0.8585,0.7556,0.7998
45,0.7933,0.8233,0.8122,0.7899,0.7873,0.8079,0.7873,0.7864,0.8585,0.7607,0.8585,0.7607,0.8007
46,0.7933,0.8233,0.813,0.7907,0.7873,0.8105,0.7873,0.7967,0.8585,0.7607,0.8585,0.7607,0.8021
47,0.7933,0.8233,0.813,0.7907,0.7873,0.8139,0.789,0.7985,0.8585,0.7607,0.8585,0.7607,0.8028
48,0.7942,0.8293,0.813,0.7907,0.7873,0.8139,0.789,0.8027,0.8585,0.7607,0.8585,0.7607,0.8039
49,0.795,0.8302,0.813,0.7916,0.789,0.8148,0.789,0.8027,0.8585,0.7607,0.8585,0.7607,0.8044
50,0.8062,0.8302,0.813,0.7916,0.789,0.8148,0.7925,0.8027,0.8585,0.7624,0.8585,0.7624,0.8061
51,0.8079,0.831,0.813,0.7916,0.789,0.825,0.7925,0.8027,0.8679,0.7624,0.8679,0.7624,0.8083
52,0.8079,0.831,0.813,0.7916,0.7925,0.825,0.7925,0.8096,0.8679,0.7796,0.8679,0.7796,0.8111
53,0.8079,0.8319,0.8216,0.7925,0.7925,0.825,0.7925,0.8156,0.8679,0.7839,0.8679,0.7839,0.8131
54,0.8079,0.8319,0.8216,0.7925,0.7925,0.825,0.801,0.8182,0.8679,0.7847,0.8679,0.7847,0.8143
55,0.8079,0.8336,0.8216,0.7925,0.7925,0.825,0.8053,0.8199,0.8688,0.7847,0.8688,0.7847,0.8152
56,0.8079,0.8336,0.8216,0.7925,0.7925,0.8259,0.8053,0.8208,0.8688,0.7847,0.8688,0.7847,0.8154
57,0.8087,0.8336,0.8216,0.7925,0.7933,0.8259,0.8053,0.825,0.8688,0.7847,0.8688,0.7847,0.8159
58,0.8087,0.8336,0.8216,0.7925,0.7933,0.8268,0.8053,0.825,0.8696,0.7847,0.8696,0.7847,0.8161
59,0.8087,0.8345,0.8216,0.7925,0.7933,0.8276,0.8096,0.8259,0.8705,0.7925,0.8705,0.7925,0.8177
60,0.8087,0.8345,0.8216,0.7925,0.7993,0.8293,0.8096,0.8293,0.8705,0.807,0.8705,0.7925,0.8202
61,0.8087,0.8345,0.8216,0.7925,0.801,0.8293,0.8096,0.8293,0.8705,0.807,0.8705,0.7925,0.8204
62,0.8087,0.8345,0.8216,0.7925,0.801,0.8293,0.8096,0.8293,0.8722,0.807,0.8722,0.7925,0.8206
63,0.8087,0.8379,0.8216,0.7925,0.801,0.8293,0.8105,0.8293,0.8722,0.807,0.8722,0.7925,0.821
64,0.8096,0.8379,0.8216,0.7925,0.8019,0.8362,0.8105,0.8293,0.8748,0.807,0.8748,0.7925,0.8221
