timestamp,cs4231a8,cs4231a4,cs4231a1,cs4231a3,cs4231a9,cs4231a6,cs4231a5,cs4231a0,cs4231a7,cs4231a2,max,min,avg
0,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
4,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087
5,0.5362,0.3333,0.2826,0.3188,0.3478,0.3116,0.2609,0.3116,0.2754,0.2609,0.5362,0.2609,0.3239
6,0.5362,0.4855,0.2971,0.3478,0.4855,0.4638,0.2609,0.4855,0.2971,0.2899,0.5362,0.2609,0.3949
7,0.558,0.5072,0.4565,0.5797,0.587,0.5,0.3913,0.5,0.4783,0.5217,0.587,0.3913,0.508
8,0.5797,0.6449,0.6159,0.6159,0.6594,0.587,0.5,0.6667,0.5072,0.6232,0.6667,0.5,0.6
9,0.587,0.7826,0.6159,0.6594,0.6739,0.587,0.587,0.6884,0.6957,0.6377,0.7826,0.587,0.6515
10,0.6014,0.8043,0.6232,0.6884,0.6739,0.6087,0.6014,0.7174,0.7101,0.6377,0.8043,0.6014,0.6666
11,0.6014,0.8188,0.6232,0.7174,0.6739,0.6449,0.7246,0.7174,0.7246,0.6884,0.8188,0.6014,0.6935
12,0.6014,0.8188,0.6232,0.7754,0.7029,0.6449,0.7391,0.7174,0.7246,0.6884,0.8188,0.6014,0.7036
13,0.6014,0.8188,0.6232,0.7754,0.7101,0.6449,0.7391,0.7391,0.7319,0.7101,0.8188,0.6014,0.7094
14,0.6014,0.8188,0.6232,0.7754,0.7101,0.6594,0.7681,0.7391,0.7391,0.7101,0.8188,0.6014,0.7145
15,0.6232,0.8261,0.6232,0.7971,0.7101,0.6594,0.7826,0.7391,0.7464,0.7101,0.8261,0.6232,0.7217
16,0.6884,0.8261,0.6232,0.7971,0.7101,0.6594,0.7826,0.7391,0.7464,0.7101,0.8261,0.6232,0.7282
17,0.6957,0.8261,0.6304,0.7971,0.7101,0.6594,0.7826,0.7391,0.7464,0.7101,0.8261,0.6304,0.7297
18,0.7029,0.8261,0.6304,0.8116,0.7319,0.6594,0.7826,0.7391,0.7464,0.7101,0.8261,0.6304,0.734
19,0.7174,0.8333,0.6304,0.8116,0.7319,0.6594,0.7826,0.7391,0.7464,0.7101,0.8333,0.6304,0.7362
20,0.7246,0.8333,0.6304,0.8116,0.7319,0.6667,0.7826,0.7391,0.7464,0.7101,0.8333,0.6304,0.7377
21,0.7246,0.8333,0.6304,0.8116,0.7464,0.6667,0.7826,0.7754,0.7464,0.7101,0.8333,0.6304,0.7427
22,0.7246,0.8406,0.6522,0.8116,0.7464,0.6667,0.7826,0.7754,0.7464,0.7464,0.8406,0.6522,0.7493
23,0.7319,0.8478,0.6522,0.8116,0.7826,0.6667,0.7826,0.7754,0.7609,0.7681,0.8478,0.6522,0.758
24,0.7319,0.8551,0.6522,0.8116,0.7826,0.6884,0.7826,0.7754,0.7609,0.7681,0.8551,0.6522,0.7609
25,0.7319,0.8696,0.6667,0.8116,0.7971,0.7174,0.7826,0.7754,0.7754,0.7681,0.8696,0.6667,0.7696
26,0.7319,0.8768,0.7029,0.8333,0.7971,0.7319,0.7899,0.7754,0.7754,0.7681,0.8768,0.7029,0.7783
27,0.7319,0.8768,0.7029,0.8333,0.8043,0.7391,0.7899,0.7754,0.7826,0.7681,0.8768,0.7029,0.7804
28,0.7319,0.8768,0.7029,0.8406,0.8116,0.7391,0.7899,0.7826,0.7899,0.7681,0.8768,0.7029,0.7833
29,0.7391,0.8768,0.7029,0.8406,0.8188,0.7826,0.7899,0.7826,0.7971,0.7681,0.8768,0.7029,0.7899
30,0.7754,0.8768,0.7174,0.8406,0.8188,0.7826,0.7899,0.7826,0.7971,0.7681,0.8768,0.7174,0.7949
31,0.7826,0.8913,0.7174,0.8406,0.8188,0.7971,0.8188,0.7826,0.7971,0.7681,0.8913,0.7174,0.8014
32,0.7826,0.8913,0.7174,0.8406,0.8188,0.8043,0.8261,0.7971,0.8116,0.7681,0.8913,0.7174,0.8058
33,0.7826,0.8913,0.7174,0.8406,0.8188,0.8116,0.8261,0.7971,0.8333,0.7681,0.8913,0.7174,0.8087
