timestamp,e10002,e10004,e10001,e10003,e10000,max,min,avg
0,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298
4,0.0563,0.0563,0.0563,0.0563,0.0563,0.0563,0.0563,0.0563
5,0.1093,0.1523,0.106,0.1258,0.1225,0.1523,0.106,0.1232
6,0.1225,0.1788,0.1523,0.1291,0.1258,0.1788,0.1225,0.1417
7,0.1788,0.1854,0.1523,0.1291,0.1258,0.1854,0.1258,0.1543
8,0.1921,0.1954,0.1722,0.1291,0.1589,0.1954,0.1291,0.1695
9,0.1987,0.1954,0.1722,0.1291,0.1589,0.1987,0.1291,0.1709
10,0.1987,0.202,0.1722,0.1291,0.1722,0.202,0.1291,0.1748
11,0.1987,0.202,0.1722,0.1821,0.1854,0.202,0.1722,0.1881
12,0.1987,0.202,0.245,0.1821,0.1921,0.245,0.1821,0.204
13,0.1987,0.202,0.245,0.1987,0.1921,0.245,0.1921,0.2073
14,0.202,0.202,0.245,0.1987,0.1921,0.245,0.1921,0.208
15,0.202,0.202,0.245,0.1987,0.1921,0.245,0.1921,0.208
16,0.202,0.202,0.245,0.1987,0.1921,0.245,0.1921,0.208
17,0.202,0.202,0.245,0.1987,0.1921,0.245,0.1921,0.208
18,0.202,0.202,0.2483,0.1987,0.1921,0.2483,0.1921,0.2086
19,0.202,0.202,0.2483,0.1987,0.1921,0.2483,0.1921,0.2086
20,0.202,0.202,0.2483,0.1987,0.1921,0.2483,0.1921,0.2086
21,0.2053,0.202,0.2616,0.1987,0.1954,0.2616,0.1954,0.2126
22,0.2053,0.202,0.2616,0.1987,0.1954,0.2616,0.1954,0.2126
23,0.2053,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2139
24,0.2053,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2139
25,0.2053,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2139
26,0.2053,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2139
27,0.2086,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2146
28,0.2086,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2146
29,0.2086,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2146
30,0.2086,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2146
31,0.2086,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2146
32,0.2086,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2146
33,0.2086,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2146
34,0.2086,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2146
35,0.2086,0.202,0.2616,0.202,0.1987,0.2616,0.1987,0.2146
36,0.2086,0.2517,0.2616,0.2053,0.1987,0.2616,0.1987,0.2252
37,0.2086,0.2517,0.2616,0.2053,0.1987,0.2616,0.1987,0.2252
38,0.2086,0.2517,0.2649,0.2053,0.1987,0.2649,0.1987,0.2258
39,0.2086,0.2517,0.2649,0.2053,0.1987,0.2649,0.1987,0.2258
40,0.2086,0.2517,0.2649,0.2053,0.1987,0.2649,0.1987,0.2258
41,0.2086,0.2517,0.2649,0.2053,0.1987,0.2649,0.1987,0.2258
42,0.2086,0.2517,0.2649,0.2053,0.1987,0.2649,0.1987,0.2258
43,0.2086,0.2517,0.2649,0.2053,0.1987,0.2649,0.1987,0.2258
44,0.2086,0.2517,0.2649,0.2086,0.1987,0.2649,0.1987,0.2265
45,0.2086,0.2517,0.2649,0.2086,0.1987,0.2649,0.1987,0.2265
46,0.2086,0.2517,0.2649,0.2086,0.1987,0.2649,0.1987,0.2265
47,0.2086,0.2517,0.2649,0.2086,0.1987,0.2649,0.1987,0.2265
48,0.2086,0.2517,0.2649,0.2086,0.202,0.2649,0.202,0.2272
49,0.2086,0.2517,0.2649,0.2086,0.202,0.2649,0.202,0.2272
50,0.2086,0.2517,0.2649,0.2086,0.202,0.2649,0.202,0.2272
51,0.2086,0.2517,0.2649,0.2086,0.202,0.2649,0.202,0.2272
52,0.2086,0.2517,0.2649,0.2086,0.202,0.2649,0.202,0.2272
53,0.2086,0.2517,0.2649,0.2086,0.202,0.2649,0.202,0.2272
54,0.2086,0.2517,0.2682,0.2086,0.202,0.2682,0.202,0.2278
55,0.2086,0.2517,0.2682,0.2086,0.202,0.2682,0.202,0.2278
56,0.2119,0.2517,0.2682,0.2086,0.202,0.2682,0.202,0.2285
57,0.2119,0.255,0.2682,0.2086,0.202,0.2682,0.202,0.2291
58,0.2119,0.255,0.2682,0.2086,0.202,0.2682,0.202,0.2291
59,0.2119,0.255,0.2682,0.2086,0.202,0.2682,0.202,0.2291
60,0.2119,0.255,0.2682,0.2086,0.202,0.2682,0.202,0.2291
61,0.2119,0.255,0.2682,0.2086,0.202,0.2682,0.202,0.2291
62,0.2119,0.255,0.2682,0.2086,0.202,0.2682,0.202,0.2291
63,0.2119,0.255,0.2682,0.2086,0.202,0.2682,0.202,0.2291
64,0.2119,0.255,0.2682,0.2086,0.202,0.2682,0.202,0.2291
65,0.2119,0.255,0.2682,0.2086,0.202,0.2682,0.202,0.2291
66,0.2119,0.255,0.2682,0.2086,0.202,0.2682,0.202,0.2291
67,0.2119,0.2583,0.2682,0.2086,0.202,0.2682,0.202,0.2298
68,0.2119,0.2616,0.2682,0.2086,0.202,0.2682,0.202,0.2305
69,0.2119,0.2616,0.2682,0.2086,0.202,0.2682,0.202,0.2305
70,0.2119,0.2616,0.2682,0.2086,0.202,0.2682,0.202,0.2305
71,0.2119,0.2616,0.2682,0.2086,0.202,0.2682,0.202,0.2305
72,0.2119,0.2616,0.2682,0.2185,0.202,0.2682,0.202,0.2324
73,0.2119,0.2616,0.2682,0.2252,0.202,0.2682,0.202,0.2338
74,0.2119,0.2616,0.2682,0.2252,0.202,0.2682,0.202,0.2338
75,0.2119,0.2616,0.2682,0.2285,0.202,0.2682,0.202,0.2344
76,0.2119,0.2649,0.2682,0.2285,0.2053,0.2682,0.2053,0.2358
77,0.2119,0.2649,0.2682,0.2285,0.2053,0.2682,0.2053,0.2358
78,0.2119,0.2649,0.2682,0.2285,0.2053,0.2682,0.2053,0.2358
79,0.2119,0.2649,0.2682,0.2285,0.2053,0.2682,0.2053,0.2358
80,0.2119,0.2649,0.2682,0.2285,0.2053,0.2682,0.2053,0.2358
81,0.2119,0.2649,0.2682,0.2285,0.2053,0.2682,0.2053,0.2358
82,0.2119,0.2649,0.2682,0.2384,0.2053,0.2682,0.2053,0.2377
83,0.2119,0.2649,0.2682,0.2384,0.2053,0.2682,0.2053,0.2377
84,0.2119,0.2649,0.2682,0.2384,0.2053,0.2682,0.2053,0.2377
85,0.2119,0.2649,0.2682,0.2384,0.2053,0.2682,0.2053,0.2377
86,0.2119,0.2649,0.2682,0.2384,0.2053,0.2682,0.2053,0.2377
87,0.2119,0.2649,0.2682,0.2384,0.2053,0.2682,0.2053,0.2377
88,0.2119,0.2649,0.2682,0.2384,0.2053,0.2682,0.2053,0.2377
89,0.2119,0.2649,0.2682,0.2384,0.2053,0.2682,0.2053,0.2377
90,0.2119,0.2649,0.2682,0.2483,0.2053,0.2682,0.2053,0.2397
91,0.2119,0.2649,0.2682,0.2483,0.2086,0.2682,0.2086,0.2404
92,0.2119,0.2649,0.2682,0.2483,0.2086,0.2682,0.2086,0.2404
93,0.2119,0.2649,0.2682,0.2483,0.2086,0.2682,0.2086,0.2404
94,0.2119,0.2781,0.2682,0.2483,0.2086,0.2781,0.2086,0.243
95,0.2119,0.2781,0.2682,0.2483,0.2086,0.2781,0.2086,0.243
96,0.2119,0.2781,0.2682,0.2483,0.2086,0.2781,0.2086,0.243
97,0.2119,0.2781,0.2682,0.2483,0.2086,0.2781,0.2086,0.243
98,0.2119,0.2815,0.2682,0.2483,0.2086,0.2815,0.2086,0.2437
99,0.2119,0.2815,0.2682,0.2483,0.2086,0.2815,0.2086,0.2437
100,0.2119,0.2815,0.2682,0.2483,0.2086,0.2815,0.2086,0.2437
101,0.2119,0.2815,0.2682,0.2483,0.2086,0.2815,0.2086,0.2437
102,0.2119,0.2815,0.2682,0.2483,0.2086,0.2815,0.2086,0.2437
103,0.2119,0.2815,0.2682,0.2483,0.2086,0.2815,0.2086,0.2437
104,0.2119,0.2815,0.2682,0.2483,0.2086,0.2815,0.2086,0.2437
105,0.2119,0.2815,0.2682,0.2483,0.2086,0.2815,0.2086,0.2437
106,0.2119,0.2815,0.2682,0.2483,0.2086,0.2815,0.2086,0.2437
107,0.2119,0.2815,0.2682,0.2483,0.2086,0.2815,0.2086,0.2437
