timestamp,e1000e5,e1000e2,e1000e9,e1000e3,e1000e0,e1000e4,e1000e1,e1000e6,e1000e8,e1000e7,max,min,avg
0,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345
3,0.0345,0.0435,0.0345,0.0345,0.0435,0.0345,0.0435,0.0345,0.0345,0.0345,0.0435,0.0345,0.0372
4,0.0435,0.0901,0.0435,0.0435,0.0796,0.0435,0.0766,0.0435,0.0435,0.0435,0.0901,0.0435,0.0551
5,0.0766,0.0916,0.0916,0.0751,0.0826,0.0781,0.0781,0.0766,0.0796,0.0811,0.0916,0.0751,0.0811
6,0.0856,0.0946,0.0931,0.1051,0.0856,0.0856,0.0841,0.0841,0.0811,0.0826,0.1051,0.0811,0.0881
7,0.0931,0.0946,0.0931,0.1096,0.0901,0.0856,0.0841,0.1366,0.0811,0.0826,0.1366,0.0811,0.095
8,0.0976,0.1051,0.0961,0.1111,0.0916,0.1787,0.0856,0.1471,0.0871,0.0886,0.1787,0.0856,0.1089
9,0.0976,0.1126,0.1246,0.1111,0.0946,0.1847,0.0856,0.1486,0.0961,0.0976,0.1847,0.0856,0.1153
10,0.0976,0.1276,0.1261,0.1111,0.0946,0.1862,0.0856,0.2432,0.0976,0.0976,0.2432,0.0856,0.1267
11,0.1006,0.1336,0.1261,0.1111,0.0991,0.1982,0.0886,0.2538,0.0991,0.0976,0.2538,0.0886,0.1308
12,0.1021,0.1336,0.1306,0.1171,0.1006,0.1982,0.0886,0.2583,0.2027,0.1111,0.2583,0.0886,0.1443
13,0.1021,0.1366,0.1411,0.1186,0.1021,0.1982,0.0886,0.2598,0.2177,0.1201,0.2598,0.0886,0.1485
14,0.1231,0.1396,0.2342,0.1186,0.1111,0.1982,0.0886,0.2598,0.2267,0.1276,0.2598,0.0886,0.1628
15,0.1261,0.1592,0.2342,0.1186,0.1366,0.1982,0.1456,0.2598,0.2267,0.1276,0.2598,0.1186,0.1733
16,0.1261,0.1592,0.2372,0.1186,0.1366,0.1982,0.1577,0.2598,0.2267,0.1276,0.2598,0.1186,0.1748
17,0.1261,0.1592,0.2417,0.1186,0.1381,0.1982,0.1787,0.2598,0.2297,0.1276,0.2598,0.1186,0.1778
18,0.1291,0.1607,0.2508,0.1381,0.1547,0.1982,0.1847,0.2598,0.2297,0.2553,0.2598,0.1291,0.1961
19,0.1291,0.1607,0.2508,0.1381,0.1547,0.1997,0.1847,0.2598,0.2297,0.2883,0.2883,0.1291,0.1996
20,0.1291,0.1607,0.2508,0.1381,0.1562,0.2042,0.1847,0.2598,0.2342,0.2883,0.2883,0.1291,0.2006
21,0.1336,0.1622,0.2508,0.1426,0.1562,0.2042,0.1862,0.2658,0.2357,0.2898,0.2898,0.1336,0.2027
22,0.1351,0.1667,0.2508,0.1426,0.1562,0.2042,0.1862,0.2658,0.2387,0.3108,0.3108,0.1351,0.2057
23,0.1411,0.1682,0.2508,0.1426,0.1562,0.2042,0.1877,0.2658,0.2402,0.3288,0.3288,0.1411,0.2086
24,0.1441,0.1697,0.2508,0.1426,0.1682,0.2042,0.1892,0.2658,0.2402,0.3288,0.3288,0.1426,0.2104
25,0.1456,0.1697,0.2508,0.1426,0.1682,0.2042,0.1892,0.2658,0.2432,0.3363,0.3363,0.1426,0.2116
26,0.1456,0.1697,0.2523,0.1426,0.1742,0.2042,0.1892,0.2658,0.2447,0.3363,0.3363,0.1426,0.2125
27,0.1456,0.1697,0.2523,0.1426,0.1787,0.2042,0.1892,0.2658,0.2598,0.3438,0.3438,0.1426,0.2152
28,0.1456,0.1727,0.2523,0.1471,0.1832,0.2042,0.1892,0.2658,0.2823,0.3453,0.3453,0.1456,0.2188
29,0.1456,0.1742,0.2523,0.1471,0.1832,0.2042,0.1967,0.2658,0.2823,0.3483,0.3483,0.1456,0.22
30,0.1742,0.1787,0.2523,0.1471,0.1832,0.2042,0.1997,0.2658,0.2838,0.3498,0.3498,0.1471,0.2239
31,0.1742,0.1787,0.2523,0.1471,0.1832,0.2042,0.2402,0.2658,0.2838,0.3498,0.3498,0.1471,0.2279
32,0.1802,0.1787,0.2523,0.1471,0.1862,0.2042,0.2417,0.2658,0.2853,0.3498,0.3498,0.1471,0.2291
33,0.1832,0.1802,0.2523,0.1471,0.1862,0.2042,0.2462,0.2658,0.2868,0.3498,0.3498,0.1471,0.2302
34,0.1892,0.1802,0.2523,0.1471,0.1862,0.2042,0.2492,0.2658,0.2898,0.3498,0.3498,0.1471,0.2314
35,0.1907,0.1817,0.2538,0.1471,0.1862,0.2042,0.2568,0.2658,0.2928,0.3498,0.3498,0.1471,0.2329
36,0.1922,0.1877,0.2538,0.1471,0.1862,0.2102,0.2583,0.2658,0.2928,0.3498,0.3498,0.1471,0.2344
37,0.1922,0.1877,0.2538,0.1471,0.1862,0.2102,0.2583,0.2658,0.2928,0.3498,0.3498,0.1471,0.2344
38,0.1922,0.1892,0.2538,0.1471,0.1862,0.2117,0.2583,0.2658,0.2943,0.3498,0.3498,0.1471,0.2348
39,0.1922,0.1892,0.2538,0.1471,0.1862,0.2117,0.2583,0.2658,0.2943,0.3574,0.3574,0.1471,0.2356
40,0.1952,0.1907,0.2538,0.1471,0.1862,0.2117,0.2583,0.2658,0.2973,0.3604,0.3604,0.1471,0.2366
41,0.1952,0.1907,0.2538,0.1471,0.1862,0.2117,0.2583,0.2658,0.2973,0.3604,0.3604,0.1471,0.2366
42,0.1952,0.1907,0.2538,0.1471,0.1862,0.2117,0.2628,0.2658,0.2973,0.3604,0.3604,0.1471,0.2371
43,0.1982,0.1907,0.2538,0.1471,0.1862,0.2132,0.2628,0.2658,0.3153,0.3604,0.3604,0.1471,0.2394
44,0.1982,0.1907,0.2538,0.1471,0.1862,0.2132,0.2628,0.2658,0.3408,0.3604,0.3604,0.1471,0.2419
45,0.1982,0.2177,0.2538,0.1471,0.1862,0.2132,0.2628,0.2658,0.3408,0.3604,0.3604,0.1471,0.2446
46,0.1997,0.2177,0.2538,0.1471,0.1862,0.2147,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.2455
47,0.2012,0.2207,0.2538,0.1471,0.1862,0.2147,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.2459
48,0.2087,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.2468
49,0.2087,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.2468
50,0.2087,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.2468
51,0.2102,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.247
52,0.2102,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.247
53,0.2102,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.247
54,0.2102,0.2207,0.2538,0.1471,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1471,0.247
55,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
56,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
57,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
58,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
59,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
60,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
61,0.2102,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2473
62,0.2147,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2478
63,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2628,0.2658,0.3468,0.3604,0.3604,0.1502,0.2479
64,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
65,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
66,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
67,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
68,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
69,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
70,0.2162,0.2207,0.2538,0.1502,0.1862,0.2162,0.2643,0.2658,0.3468,0.3604,0.3604,0.1502,0.2481
71,0.2162,0.2207,0.2538,0.1547,0.1862,0.2342,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2503
72,0.2162,0.2207,0.2538,0.1547,0.1907,0.2417,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2515
73,0.2162,0.2207,0.2538,0.1547,0.1907,0.2417,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2515
74,0.2162,0.2207,0.2538,0.1547,0.1922,0.2417,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2517
75,0.2162,0.2207,0.2538,0.1547,0.1937,0.2417,0.2643,0.2658,0.3468,0.3604,0.3604,0.1547,0.2518
