timestamp,ehci3,ehci1,ehci0,ehci9,ehci6,ehci4,ehci2,ehci8,ehci7,ehci5,max,min,avg
1633015421,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573
1633015424,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006
1633015425,0.2989,0.2905,0.2975,0.2444,0.2179,0.2095,0.3268,0.2207,0.2151,0.4441,0.4441,0.2095,0.2765
1633015426,0.4888,0.4553,0.2975,0.2556,0.4763,0.3184,0.4623,0.257,0.2263,0.5,0.5,0.2263,0.3738
1633015427,0.5028,0.4958,0.5126,0.4399,0.5293,0.5042,0.5042,0.4609,0.4232,0.5028,0.5293,0.4232,0.4876
1633015428,0.5265,0.5056,0.5237,0.4958,0.5391,0.5042,0.5028,0.4986,0.4581,0.5112,0.5391,0.4581,0.5066
1633015429,0.5656,0.514,0.5265,0.5014,0.5391,0.5042,0.5028,0.507,0.4581,0.5112,0.5656,0.4581,0.513
1633015430,0.5922,0.5168,0.5251,0.5084,0.5447,0.5042,0.5084,0.507,0.4721,0.5112,0.5922,0.4721,0.519
1633015431,0.5936,0.5209,0.5251,0.5112,0.5433,0.5042,0.5098,0.5098,0.5056,0.514,0.5936,0.5042,0.5238
1633015432,0.5936,0.5223,0.5251,0.5112,0.5447,0.507,0.5084,0.5112,0.507,0.5349,0.5936,0.507,0.5265
1633015433,0.5936,0.5223,0.5265,0.5112,0.5433,0.507,0.5084,0.5112,0.5098,0.5363,0.5936,0.507,0.527
1633015434,0.5936,0.5223,0.5251,0.5112,0.5447,0.5084,0.5126,0.5168,0.5112,0.5363,0.5936,0.5084,0.5282
1633015435,0.5936,0.5223,0.5265,0.5112,0.5447,0.5307,0.5126,0.5168,0.5321,0.5377,0.5936,0.5112,0.5328
1633015436,0.602,0.5223,0.5265,0.5112,0.5447,0.5307,0.514,0.5168,0.5335,0.5363,0.602,0.5112,0.5338
1633015437,0.602,0.5223,0.5293,0.5126,0.5447,0.5307,0.514,0.5223,0.5335,0.5363,0.602,0.5126,0.5348
1633015438,0.6034,0.5237,0.5279,0.5126,0.5447,0.5307,0.514,0.5209,0.5321,0.5363,0.6034,0.5126,0.5346
1633015439,0.6034,0.5237,0.5335,0.5112,0.5433,0.5307,0.514,0.5209,0.5363,0.5363,0.6034,0.5112,0.5353
1633015440,0.602,0.5237,0.5321,0.5112,0.5447,0.5321,0.5126,0.5209,0.5615,0.5363,0.602,0.5112,0.5377
1633015441,0.602,0.5237,0.5335,0.5112,0.5433,0.5307,0.514,0.5209,0.5615,0.5377,0.602,0.5112,0.5378
1633015442,0.6034,0.5251,0.5321,0.5112,0.5447,0.5307,0.514,0.5209,0.5615,0.5363,0.6034,0.5112,0.538
1633015443,0.602,0.5237,0.5321,0.5112,0.5447,0.5321,0.588,0.5223,0.5628,0.5363,0.602,0.5112,0.5455
1633015444,0.602,0.5237,0.5321,0.5126,0.5447,0.5321,0.588,0.5223,0.5615,0.5363,0.602,0.5126,0.5455
1633015445,0.602,0.5251,0.5335,0.5112,0.5461,0.5628,0.588,0.5223,0.5615,0.5363,0.602,0.5112,0.5489
1633015446,0.6034,0.5237,0.5349,0.5112,0.5461,0.5642,0.588,0.5223,0.5615,0.5363,0.6034,0.5112,0.5492
1633015447,0.6034,0.5237,0.5349,0.5112,0.5447,0.6187,0.588,0.5209,0.5615,0.5377,0.6187,0.5112,0.5545
1633015448,0.6034,0.5237,0.5349,0.5112,0.5447,0.6341,0.588,0.5209,0.5628,0.5377,0.6341,0.5112,0.5561
1633015449,0.602,0.5237,0.5419,0.5126,0.5461,0.6327,0.6034,0.5209,0.5628,0.5377,0.6327,0.5126,0.5584
1633015450,0.6369,0.5251,0.5419,0.5335,0.5447,0.6341,0.602,0.5209,0.5615,0.5377,0.6369,0.5209,0.5638
1633015451,0.6383,0.5237,0.5419,0.5349,0.5447,0.6327,0.602,0.5223,0.5628,0.5377,0.6383,0.5223,0.5641
1633015452,0.6383,0.5237,0.5405,0.5363,0.5461,0.6411,0.6047,0.5209,0.5615,0.5377,0.6411,0.5209,0.5651
1633015453,0.6411,0.5237,0.5419,0.5349,0.5447,0.6397,0.6047,0.5209,0.5628,0.5391,0.6411,0.5209,0.5654
1633015454,0.6411,0.5237,0.5419,0.5349,0.5461,0.6425,0.6047,0.5223,0.5628,0.5377,0.6425,0.5223,0.5658
1633015455,0.6411,0.5237,0.5419,0.5349,0.5461,0.6425,0.6047,0.5209,0.5615,0.5377,0.6425,0.5209,0.5655
1633015456,0.6411,0.5447,0.5405,0.5349,0.5447,0.6439,0.6047,0.5223,0.5628,0.5377,0.6439,0.5223,0.5677
1633015457,0.6425,0.5447,0.5405,0.5349,0.5447,0.6453,0.6061,0.5237,0.5615,0.5447,0.6453,0.5237,0.5689
1633015458,0.6411,0.5447,0.5405,0.5349,0.5447,0.6453,0.6061,0.5223,0.5615,0.5433,0.6453,0.5223,0.5684
1633015459,0.6425,0.5461,0.5405,0.5349,0.5447,0.6439,0.6047,0.5223,0.5615,0.5433,0.6439,0.5223,0.5684
1633015460,0.6411,0.5461,0.5419,0.5349,0.5461,0.6439,0.6061,0.5223,0.5628,0.5447,0.6439,0.5223,0.569
