timestamp,es13701,es13702,es13706,es13708,es13709,es13700,es13705,es13707,es13704,es13703,max,min,avg
0,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247
4,0.0247,0.0247,0.2346,0.2346,0.2346,0.2346,0.2346,0.2346,0.2346,0.0247,0.2346,0.0247,0.1716
5,0.2593,0.2346,0.8642,0.8333,0.8642,0.858,0.8827,0.8333,0.8457,0.0247,0.8827,0.0247,0.65
6,0.8704,0.8086,0.9012,0.858,0.8704,0.9074,0.8951,0.9136,0.9012,0.2346,0.9136,0.2346,0.816
7,0.9074,0.8395,0.9136,0.9074,0.9012,0.9136,0.9136,0.9136,0.9136,0.8519,0.9136,0.8395,0.8975
8,0.9074,0.858,0.9136,0.9074,0.9074,0.9136,0.9136,0.9136,0.9136,0.858,0.9136,0.858,0.9006
9,0.9074,0.9012,0.9136,0.9074,0.9074,0.9136,0.9136,0.9136,0.9136,0.9074,0.9136,0.9012,0.9099
10,0.9136,0.9074,0.9136,0.9074,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9074,0.9124
11,0.9136,0.9136,0.9136,0.9074,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9074,0.913
12,0.9136,0.9136,0.9136,0.9074,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9074,0.913
13,0.9136,0.9136,0.9136,0.9074,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9074,0.913
14,0.9136,0.9136,0.9136,0.9074,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9074,0.913
15,0.9136,0.9136,0.9136,0.9074,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9074,0.913
16,0.9136,0.9136,0.9136,0.9074,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9074,0.913
17,0.9136,0.9136,0.9136,0.9074,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9074,0.913
18,0.9136,0.9136,0.9136,0.9074,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9136,0.9074,0.913
