timestamp,ohci8,ohci9,ohci7,ohci2,ohci6,ohci3,ohci1,ohci4,ohci0,ohci5,max,min,avg
0,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474
3,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442
4,0.2135,0.188,0.2044,0.1898,0.188,0.2007,0.1788,0.2226,0.2135,0.2044,0.2226,0.1788,0.2004
5,0.2445,0.25,0.2372,0.25,0.2646,0.2245,0.2245,0.2573,0.2391,0.2281,0.2646,0.2245,0.242
6,0.2828,0.2573,0.2427,0.2701,0.281,0.2536,0.2318,0.292,0.2664,0.2464,0.292,0.2318,0.2624
7,0.2901,0.2737,0.2609,0.281,0.2901,0.2755,0.2737,0.3011,0.2847,0.2737,0.3011,0.2609,0.2804
8,0.2956,0.2737,0.281,0.2847,0.3047,0.2993,0.2883,0.3102,0.2956,0.2938,0.3102,0.2737,0.2927
9,0.2993,0.2792,0.2938,0.2938,0.312,0.3047,0.2974,0.3193,0.2993,0.3011,0.3193,0.2792,0.3
10,0.3011,0.2828,0.3011,0.2993,0.3157,0.3047,0.3011,0.3212,0.3029,0.3066,0.3212,0.2828,0.3037
11,0.3047,0.2865,0.3011,0.3029,0.3157,0.3157,0.3139,0.3212,0.3047,0.3084,0.3212,0.2865,0.3075
12,0.3084,0.2901,0.3066,0.3029,0.3193,0.3175,0.3139,0.3212,0.3175,0.3102,0.3212,0.2901,0.3108
13,0.3139,0.292,0.3248,0.3029,0.3212,0.3248,0.3139,0.3248,0.3175,0.3102,0.3248,0.292,0.3146
14,0.3157,0.2974,0.3321,0.312,0.3212,0.3266,0.3139,0.3248,0.3175,0.3102,0.3321,0.2974,0.3171
15,0.3157,0.3029,0.3504,0.3139,0.323,0.3285,0.3175,0.3248,0.3175,0.3102,0.3504,0.3029,0.3204
16,0.3212,0.3047,0.3504,0.3139,0.3248,0.3285,0.3175,0.3266,0.3175,0.3102,0.3504,0.3047,0.3215
17,0.323,0.3047,0.3504,0.3175,0.3266,0.3285,0.3175,0.3285,0.3175,0.3102,0.3504,0.3047,0.3224
18,0.323,0.3047,0.3504,0.3175,0.3266,0.3303,0.3175,0.3285,0.3193,0.3102,0.3504,0.3047,0.3228
19,0.3266,0.3047,0.3504,0.3193,0.3266,0.3321,0.3193,0.3285,0.3266,0.3157,0.3504,0.3047,0.325
20,0.3266,0.3102,0.3504,0.3193,0.3266,0.3504,0.323,0.3285,0.3266,0.3157,0.3504,0.3102,0.3277
21,0.3266,0.3102,0.3504,0.3193,0.3285,0.3504,0.323,0.3449,0.3266,0.3157,0.3504,0.3102,0.3296
22,0.3266,0.312,0.3504,0.3193,0.3285,0.3504,0.323,0.3467,0.3266,0.3175,0.3504,0.312,0.3301
23,0.3266,0.312,0.3504,0.3193,0.3285,0.3504,0.323,0.3467,0.3266,0.3175,0.3504,0.312,0.3301
24,0.3266,0.3139,0.3504,0.3212,0.3485,0.3504,0.323,0.3467,0.3266,0.3376,0.3504,0.3139,0.3345
25,0.3266,0.3139,0.3522,0.3212,0.3485,0.3504,0.323,0.3467,0.3285,0.3376,0.3522,0.3139,0.3349
26,0.3285,0.3139,0.3558,0.3285,0.3485,0.3504,0.323,0.3467,0.3285,0.3376,0.3558,0.3139,0.3361
27,0.3285,0.3139,0.3558,0.3285,0.3485,0.3504,0.323,0.3467,0.3285,0.3376,0.3558,0.3139,0.3361
28,0.3285,0.3139,0.3558,0.3285,0.3485,0.3504,0.323,0.3467,0.3285,0.3376,0.3558,0.3139,0.3361
