timestamp,uhci5,uhci8,uhci3,uhci6,uhci0,uhci1,uhci9,uhci4,uhci7,uhci2,max,min,avg
0,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838
4,0.1647,0.1647,0.1647,0.1647,0.0838,0.0838,0.1647,0.1647,0.1647,0.1647,0.1647,0.0838,0.1485
5,0.2775,0.2457,0.2283,0.2688,0.0838,0.0838,0.2572,0.211,0.2514,0.1965,0.2775,0.0838,0.2104
6,0.3757,0.263,0.2283,0.2717,0.0838,0.1647,0.3699,0.211,0.2601,0.2168,0.3757,0.0838,0.2445
7,0.3757,0.2717,0.2486,0.2775,0.1647,0.2197,0.3728,0.2341,0.2746,0.2254,0.3757,0.1647,0.2665
8,0.3757,0.3671,0.2486,0.2775,0.2139,0.2225,0.3757,0.2428,0.2746,0.2312,0.3757,0.2139,0.283
9,0.3757,0.3671,0.2572,0.2775,0.2399,0.2428,0.3786,0.2486,0.2832,0.2341,0.3786,0.2341,0.2905
10,0.3757,0.3699,0.2659,0.2775,0.2572,0.2572,0.3786,0.2572,0.2832,0.2601,0.3786,0.2572,0.2983
11,0.3902,0.3757,0.2659,0.3699,0.263,0.2572,0.3786,0.2572,0.3757,0.263,0.3902,0.2572,0.3196
12,0.3902,0.3757,0.2688,0.3699,0.263,0.2601,0.3786,0.2572,0.3757,0.2659,0.3902,0.2572,0.3205
13,0.3902,0.3757,0.2688,0.3873,0.2659,0.2601,0.3786,0.2601,0.3757,0.2717,0.3902,0.2601,0.3234
14,0.3902,0.3757,0.2688,0.3902,0.2775,0.2601,0.3786,0.2659,0.3757,0.2717,0.3902,0.2601,0.3254
15,0.3902,0.3757,0.2688,0.3902,0.2803,0.2601,0.3786,0.2688,0.3757,0.3642,0.3902,0.2601,0.3353
16,0.3902,0.3757,0.2688,0.3902,0.2803,0.2746,0.3786,0.2688,0.3757,0.3699,0.3902,0.2688,0.3373
17,0.396,0.3757,0.2688,0.3902,0.2803,0.2746,0.3786,0.2775,0.3757,0.3699,0.396,0.2688,0.3387
18,0.396,0.3873,0.2688,0.3902,0.2803,0.2746,0.3786,0.2832,0.3786,0.3699,0.396,0.2688,0.3407
19,0.396,0.3873,0.2775,0.3902,0.2803,0.2746,0.3786,0.2832,0.3786,0.3699,0.396,0.2746,0.3416
20,0.396,0.3902,0.2775,0.3902,0.2803,0.2746,0.3988,0.2832,0.3786,0.3786,0.3988,0.2746,0.3448
21,0.396,0.3902,0.2775,0.3902,0.3728,0.2775,0.3988,0.2832,0.3786,0.3786,0.3988,0.2775,0.3543
22,0.396,0.3931,0.2775,0.3902,0.3728,0.2775,0.3988,0.2832,0.3786,0.3786,0.3988,0.2775,0.3546
23,0.396,0.3931,0.2775,0.3902,0.3728,0.2775,0.3988,0.2832,0.3786,0.3786,0.3988,0.2775,0.3546
24,0.396,0.3931,0.3757,0.3902,0.3728,0.2775,0.3988,0.2832,0.3902,0.3786,0.3988,0.2775,0.3656
25,0.396,0.3931,0.3757,0.3902,0.3757,0.2775,0.3988,0.2832,0.3902,0.3786,0.3988,0.2775,0.3659
26,0.396,0.3931,0.3757,0.3902,0.3757,0.2775,0.3988,0.2832,0.3902,0.3786,0.3988,0.2775,0.3659
27,0.396,0.396,0.3757,0.3902,0.3757,0.3728,0.3988,0.2832,0.3902,0.3786,0.3988,0.2832,0.3757
28,0.396,0.396,0.3757,0.3902,0.3757,0.3728,0.3988,0.2832,0.3902,0.3786,0.3988,0.2832,0.3757
29,0.396,0.396,0.3757,0.3902,0.3757,0.3728,0.4017,0.2832,0.3902,0.3786,0.4017,0.2832,0.376
30,0.396,0.396,0.3757,0.3902,0.3757,0.3728,0.3988,0.3757,0.3902,0.3786,0.3988,0.3728,0.385
31,0.396,0.396,0.3757,0.3902,0.3757,0.3728,0.3988,0.3757,0.3902,0.3786,0.3988,0.3728,0.385
32,0.396,0.396,0.3757,0.3902,0.3757,0.3728,0.3988,0.3757,0.3902,0.3786,0.3988,0.3728,0.385
33,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.3988,0.3757,0.3902,0.3786,0.3988,0.3757,0.3856
34,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4104,0.3757,0.3902,0.3786,0.4104,0.3757,0.3867
35,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4104,0.3757,0.3902,0.3786,0.4104,0.3757,0.3867
36,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4104,0.3757,0.3902,0.3786,0.4104,0.3757,0.3867
37,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.3902,0.3786,0.4162,0.3757,0.3873
38,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.3931,0.3786,0.4162,0.3757,0.3876
39,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3879
40,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.3931,0.3786,0.4162,0.3757,0.3876
41,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.3931,0.3786,0.4162,0.3757,0.3876
42,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.3931,0.3786,0.4162,0.3757,0.3876
43,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3879
44,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4191,0.3757,0.396,0.3786,0.4191,0.3757,0.3882
45,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3879
46,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3879
47,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3879
48,0.396,0.396,0.3757,0.3902,0.3757,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3879
49,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
50,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
51,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
52,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
53,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
54,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
55,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4191,0.3757,0.396,0.3786,0.4191,0.3757,0.3885
56,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
57,0.396,0.3988,0.3757,0.4104,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3905
58,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3884
59,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
60,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
61,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
62,0.396,0.396,0.3757,0.3902,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3882
63,0.396,0.396,0.3757,0.3931,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3885
64,0.396,0.396,0.3757,0.3931,0.3786,0.3786,0.4162,0.3757,0.396,0.3786,0.4162,0.3757,0.3885
