timestamp,fdc1,fdc4,fdc3,fdc6,fdc8,fdc9,fdc7,fdc5,fdc2,fdc0,max,min,avg
0,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911,0.1911
3,0.2581,0.2581,0.2581,0.2602,0.1911,0.1911,0.1911,0.2581,0.2581,0.2581,0.2602,0.1911,0.2382
4,0.372,0.372,0.372,0.3699,0.2581,0.2581,0.2581,0.3862,0.3699,0.376,0.3862,0.2581,0.3392
5,0.372,0.374,0.374,0.374,0.376,0.3963,0.372,0.3902,0.3699,0.376,0.3963,0.3699,0.3774
6,0.372,0.378,0.374,0.376,0.3801,0.4207,0.374,0.3923,0.376,0.4045,0.4207,0.372,0.3848
7,0.372,0.378,0.376,0.376,0.3841,0.4228,0.376,0.3984,0.3801,0.4045,0.4228,0.372,0.3868
8,0.374,0.378,0.376,0.376,0.3882,0.4268,0.376,0.3984,0.3821,0.4065,0.4268,0.374,0.3882
9,0.374,0.378,0.376,0.3943,0.4085,0.4289,0.4045,0.4004,0.3821,0.4085,0.4289,0.374,0.3955
10,0.374,0.3801,0.376,0.3943,0.4085,0.4309,0.4065,0.4024,0.3963,0.4106,0.4309,0.374,0.398
11,0.3984,0.3801,0.376,0.3943,0.4085,0.4329,0.4065,0.4024,0.3984,0.4106,0.4329,0.376,0.4008
12,0.4045,0.3821,0.376,0.3943,0.4207,0.4329,0.4065,0.4024,0.3984,0.4106,0.4329,0.376,0.4028
13,0.4065,0.3821,0.376,0.3943,0.4207,0.435,0.4065,0.4024,0.4106,0.4167,0.435,0.376,0.4051
14,0.4065,0.3821,0.376,0.3943,0.4207,0.435,0.4065,0.4024,0.4126,0.4167,0.435,0.376,0.4053
15,0.4085,0.3841,0.376,0.3943,0.4207,0.435,0.4065,0.4187,0.4126,0.4167,0.435,0.376,0.4073
16,0.4085,0.3841,0.376,0.3943,0.4207,0.435,0.4065,0.4187,0.4248,0.4167,0.435,0.376,0.4085
17,0.4085,0.3862,0.3821,0.3943,0.4207,0.435,0.4065,0.4187,0.4248,0.4167,0.435,0.3821,0.4093
18,0.4106,0.3862,0.3821,0.4045,0.4207,0.4411,0.4085,0.439,0.4248,0.4167,0.4411,0.3821,0.4134
19,0.4106,0.3862,0.3821,0.4045,0.4268,0.4411,0.4146,0.439,0.4289,0.4167,0.4411,0.3821,0.4151
