timestamp,hda2,hda5,hda1,hda0,hda6,hda8,hda3,hda4,hda7,hda9,max,min,avg
0,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043
3,0.1217,0.1043,0.1217,0.1217,0.1043,0.1043,0.1217,0.1217,0.1043,0.1043,0.1217,0.1043,0.113
4,0.3826,0.1217,0.3348,0.3913,0.1217,0.1217,0.2609,0.313,0.1217,0.1217,0.3913,0.1217,0.2291
5,0.4217,0.3261,0.4696,0.4478,0.3739,0.3826,0.4,0.4435,0.4609,0.313,0.4696,0.313,0.4039
6,0.4435,0.3522,0.5043,0.4609,0.4609,0.4435,0.4087,0.4565,0.4739,0.4304,0.5043,0.3522,0.4435
7,0.5043,0.4087,0.5043,0.5391,0.4652,0.4826,0.4174,0.5174,0.5478,0.4522,0.5478,0.4087,0.4839
8,0.5217,0.4783,0.5565,0.613,0.4783,0.5609,0.4391,0.5348,0.5783,0.4565,0.613,0.4391,0.5217
9,0.5217,0.4826,0.5609,0.6174,0.5217,0.5652,0.4478,0.5435,0.613,0.4565,0.6174,0.4478,0.533
10,0.5348,0.5,0.6043,0.6261,0.5217,0.5652,0.4652,0.5435,0.6217,0.4609,0.6261,0.4609,0.5443
11,0.5435,0.5043,0.6043,0.6261,0.5217,0.5696,0.5609,0.5435,0.6217,0.4739,0.6261,0.4739,0.5569
12,0.5435,0.5043,0.6043,0.6348,0.5348,0.5696,0.5913,0.5522,0.6261,0.4783,0.6348,0.4783,0.5639
13,0.5435,0.5043,0.6174,0.6348,0.5435,0.5783,0.5913,0.5522,0.6261,0.4783,0.6348,0.4783,0.567
14,0.5783,0.5043,0.6174,0.6348,0.5435,0.5783,0.5913,0.5609,0.6348,0.4913,0.6348,0.4913,0.5735
15,0.5783,0.5087,0.6174,0.6348,0.5435,0.5826,0.5913,0.5609,0.6348,0.5174,0.6348,0.5087,0.577
16,0.5783,0.5087,0.6304,0.6348,0.5435,0.5826,0.5913,0.5609,0.6348,0.5174,0.6348,0.5087,0.5783
17,0.5783,0.5087,0.6304,0.6348,0.5435,0.5826,0.5957,0.5609,0.6348,0.5174,0.6348,0.5087,0.5787
18,0.5783,0.5087,0.6304,0.6348,0.5435,0.587,0.6087,0.5609,0.6348,0.5174,0.6348,0.5087,0.5805
19,0.5783,0.5087,0.6304,0.6348,0.5783,0.6,0.613,0.5609,0.6348,0.5174,0.6348,0.5087,0.5857
20,0.5783,0.5087,0.6304,0.6348,0.6043,0.6,0.613,0.5609,0.6348,0.5304,0.6348,0.5087,0.5896
21,0.5783,0.5087,0.6304,0.6348,0.6043,0.6087,0.613,0.5609,0.6348,0.5304,0.6348,0.5087,0.5904
22,0.5783,0.5087,0.6304,0.6348,0.6043,0.6087,0.613,0.5609,0.6348,0.5304,0.6348,0.5087,0.5904
23,0.5913,0.513,0.6304,0.6348,0.6043,0.6087,0.613,0.5609,0.6348,0.5304,0.6348,0.513,0.5922
24,0.5913,0.513,0.6304,0.6348,0.6043,0.6174,0.613,0.5609,0.6348,0.5348,0.6348,0.513,0.5935
25,0.5913,0.513,0.6304,0.6348,0.6043,0.6174,0.6174,0.5609,0.6348,0.5348,0.6348,0.513,0.5939
26,0.5913,0.513,0.6304,0.6348,0.613,0.6174,0.6174,0.5609,0.6348,0.6043,0.6348,0.513,0.6017
27,0.5913,0.513,0.6304,0.6348,0.613,0.6261,0.6174,0.5609,0.6348,0.6043,0.6348,0.513,0.6026
28,0.5913,0.513,0.6304,0.6348,0.613,0.6261,0.6174,0.6217,0.6478,0.6043,0.6478,0.513,0.61
29,0.5913,0.513,0.6304,0.6348,0.613,0.6261,0.6261,0.6217,0.6478,0.6043,0.6478,0.513,0.6109
30,0.5913,0.513,0.6391,0.6348,0.613,0.6261,0.6261,0.6217,0.6478,0.613,0.6478,0.513,0.6126
31,0.5913,0.513,0.6391,0.6348,0.613,0.6304,0.6261,0.6217,0.6478,0.613,0.6478,0.513,0.613
32,0.5913,0.513,0.6391,0.6348,0.613,0.6304,0.6261,0.6217,0.6478,0.613,0.6478,0.513,0.613
33,0.6043,0.513,0.6391,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.613,0.6478,0.513,0.6152
34,0.613,0.513,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.613,0.6478,0.513,0.6165
35,0.613,0.513,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6174,0.6478,0.513,0.6169
36,0.613,0.513,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6174,0.6478,0.513,0.6169
37,0.613,0.513,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6174,0.6478,0.513,0.6169
38,0.613,0.513,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6174,0.6478,0.513,0.6169
39,0.613,0.513,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6174,0.6478,0.513,0.6169
40,0.613,0.513,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6174,0.6478,0.513,0.6169
41,0.6217,0.513,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6261,0.6478,0.513,0.6187
42,0.6217,0.513,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6261,0.6478,0.513,0.6187
43,0.6261,0.513,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6261,0.6478,0.513,0.6191
44,0.6261,0.5348,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6261,0.6478,0.5348,0.6213
45,0.6261,0.5348,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6391,0.6478,0.5348,0.6226
46,0.6261,0.5348,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6391,0.6478,0.5348,0.6226
47,0.6261,0.5348,0.6435,0.6348,0.613,0.6304,0.6261,0.6304,0.6478,0.6391,0.6478,0.5348,0.6226
48,0.6261,0.5348,0.6435,0.6348,0.613,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6235
49,0.6261,0.5348,0.6435,0.6348,0.613,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6235
50,0.6261,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6248
51,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
52,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
53,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
54,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
55,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
56,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
57,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
58,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
59,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
60,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
61,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
62,0.6348,0.5348,0.6435,0.6391,0.6217,0.6304,0.6348,0.6304,0.6478,0.6391,0.6478,0.5348,0.6256
