timestamp,ehci4,ehci6,ehci1,ehci0,ehci8,ehci2,ehci9,ehci7,ehci3,ehci5,max,min,avg
1633473376,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573
1633473383,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006,0.1006
1633473384,0.2207,0.2277,0.1746,0.1844,0.2095,0.2402,0.2332,0.1494,0.1536,0.1522,0.2402,0.1494,0.1946
1633473385,0.3045,0.3087,0.3534,0.2235,0.2318,0.3017,0.2584,0.1913,0.1802,0.2709,0.3534,0.1802,0.2624
1633473386,0.3101,0.4679,0.3631,0.2263,0.2388,0.3059,0.352,0.1927,0.1997,0.3408,0.4679,0.1927,0.2997
1633473387,0.3142,0.4763,0.4008,0.3547,0.2388,0.3101,0.3743,0.1941,0.2039,0.3478,0.4763,0.1941,0.3215
1633473388,0.4511,0.4777,0.4022,0.3966,0.2402,0.3254,0.3757,0.2291,0.2039,0.3547,0.4777,0.2039,0.3457
1633473389,0.4609,0.4777,0.4036,0.398,0.2416,0.398,0.398,0.2318,0.2975,0.3757,0.4777,0.2318,0.3683
1633473390,0.4777,0.4846,0.4036,0.4036,0.2416,0.4036,0.4106,0.236,0.3575,0.3757,0.4846,0.236,0.3795
1633473391,0.4777,0.4902,0.4092,0.4078,0.2416,0.4036,0.4106,0.2416,0.3994,0.3799,0.4902,0.2416,0.3862
1633473392,0.4777,0.4902,0.4092,0.4078,0.2654,0.405,0.4106,0.264,0.4064,0.4469,0.4902,0.264,0.3983
1633473393,0.486,0.493,0.4092,0.4078,0.2654,0.4092,0.4134,0.2654,0.4064,0.4469,0.493,0.2654,0.4003
1633473394,0.486,0.493,0.4092,0.4078,0.2654,0.4092,0.4162,0.2654,0.4064,0.4469,0.493,0.2654,0.4006
1633473395,0.486,0.493,0.4092,0.4078,0.2654,0.4176,0.4162,0.2654,0.4064,0.4469,0.493,0.2654,0.4014
1633473396,0.486,0.493,0.4092,0.4078,0.2654,0.4176,0.4162,0.2765,0.4064,0.4469,0.493,0.2654,0.4025
1633473397,0.4874,0.493,0.4092,0.4078,0.2668,0.4176,0.4162,0.3156,0.4064,0.4497,0.493,0.2668,0.407
1633473398,0.4874,0.493,0.4092,0.4078,0.2668,0.4176,0.4218,0.317,0.4064,0.4497,0.493,0.2668,0.4077
