timestamp,ohci1,ohci9,ohci2,ohci3,ohci0,ohci4,ohci5,ohci8,ohci7,ohci6,max,min,avg
0,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487
4,0.1479,0.1479,0.1479,0.1479,0.1479,0.1479,0.1479,0.1479,0.1479,0.1479,0.1479,0.1479,0.1479
5,0.3333,0.3577,0.3352,0.3689,0.3165,0.3221,0.3596,0.3221,0.3277,0.3371,0.3689,0.3165,0.338
6,0.3371,0.3689,0.3839,0.4139,0.3708,0.367,0.397,0.3577,0.3446,0.412,0.4139,0.3371,0.3753
7,0.3577,0.3801,0.3858,0.4213,0.3745,0.3858,0.4195,0.3727,0.3446,0.4345,0.4345,0.3446,0.3876
8,0.3689,0.3801,0.3895,0.4288,0.4251,0.3876,0.4195,0.3839,0.3708,0.4831,0.4831,0.3689,0.4037
9,0.3858,0.3801,0.3895,0.4288,0.4251,0.3876,0.4195,0.3858,0.382,0.4831,0.4831,0.3801,0.4067
10,0.4307,0.3801,0.3895,0.4288,0.4251,0.3876,0.4232,0.3858,0.4157,0.4831,0.4831,0.3801,0.415
11,0.4307,0.3801,0.4251,0.4288,0.4251,0.3914,0.427,0.3858,0.427,0.4831,0.4831,0.3801,0.4204
12,0.4307,0.382,0.4251,0.4307,0.4251,0.3914,0.427,0.3858,0.4307,0.4831,0.4831,0.382,0.4212
13,0.4307,0.382,0.4251,0.4307,0.4251,0.4232,0.427,0.3914,0.4307,0.4831,0.4831,0.382,0.4249
14,0.4307,0.3858,0.4251,0.4307,0.4251,0.4232,0.427,0.3933,0.4307,0.485,0.485,0.3858,0.4257
15,0.4345,0.3858,0.4251,0.4345,0.4326,0.4232,0.427,0.3933,0.4307,0.485,0.485,0.3858,0.4272
16,0.4345,0.4213,0.4251,0.4345,0.4326,0.4307,0.4363,0.3933,0.4307,0.485,0.485,0.3933,0.4324
17,0.4345,0.4213,0.4251,0.4494,0.4326,0.4307,0.4363,0.3933,0.4307,0.485,0.485,0.3933,0.4339
18,0.4345,0.4251,0.4251,0.4494,0.4326,0.4307,0.4363,0.427,0.4307,0.485,0.485,0.4251,0.4376
19,0.4345,0.4251,0.4251,0.4494,0.4326,0.4326,0.4363,0.427,0.4307,0.485,0.485,0.4251,0.4378
20,0.4345,0.4251,0.4251,0.4494,0.4326,0.4363,0.4363,0.4419,0.4307,0.485,0.485,0.4251,0.4397
21,0.4345,0.4251,0.4251,0.4494,0.4326,0.4363,0.4363,0.4457,0.4326,0.485,0.485,0.4251,0.4403
22,0.4363,0.4251,0.4251,0.4494,0.4326,0.4363,0.4363,0.4457,0.4326,0.4925,0.4925,0.4251,0.4412
23,0.4363,0.4251,0.4251,0.4494,0.4326,0.4363,0.4363,0.4476,0.4326,0.4925,0.4925,0.4251,0.4414
