timestamp,uhci2,uhci0,uhci1,uhci7,uhci6,uhci4,uhci8,uhci9,uhci3,uhci5,max,min,avg
0,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838
4,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647
5,0.3786,0.3931,0.3931,0.396,0.3035,0.3902,0.3786,0.3902,0.3902,0.3902,0.396,0.3035,0.3804
6,0.3931,0.3988,0.396,0.396,0.396,0.3931,0.3786,0.396,0.396,0.3931,0.3988,0.3786,0.3937
7,0.3931,0.3988,0.396,0.396,0.4162,0.3931,0.3786,0.396,0.4162,0.4133,0.4162,0.3786,0.3997
8,0.3931,0.3988,0.396,0.396,0.4162,0.396,0.3902,0.396,0.4162,0.4133,0.4162,0.3902,0.4012
9,0.3931,0.3988,0.396,0.396,0.4162,0.396,0.396,0.396,0.4162,0.4306,0.4306,0.3931,0.4035
10,0.3931,0.3988,0.4162,0.396,0.4162,0.4162,0.4162,0.4133,0.4162,0.4335,0.4335,0.3931,0.4116
11,0.3931,0.4162,0.4162,0.396,0.4162,0.4162,0.4162,0.4162,0.4191,0.4335,0.4335,0.3931,0.4139
12,0.396,0.4162,0.4162,0.396,0.4162,0.4162,0.4249,0.4162,0.4191,0.4335,0.4335,0.396,0.415
13,0.396,0.4162,0.4162,0.396,0.4162,0.4306,0.4249,0.4162,0.4191,0.4335,0.4335,0.396,0.4165
14,0.396,0.4162,0.4162,0.396,0.4162,0.4306,0.4249,0.4162,0.4191,0.4566,0.4566,0.396,0.4188
15,0.4162,0.4162,0.4162,0.4162,0.4162,0.4306,0.4249,0.4162,0.4191,0.4566,0.4566,0.4162,0.4228
16,0.4162,0.4162,0.4162,0.4162,0.4306,0.4306,0.4249,0.4162,0.4191,0.4566,0.4566,0.4162,0.4243
17,0.4162,0.4162,0.4162,0.4162,0.4306,0.4306,0.4249,0.4162,0.4191,0.4653,0.4653,0.4162,0.4252
18,0.4162,0.4162,0.4162,0.4162,0.4306,0.4306,0.4249,0.4162,0.4191,0.4653,0.4653,0.4162,0.4252
19,0.4162,0.4162,0.4162,0.4162,0.4306,0.4306,0.4249,0.4277,0.4191,0.4653,0.4653,0.4162,0.4263
20,0.4422,0.4162,0.4162,0.4162,0.4306,0.4306,0.4249,0.4364,0.4335,0.4653,0.4653,0.4162,0.4312
21,0.4422,0.4162,0.4162,0.4162,0.4306,0.4306,0.4249,0.4364,0.4335,0.4653,0.4653,0.4162,0.4312
22,0.4422,0.4162,0.4162,0.4162,0.4306,0.4306,0.4249,0.4364,0.4335,0.4653,0.4653,0.4162,0.4312
23,0.4422,0.4162,0.4162,0.4162,0.4306,0.4306,0.4249,0.4364,0.4335,0.4653,0.4653,0.4162,0.4312
24,0.4422,0.4306,0.4162,0.4162,0.4306,0.4306,0.4249,0.4393,0.4335,0.4653,0.4653,0.4162,0.4329
25,0.4422,0.4306,0.4162,0.4162,0.4306,0.4306,0.4249,0.4393,0.4335,0.4653,0.4653,0.4162,0.4329
26,0.4451,0.4306,0.4162,0.4162,0.4306,0.4306,0.4249,0.4393,0.4335,0.4653,0.4653,0.4162,0.4332
27,0.4451,0.4306,0.4162,0.4162,0.4306,0.4306,0.4249,0.4393,0.4422,0.4653,0.4653,0.4162,0.4341
28,0.4451,0.4306,0.4162,0.4162,0.4306,0.4306,0.4249,0.4393,0.4422,0.4653,0.4653,0.4162,0.4341
29,0.4451,0.4306,0.4162,0.4162,0.4306,0.4306,0.4364,0.4393,0.4422,0.4653,0.4653,0.4162,0.4353
30,0.4451,0.4306,0.4162,0.4162,0.4306,0.4306,0.4364,0.4393,0.4422,0.4653,0.4653,0.4162,0.4353
31,0.4451,0.4306,0.4162,0.4162,0.4306,0.4306,0.4364,0.4393,0.4422,0.4653,0.4653,0.4162,0.4353
32,0.4566,0.4306,0.4162,0.4162,0.4306,0.4306,0.4364,0.4422,0.4422,0.4653,0.4653,0.4162,0.4367
33,0.4566,0.4306,0.4162,0.4162,0.4306,0.4335,0.4364,0.4422,0.4422,0.4653,0.4653,0.4162,0.437
34,0.4566,0.4306,0.4162,0.4162,0.4306,0.4335,0.4393,0.4422,0.4422,0.4653,0.4653,0.4162,0.4373
35,0.4566,0.4306,0.4162,0.4306,0.4306,0.4335,0.4393,0.4422,0.4422,0.4653,0.4653,0.4162,0.4387
