timestamp,megasas5,megasas3,megasas0,megasas6,megasas2,megasas8,megasas4,megasas1,megasas7,megasas9,max,min,avg
0,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546
4,0.0924,0.0924,0.0924,0.0924,0.0924,0.0924,0.0924,0.0924,0.0924,0.0924,0.0924,0.0924,0.0924
5,0.3466,0.3739,0.3403,0.3992,0.4097,0.4118,0.4223,0.4265,0.334,0.3424,0.4265,0.334,0.3807
6,0.4328,0.4958,0.4727,0.4559,0.5168,0.4916,0.4769,0.4979,0.4853,0.5,0.5168,0.4328,0.4826
7,0.479,0.5294,0.4979,0.5231,0.5231,0.5294,0.5042,0.5042,0.4958,0.5315,0.5315,0.479,0.5118
8,0.4958,0.542,0.5042,0.5378,0.542,0.5483,0.5168,0.5147,0.5231,0.5357,0.5483,0.4958,0.526
9,0.5231,0.5441,0.5084,0.5588,0.5441,0.5483,0.5399,0.5336,0.5357,0.5357,0.5588,0.5084,0.5372
10,0.5378,0.5441,0.5168,0.5588,0.563,0.5546,0.5483,0.5441,0.542,0.5378,0.563,0.5168,0.5447
11,0.5399,0.5483,0.521,0.5588,0.563,0.563,0.5546,0.5441,0.542,0.5378,0.563,0.521,0.5472
12,0.5399,0.5483,0.521,0.5693,0.5672,0.5756,0.5546,0.5462,0.542,0.5378,0.5756,0.521,0.5502
13,0.542,0.5483,0.521,0.5693,0.5714,0.5756,0.5567,0.5462,0.5546,0.5378,0.5756,0.521,0.5523
14,0.5441,0.5483,0.5378,0.5693,0.5714,0.5756,0.5567,0.5462,0.5546,0.542,0.5756,0.5378,0.5546
15,0.5441,0.5483,0.5399,0.5693,0.5714,0.5756,0.5567,0.5462,0.5546,0.542,0.5756,0.5399,0.5548
16,0.5462,0.5483,0.542,0.5819,0.5714,0.5756,0.5567,0.5462,0.5546,0.5441,0.5819,0.542,0.5567
17,0.5504,0.5483,0.542,0.5819,0.5735,0.5777,0.5567,0.5483,0.5546,0.5441,0.5819,0.542,0.5578
18,0.5504,0.5588,0.542,0.5819,0.5756,0.5777,0.5567,0.5483,0.5588,0.5441,0.5819,0.542,0.5594
