timestamp,ohci7,ohci5,ohci8,ohci2,ohci3,ohci4,ohci0,ohci9,ohci1,ohci6,max,min,avg
0,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474
3,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442
4,0.4215,0.3139,0.3266,0.3193,0.4562,0.5274,0.312,0.5547,0.5365,0.3723,0.5547,0.312,0.414
5,0.5693,0.354,0.3358,0.3285,0.6515,0.5748,0.3175,0.5766,0.5803,0.385,0.6515,0.3175,0.4673
6,0.6405,0.5693,0.3668,0.4416,0.6807,0.5803,0.3631,0.5894,0.6077,0.4069,0.6807,0.3631,0.5246
7,0.6551,0.5766,0.4653,0.5693,0.688,0.6314,0.3631,0.6204,0.6113,0.4088,0.688,0.3631,0.5589
8,0.6569,0.5821,0.573,0.6113,0.6916,0.6314,0.3686,0.6259,0.677,0.4088,0.6916,0.3686,0.5827
9,0.6661,0.5839,0.573,0.615,0.6916,0.6314,0.3686,0.6624,0.6843,0.4088,0.6916,0.3686,0.5885
10,0.6661,0.5858,0.615,0.6661,0.6916,0.6734,0.3686,0.6624,0.688,0.5055,0.6916,0.3686,0.6122
11,0.6661,0.5858,0.6223,0.6661,0.6953,0.7172,0.3704,0.688,0.6934,0.5055,0.7172,0.3704,0.621
12,0.6679,0.5931,0.6296,0.6679,0.7044,0.7226,0.3704,0.6916,0.6934,0.5365,0.7226,0.3704,0.6277
13,0.6697,0.5931,0.6369,0.6697,0.7062,0.7226,0.3704,0.6916,0.6934,0.5365,0.7226,0.3704,0.629
14,0.6697,0.5931,0.7062,0.6807,0.7062,0.7263,0.3704,0.6916,0.6934,0.5365,0.7263,0.3704,0.6374
15,0.6697,0.5931,0.708,0.6807,0.7117,0.7263,0.3704,0.6916,0.6971,0.5383,0.7263,0.3704,0.6387
16,0.7007,0.6022,0.7135,0.6807,0.7117,0.7299,0.3704,0.6916,0.7062,0.5967,0.7299,0.3704,0.6504
17,0.7007,0.6022,0.7135,0.6807,0.7245,0.7299,0.3704,0.6916,0.7062,0.5967,0.7299,0.3704,0.6516
18,0.7007,0.6022,0.7135,0.6825,0.7245,0.7318,0.3704,0.6934,0.7062,0.6004,0.7318,0.3704,0.6526
19,0.7062,0.6022,0.7135,0.6825,0.7245,0.7318,0.3704,0.6971,0.708,0.6004,0.7318,0.3704,0.6537
20,0.7099,0.6022,0.7135,0.6861,0.7245,0.7318,0.3704,0.6989,0.7099,0.6004,0.7318,0.3704,0.6548
21,0.7099,0.6022,0.7135,0.6861,0.7245,0.7336,0.3704,0.719,0.7099,0.6004,0.7336,0.3704,0.657
22,0.7099,0.6022,0.7135,0.6861,0.7245,0.7336,0.3704,0.719,0.7099,0.6004,0.7336,0.3704,0.657
23,0.7099,0.6022,0.7135,0.6861,0.7445,0.7336,0.3704,0.719,0.7099,0.6004,0.7445,0.3704,0.659
24,0.7099,0.6022,0.7135,0.6861,0.7445,0.7336,0.3704,0.7245,0.7099,0.6004,0.7445,0.3704,0.6595
25,0.7099,0.604,0.7135,0.6861,0.7445,0.7427,0.3704,0.7245,0.7099,0.6004,0.7445,0.3704,0.6606
26,0.7099,0.604,0.7135,0.6861,0.7445,0.7427,0.3704,0.7245,0.7099,0.6004,0.7445,0.3704,0.6606
27,0.7099,0.604,0.7135,0.6861,0.7591,0.7427,0.3704,0.7318,0.7099,0.6004,0.7591,0.3704,0.6628
28,0.7099,0.604,0.7135,0.6861,0.7591,0.7427,0.3704,0.7318,0.7099,0.6022,0.7591,0.3704,0.663
