timestamp,rtl81399,rtl81390,rtl81393,rtl81397,rtl81398,rtl81392,rtl81394,rtl81395,rtl81391,rtl81396,max,min,avg
0,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145
3,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.1975,0.0145,0.1975,0.1975,0.0145,0.0511
4,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.6286,0.1975,0.1975,0.6286,0.1975,0.2406
5,0.6141,0.5562,0.6467,0.5652,0.6196,0.5978,0.596,0.6504,0.625,0.6667,0.6667,0.5562,0.6138
6,0.6848,0.6649,0.6504,0.6051,0.663,0.6377,0.6558,0.654,0.6522,0.692,0.692,0.6051,0.656
7,0.692,0.6685,0.6884,0.6395,0.6757,0.6558,0.6721,0.6594,0.6612,0.6938,0.6938,0.6395,0.6706
8,0.692,0.6703,0.6902,0.6504,0.6775,0.6757,0.6884,0.6594,0.6667,0.6938,0.6938,0.6504,0.6764
9,0.7011,0.6703,0.6938,0.6649,0.6775,0.6757,0.6884,0.6594,0.6703,0.6938,0.7011,0.6594,0.6795
10,0.7029,0.6703,0.6993,0.6649,0.6848,0.6757,0.7174,0.6757,0.6884,0.6938,0.7174,0.6649,0.6873
11,0.7083,0.6703,0.6993,0.6703,0.6866,0.6757,0.7174,0.6775,0.6938,0.6938,0.7174,0.6703,0.6893
12,0.7083,0.6703,0.6993,0.6703,0.6866,0.6775,0.7174,0.6775,0.6957,0.6938,0.7174,0.6703,0.6897
13,0.7083,0.6848,0.7065,0.6884,0.7047,0.6775,0.7174,0.6775,0.6975,0.6975,0.7174,0.6775,0.696
14,0.7101,0.6848,0.7065,0.6902,0.7047,0.6775,0.7174,0.6775,0.6975,0.6975,0.7174,0.6775,0.6964
15,0.712,0.6866,0.7065,0.6902,0.7047,0.6775,0.7174,0.6775,0.6975,0.6975,0.7174,0.6775,0.6967
16,0.712,0.6866,0.712,0.692,0.7047,0.6775,0.7174,0.6775,0.7138,0.6975,0.7174,0.6775,0.6991
17,0.712,0.6866,0.7138,0.6938,0.7083,0.6775,0.7174,0.6775,0.7138,0.6993,0.7174,0.6775,0.7
18,0.712,0.6884,0.7156,0.6957,0.7083,0.6775,0.7174,0.6812,0.7192,0.6993,0.7192,0.6775,0.7015
19,0.712,0.692,0.7156,0.6975,0.7083,0.6775,0.7192,0.6812,0.7264,0.6993,0.7264,0.6775,0.7029
20,0.712,0.692,0.7156,0.6975,0.7083,0.6775,0.7192,0.6866,0.7264,0.7047,0.7264,0.6775,0.704
21,0.7138,0.6975,0.7156,0.7029,0.7101,0.6793,0.7192,0.6866,0.7264,0.7047,0.7264,0.6793,0.7056
22,0.7138,0.6975,0.7174,0.7029,0.7101,0.6793,0.7192,0.6866,0.7264,0.7065,0.7264,0.6793,0.706
23,0.7138,0.6975,0.7174,0.7029,0.712,0.6793,0.7192,0.6884,0.7264,0.7065,0.7264,0.6793,0.7063
24,0.7138,0.6975,0.7174,0.7083,0.712,0.6793,0.7192,0.6884,0.7283,0.712,0.7283,0.6793,0.7076
25,0.7138,0.6975,0.7174,0.7138,0.712,0.6793,0.7228,0.6884,0.7283,0.7138,0.7283,0.6793,0.7087
26,0.7138,0.6975,0.7174,0.7138,0.712,0.6848,0.7228,0.6884,0.7337,0.7138,0.7337,0.6848,0.7098
27,0.7138,0.7156,0.7174,0.7138,0.712,0.6848,0.7228,0.6884,0.7337,0.7138,0.7337,0.6848,0.7116
28,0.7138,0.7156,0.7174,0.7138,0.712,0.6848,0.7228,0.6884,0.7337,0.7138,0.7337,0.6848,0.7116
29,0.7138,0.7156,0.7174,0.7138,0.712,0.6848,0.7228,0.6884,0.7337,0.7138,0.7337,0.6848,0.7116
30,0.7138,0.721,0.7192,0.7138,0.712,0.6848,0.7228,0.6884,0.7337,0.7138,0.7337,0.6848,0.7123
31,0.7138,0.7283,0.7192,0.7138,0.712,0.6848,0.7228,0.6884,0.7337,0.7138,0.7337,0.6848,0.7131
32,0.7138,0.7283,0.7192,0.7138,0.712,0.6848,0.7228,0.7101,0.7337,0.7138,0.7337,0.6848,0.7152
33,0.7138,0.7283,0.7192,0.7138,0.712,0.6848,0.7228,0.7101,0.7337,0.7138,0.7337,0.6848,0.7152
34,0.7138,0.7283,0.7192,0.7138,0.712,0.6848,0.7228,0.7138,0.7337,0.7138,0.7337,0.6848,0.7156
35,0.7138,0.7319,0.7192,0.7138,0.712,0.6848,0.7228,0.7138,0.7355,0.7138,0.7355,0.6848,0.7161
36,0.7138,0.7319,0.7192,0.7138,0.712,0.6848,0.7283,0.7138,0.7355,0.7156,0.7355,0.6848,0.7169
37,0.7138,0.7319,0.7192,0.7138,0.712,0.6848,0.7283,0.7138,0.7355,0.7156,0.7355,0.6848,0.7169
38,0.7138,0.7319,0.7192,0.7138,0.712,0.6848,0.7283,0.7156,0.7355,0.7156,0.7355,0.6848,0.7171
39,0.7138,0.7319,0.7192,0.7138,0.712,0.6993,0.7283,0.7174,0.7355,0.7156,0.7355,0.6993,0.7187
40,0.7138,0.7319,0.7192,0.7138,0.712,0.6993,0.7283,0.7174,0.7355,0.7156,0.7355,0.6993,0.7187
41,0.7138,0.7319,0.7192,0.7138,0.712,0.6993,0.7283,0.7174,0.7355,0.7156,0.7355,0.6993,0.7187
42,0.7138,0.7319,0.7192,0.7138,0.712,0.6993,0.7283,0.7174,0.7355,0.7156,0.7355,0.6993,0.7187
43,0.7138,0.7319,0.7192,0.7138,0.712,0.6993,0.7283,0.7174,0.7355,0.7156,0.7355,0.6993,0.7187
44,0.7138,0.7319,0.7192,0.7138,0.712,0.7029,0.7283,0.7174,0.7355,0.7156,0.7355,0.7029,0.719
45,0.7138,0.7319,0.7192,0.7138,0.712,0.7029,0.7283,0.7174,0.7355,0.7156,0.7355,0.7029,0.719
46,0.7138,0.7319,0.7192,0.7138,0.712,0.7029,0.7301,0.7174,0.7355,0.7156,0.7355,0.7029,0.7192
47,0.7138,0.7319,0.7192,0.7138,0.712,0.7083,0.7301,0.7174,0.7355,0.7156,0.7355,0.7083,0.7198
48,0.7138,0.7319,0.7192,0.7138,0.712,0.7319,0.7301,0.7174,0.7355,0.7156,0.7355,0.712,0.7221
49,0.7138,0.7319,0.7192,0.7138,0.712,0.7319,0.7301,0.7174,0.7355,0.7156,0.7355,0.712,0.7221
50,0.7138,0.7319,0.7192,0.7138,0.712,0.7319,0.7301,0.7174,0.7355,0.7156,0.7355,0.712,0.7221
51,0.7174,0.7319,0.7192,0.7138,0.712,0.7319,0.7301,0.7174,0.7373,0.7156,0.7373,0.712,0.7227
