timestamp,sb168,sb165,sb160,sb166,sb163,sb161,sb162,sb164,sb169,sb167,max,min,avg
0,0.0244,0.0244,0.2268,0.0244,0.0244,0.2268,0.2268,0.0244,0.0244,0.0244,0.2268,0.0244,0.0851
1,0.0244,0.0244,0.3366,0.0244,0.0244,0.3146,0.4049,0.0244,0.0244,0.0244,0.4049,0.0244,0.1227
2,0.0244,0.0244,0.3659,0.0244,0.0244,0.3244,0.4854,0.0244,0.0244,0.0244,0.4854,0.0244,0.1346
3,0.2268,0.2268,0.378,0.2268,0.0244,0.3341,0.4951,0.0244,0.2268,0.2268,0.4951,0.0244,0.239
4,0.4146,0.4902,0.3902,0.4,0.2268,0.4634,0.5,0.2268,0.4829,0.4732,0.5,0.2268,0.4068
5,0.4927,0.5122,0.4171,0.5024,0.4585,0.4683,0.5049,0.3073,0.4927,0.478,0.5122,0.3073,0.4634
6,0.5049,0.5171,0.4463,0.5122,0.4805,0.4707,0.5122,0.3341,0.5171,0.5244,0.5244,0.3341,0.4819
7,0.5268,0.5268,0.4463,0.539,0.4927,0.4732,0.5146,0.4122,0.522,0.5512,0.5512,0.4122,0.5005
8,0.5415,0.5561,0.5171,0.5439,0.4951,0.4732,0.5195,0.5341,0.522,0.5805,0.5805,0.4732,0.5283
9,0.5488,0.5634,0.5293,0.5512,0.539,0.478,0.5366,0.5537,0.5293,0.5976,0.5976,0.478,0.5427
10,0.5683,0.5707,0.5341,0.5927,0.5537,0.5366,0.5415,0.5634,0.5293,0.6,0.6,0.5293,0.559
11,0.5683,0.5756,0.5537,0.6098,0.5561,0.5512,0.5634,0.578,0.5512,0.6049,0.6098,0.5512,0.5712
12,0.5976,0.5902,0.5634,0.622,0.5659,0.5585,0.5659,0.6,0.5585,0.6122,0.622,0.5585,0.5834
13,0.5976,0.6098,0.5732,0.639,0.578,0.5585,0.5829,0.6024,0.561,0.6195,0.639,0.5585,0.5922
14,0.6,0.6512,0.5951,0.6415,0.5829,0.561,0.5878,0.6073,0.561,0.6244,0.6512,0.561,0.6012
