timestamp,uhci9,uhci2,uhci4,uhci1,uhci0,uhci5,uhci3,uhci8,uhci7,uhci6,max,min,avg
0,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838,0.0838
4,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647,0.1647
5,0.4422,0.5058,0.4509,0.4509,0.4509,0.448,0.5029,0.4451,0.4133,0.5029,0.5058,0.4133,0.4613
6,0.5116,0.5116,0.5058,0.5116,0.5116,0.4509,0.5029,0.5145,0.4509,0.5116,0.5145,0.4509,0.4983
7,0.5202,0.5145,0.5087,0.5173,0.5145,0.5058,0.5087,0.5173,0.5058,0.5116,0.5202,0.5058,0.5124
8,0.5202,0.5145,0.5087,0.5173,0.5145,0.5145,0.5116,0.5173,0.5087,0.5145,0.5202,0.5087,0.5142
9,0.5202,0.5145,0.5087,0.5202,0.5173,0.5145,0.5173,0.6012,0.5087,0.5173,0.6012,0.5087,0.524
10,0.5202,0.5145,0.5145,0.6012,0.5202,0.5173,0.5173,0.6012,0.5116,0.5173,0.6012,0.5116,0.5335
11,0.5202,0.5202,0.5173,0.6012,0.5173,0.5173,0.5173,0.604,0.5173,0.5173,0.604,0.5173,0.5349
12,0.5231,0.5202,0.5173,0.6012,0.5173,0.5173,0.5231,0.604,0.5173,0.5173,0.604,0.5173,0.5358
13,0.5231,0.5231,0.5173,0.6012,0.5173,0.5173,0.5231,0.604,0.5231,0.5173,0.604,0.5173,0.5367
14,0.5231,0.5231,0.5173,0.6012,0.5173,0.5173,0.5231,0.604,0.5231,0.5173,0.604,0.5173,0.5367
15,0.604,0.5231,0.5173,0.6012,0.5173,0.5173,0.5231,0.604,0.5231,0.5173,0.604,0.5173,0.5448
16,0.6012,0.5231,0.6272,0.6387,0.5173,0.5231,0.5231,0.604,0.5231,0.5173,0.6387,0.5173,0.5598
17,0.6012,0.5231,0.6561,0.6416,0.6272,0.5231,0.5231,0.604,0.5231,0.5173,0.6561,0.5173,0.574
18,0.6012,0.5231,0.6561,0.6387,0.6272,0.5231,0.6387,0.604,0.5231,0.5173,0.6561,0.5173,0.5853
19,0.6012,0.5231,0.6561,0.6387,0.6272,0.5231,0.6387,0.6214,0.5231,0.5202,0.6561,0.5202,0.5873
20,0.6012,0.6272,0.659,0.6387,0.6272,0.5231,0.6445,0.6185,0.5231,0.5173,0.659,0.5173,0.598
21,0.6561,0.6243,0.6647,0.6416,0.6272,0.5231,0.6445,0.6214,0.526,0.5173,0.6647,0.5173,0.6046
22,0.6561,0.6243,0.6647,0.6618,0.6272,0.6329,0.6445,0.6185,0.526,0.5173,0.6647,0.5173,0.6173
23,0.6561,0.6243,0.6647,0.6676,0.6272,0.6329,0.6474,0.6214,0.5231,0.5173,0.6676,0.5173,0.6182
24,0.6561,0.6272,0.6647,0.6705,0.6387,0.6329,0.6445,0.6185,0.6012,0.5173,0.6705,0.5173,0.6272
25,0.659,0.6243,0.6647,0.6676,0.6387,0.6329,0.6618,0.6214,0.6012,0.5173,0.6676,0.5173,0.6289
26,0.6561,0.6243,0.6647,0.6676,0.6387,0.6329,0.6618,0.6214,0.6012,0.6272,0.6676,0.6012,0.6396
27,0.6561,0.6243,0.6647,0.6705,0.6445,0.6329,0.6618,0.6185,0.6098,0.6272,0.6705,0.6098,0.641
28,0.6561,0.6272,0.6647,0.6734,0.6474,0.6329,0.6647,0.6243,0.6098,0.6272,0.6734,0.6098,0.6428
29,0.6561,0.6503,0.6647,0.6705,0.6474,0.6329,0.6618,0.6214,0.6098,0.6301,0.6705,0.6098,0.6445
30,0.6561,0.6503,0.6647,0.6705,0.6503,0.6329,0.6618,0.6214,0.6214,0.6301,0.6705,0.6214,0.6459
31,0.6561,0.6503,0.6647,0.6734,0.6474,0.6329,0.6618,0.6214,0.6214,0.6445,0.6734,0.6214,0.6474
32,0.6561,0.6532,0.6647,0.6705,0.6474,0.6329,0.6618,0.6214,0.6214,0.6445,0.6705,0.6214,0.6474
33,0.6561,0.6503,0.6647,0.6734,0.6474,0.6358,0.6618,0.6214,0.6214,0.6445,0.6734,0.6214,0.6477
34,0.6561,0.6503,0.6647,0.6705,0.6474,0.6358,0.6618,0.6243,0.6214,0.6474,0.6705,0.6214,0.648
35,0.6561,0.6503,0.6647,0.6705,0.6474,0.6329,0.6618,0.6474,0.6243,0.6474,0.6705,0.6243,0.6503
