timestamp,ehci0,ehci3,ehci7,ehci2,ehci6,ehci5,ehci1,ehci8,ehci9,ehci4,max,min,avg
0,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843
1,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925
2,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925
3,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925
4,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925
5,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925
6,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925
7,0.0925,0.0925,0.3135,0.0925,0.0925,0.0925,0.0925,0.2942,0.2942,0.0925,0.3135,0.0925,0.1549
8,0.2942,0.2942,0.3273,0.0925,0.0925,0.0925,0.0925,0.2956,0.2942,0.0925,0.3273,0.0925,0.1968
9,0.2956,0.2942,0.3273,0.0925,0.0925,0.0925,0.0925,0.2956,0.2956,0.0925,0.3273,0.0925,0.1971
10,0.2956,0.2956,0.3273,0.0925,0.0925,0.0925,0.0925,0.2956,0.2956,0.0925,0.3273,0.0925,0.1972
11,0.2956,0.2956,0.3273,0.0925,0.0925,0.0925,0.0925,0.2956,0.2956,0.2942,0.3273,0.0925,0.2174
12,0.2956,0.2956,0.3273,0.0925,0.0925,0.2942,0.2831,0.2956,0.2956,0.2942,0.3273,0.0925,0.2566
13,0.2956,0.2956,0.3273,0.0925,0.0925,0.2942,0.2942,0.2956,0.2956,0.2956,0.3273,0.0925,0.2579
14,0.2956,0.2956,0.3273,0.0925,0.0925,0.2942,0.2942,0.2956,0.2956,0.2956,0.3273,0.0925,0.2579
15,0.2956,0.2956,0.3273,0.2942,0.0925,0.2956,0.2942,0.2956,0.2956,0.2956,0.3273,0.0925,0.2782
16,0.2956,0.2956,0.3273,0.2942,0.0925,0.2956,0.2956,0.2956,0.2956,0.2956,0.3273,0.0925,0.2783
17,0.2956,0.2956,0.3273,0.2942,0.0925,0.2956,0.2956,0.2956,0.2956,0.2956,0.3273,0.0925,0.2783
18,0.2956,0.2956,0.3273,0.2956,0.2942,0.2956,0.2956,0.2956,0.2956,0.2956,0.3273,0.2942,0.2986
19,0.2956,0.2956,0.3273,0.2956,0.2956,0.2956,0.2956,0.2956,0.2956,0.2956,0.3273,0.2956,0.2988
