timestamp,ohci6,ohci4,ohci0,ohci9,ohci8,ohci7,ohci1,ohci2,ohci5,ohci3,max,min,avg
0,0.1484,0.1484,0.1484,0.1484,0.1484,0.1484,0.1484,0.1484,0.1484,0.1484,0.1484,0.1484,0.1484
1,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557
2,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557
3,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557
4,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1557,0.1667,0.1557,0.1557,0.1667,0.1557,0.1568
5,0.1557,0.1557,0.1557,0.1557,0.3095,0.1557,0.1557,0.3462,0.1557,0.1557,0.3462,0.1557,0.1901
6,0.1557,0.1557,0.1557,0.1667,0.3132,0.1557,0.1557,0.348,0.1557,0.1557,0.348,0.1557,0.1918
7,0.359,0.1557,0.1557,0.348,0.315,0.3663,0.1557,0.348,0.3425,0.1557,0.3663,0.1557,0.2702
8,0.3626,0.3278,0.1557,0.3498,0.315,0.3681,0.3297,0.348,0.3462,0.1557,0.3681,0.1557,0.3059
9,0.3645,0.3333,0.1557,0.3498,0.315,0.3681,0.3315,0.348,0.348,0.315,0.3681,0.1557,0.3229
10,0.3645,0.3333,0.1557,0.3498,0.315,0.3681,0.3315,0.348,0.348,0.315,0.3681,0.1557,0.3229
11,0.3645,0.3333,0.1557,0.3498,0.315,0.3681,0.3315,0.348,0.348,0.3168,0.3681,0.1557,0.3231
12,0.3645,0.3333,0.315,0.3498,0.3223,0.3681,0.3315,0.3553,0.348,0.3168,0.3681,0.315,0.3405
13,0.3645,0.3333,0.3168,0.3571,0.3223,0.3681,0.3315,0.3553,0.348,0.3168,0.3681,0.3168,0.3414
14,0.3718,0.3333,0.3168,0.3571,0.3223,0.3681,0.3388,0.3553,0.3553,0.3168,0.3718,0.3168,0.3436
15,0.3718,0.3407,0.3168,0.3571,0.3223,0.3755,0.3388,0.3553,0.3553,0.3168,0.3755,0.3168,0.345
16,0.3718,0.3407,0.3168,0.3571,0.3223,0.3755,0.3388,0.3553,0.3553,0.3242,0.3755,0.3168,0.3458
17,0.3718,0.3407,0.3168,0.3571,0.3297,0.3755,0.3388,0.3626,0.3553,0.3242,0.3755,0.3168,0.3473
18,0.3718,0.3407,0.3242,0.3645,0.3352,0.3755,0.3388,0.3681,0.3626,0.3242,0.3755,0.3242,0.3506
19,0.3791,0.3407,0.3242,0.37,0.3352,0.3755,0.3462,0.3681,0.3626,0.3242,0.3791,0.3242,0.3526
20,0.3846,0.348,0.3242,0.37,0.3352,0.3828,0.3462,0.3681,0.3626,0.3242,0.3846,0.3242,0.3546
21,0.3846,0.3535,0.3242,0.37,0.3352,0.3828,0.3462,0.3681,0.3681,0.3315,0.3846,0.3242,0.3564
22,0.3846,0.3535,0.3242,0.37,0.3352,0.3828,0.3516,0.3681,0.3681,0.337,0.3846,0.3242,0.3575
