timestamp,ehci4,ehci7,ehci3,ehci6,ehci8,ehci9,ehci1,ehci2,ehci5,ehci0,max,min,avg
0,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087
1,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939
2,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939
3,0.2735,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.2735,0.0939,0.1119
4,0.3066,0.2983,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.0939,0.3066,0.0939,0.1356
5,0.3066,0.2983,0.0939,0.0939,0.0939,0.2983,0.0939,0.3094,0.2983,0.0939,0.3094,0.0939,0.198
6,0.3066,0.3094,0.0939,0.2983,0.2983,0.3094,0.0939,0.3094,0.3094,0.0939,0.3094,0.0939,0.2423
7,0.3094,0.3122,0.3094,0.3094,0.3094,0.3094,0.3122,0.3122,0.3094,0.0939,0.3122,0.0939,0.2887
8,0.3094,0.3122,0.3094,0.3122,0.3094,0.3122,0.3122,0.3122,0.3122,0.2983,0.3122,0.2983,0.31
9,0.3094,0.3122,0.3094,0.3122,0.3094,0.3122,0.3122,0.3122,0.3122,0.3094,0.3122,0.3094,0.3111
10,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3122,0.3094,0.3116
11,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
12,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
13,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
14,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
15,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
16,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
17,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
18,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
19,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
20,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
21,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
22,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
23,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
24,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
25,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
26,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
27,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
28,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
29,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
30,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
31,0.3094,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3094,0.3119
