timestamp,uhci5,uhci2,uhci6,uhci7,uhci3,uhci4,uhci8,uhci9,uhci0,uhci1,max,min,avg
0,0.1436,0.1436,0.1436,0.1436,0.1436,0.1436,0.1436,0.1436,0.1436,0.1436,0.1436,0.1436,0.1436
1,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713
2,0.2127,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.2127,0.1713,0.1713,0.2127,0.1713,0.1796
3,0.2127,0.1768,0.1713,0.1713,0.2127,0.1713,0.1713,0.2127,0.1713,0.2127,0.2127,0.1713,0.1884
4,0.2127,0.2182,0.2127,0.1713,0.221,0.2127,0.1713,0.2182,0.1713,0.2182,0.221,0.1713,0.2028
5,0.2182,0.2182,0.2127,0.1713,0.221,0.2182,0.2155,0.2182,0.1713,0.2238,0.2238,0.1713,0.2088
6,0.2182,0.2238,0.2238,0.1713,0.221,0.2182,0.2155,0.2182,0.2127,0.2238,0.2238,0.1713,0.2146
7,0.2182,0.2238,0.2238,0.2127,0.221,0.221,0.221,0.2182,0.2182,0.2238,0.2238,0.2127,0.2202
8,0.2182,0.2238,0.2238,0.2127,0.221,0.221,0.221,0.221,0.2182,0.2238,0.2238,0.2127,0.2205
9,0.2182,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2182,0.2238,0.2238,0.2182,0.2216
10,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
11,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
12,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
13,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
14,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
15,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
16,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
17,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
18,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
19,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
20,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
21,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
22,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
23,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
24,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
25,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
26,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
27,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
28,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
29,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
30,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
31,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
32,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
33,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
34,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
35,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
36,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
37,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
38,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
39,0.2238,0.2238,0.2238,0.2238,0.221,0.221,0.221,0.221,0.2238,0.2238,0.2238,0.221,0.2227
