timestamp,uhci0,uhci6,uhci3,uhci9,uhci4,uhci1,uhci8,uhci5,uhci2,uhci7,max,min,avg
0,0.1298,0.1354,0.1298,0.1354,0.1298,0.1298,0.1354,0.1354,0.1298,0.1354,0.1354,0.1298,0.1326
1,0.1298,0.1354,0.163,0.1354,0.163,0.163,0.1354,0.1354,0.163,0.1354,0.163,0.1298,0.1459
2,0.163,0.1354,0.163,0.1354,0.163,0.163,0.1354,0.1354,0.163,0.1354,0.163,0.1354,0.1492
3,0.163,0.2928,0.163,0.1354,0.163,0.163,0.1354,0.2956,0.279,0.1354,0.2956,0.1354,0.1926
4,0.163,0.2956,0.163,0.1354,0.2486,0.163,0.1354,0.2956,0.2818,0.2928,0.2956,0.1354,0.2174
5,0.2652,0.3066,0.279,0.2956,0.2514,0.2818,0.1354,0.3066,0.2818,0.2956,0.3066,0.1354,0.2699
6,0.2818,0.3066,0.279,0.2956,0.2569,0.2818,0.2928,0.3066,0.2818,0.3066,0.3066,0.2569,0.2889
7,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
8,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
9,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
10,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
11,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
12,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
13,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
14,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
15,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
16,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
17,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
18,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
19,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
20,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
21,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
22,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
23,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
24,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
25,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
26,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
27,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
28,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
29,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
30,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
31,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
32,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
33,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
34,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
35,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
36,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
37,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
38,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
39,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
40,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
41,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
42,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
43,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
44,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
45,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
46,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
47,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
48,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
49,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
50,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
51,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
52,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
53,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
54,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
55,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
56,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
57,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
58,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
59,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
60,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
61,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
62,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
63,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
64,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
65,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
66,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
67,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
68,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
69,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
70,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
71,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
72,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
73,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
74,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
75,0.2818,0.3066,0.279,0.3066,0.2569,0.2818,0.3066,0.3066,0.2818,0.3066,0.3066,0.2569,0.2914
